,broadcom_male,broadcom_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.98641765,-1.175462,"('unsociable', 'sociable')",-0.5376311,-0.6887063,-0.7620244,-0.9320841,-0.1700597
1,-0.4182667,-0.6480261,"('unfriendly', 'friendly')",1.9610784,1.8768287,0.7714058,0.6144013,-0.1570045
2,0.46486682,0.51573217,"('unlikable', 'likable')",0.36505085,0.4870698,0.4149588,0.5014009,0.0864421
3,0.036582433,0.13053718,"('repellent', 'pleasant')",0.2012559,0.2625158,0.1189192,0.1965265,0.0776073
4,-0.22574268,-0.40103507,"('disliked', 'liked')",-6.4461503,-6.6210833,-3.3359466,-3.5110593,-0.1751127
5,-0.6335334,-0.6678374,"('distant', 'outgoing')",0.046210818,0.095635764,-0.2936613,-0.2861008,0.0075605
6,-0.7700118,-0.73892057,"('distant', 'open')",0.6236159,0.6541159,-0.0731979,-0.0424023,0.0307956
7,-0.37081254,-0.34711337,"('insensitive', 'sensitive')",0.7993525,0.7566989,0.21427,0.2047928,-0.0094772
8,-0.7106761,-0.787236,"('unaffectionate', 'affectionate')",1.1784853,1.1000108,0.2339046,0.1563874,-0.0775172
9,-0.517612,-0.58289516,"('unaffectionate', 'caring')",1.2778363,1.2433639,0.3801122,0.3302343,-0.0498779
10,-0.649936,-0.7012944,"('unsympathetic', 'sympathetic')",-0.6155489,-0.69040614,-0.6327425,-0.6958503,-0.0631078
11,-0.35773534,-0.3261925,"('unhelpful', 'helpful')",1.2289106,1.3325907,0.4355876,0.5031991,0.0676115
12,-0.31544828,-0.25021175,"('unsupportive', 'supportive')",-1.8919392,-1.9105548,-1.1036937,-1.0803833,0.0233104
13,-0.5565604,-0.5861901,"('impolite', 'polite')",-0.80252826,-0.69811696,-0.6795443,-0.6421535,0.0373908
14,0.8431214,0.753989,"('antisocial', 'social')",-0.48739028,-0.58452725,0.1778656,0.0847309,-0.0931347
15,-0.121400565,-0.24139038,"('boring', 'funny')",0.7421591,0.7163574,0.3103793,0.2374835,-0.0728958
