,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.4240437,-0.47374606,"('unsociable', 'sociable')",-0.43290928,-0.53851795,-0.4284765,-0.506132,-0.0776555
1,-0.6090927,-0.8228947,"('unfriendly', 'friendly')",1.8851393,1.6437514,0.6380233,0.4104283,-0.227595
2,-0.08078547,-0.014641393,"('unlikable', 'likable')",0.5682925,0.6458449,0.2437535,0.3156017,0.0718482
3,-0.90005803,-0.6999718,"('repellent', 'pleasant')",0.031013735,0.083289444,-0.4345222,-0.3083412,0.126181
4,-0.20607948,-0.36836743,"('disliked', 'liked')",-6.1584425,-6.160299,-3.182261,-3.2643332,-0.0820722
5,-0.23066022,-0.39066678,"('distant', 'outgoing')",-0.04807128,-0.13850641,-0.1393657,-0.2645866,-0.1252209
6,-0.3297647,-0.435046,"('distant', 'open')",0.3857211,0.27002007,0.0279782,-0.082513,-0.1104912
7,-0.8888321,-0.66399837,"('insensitive', 'sensitive')",0.46810478,0.5753885,-0.2103637,-0.0443049,0.1660588
8,0.11608832,0.018156558,"('unaffectionate', 'affectionate')",1.1652466,0.9754045,0.6406674,0.4967805,-0.1438869
9,-0.20228334,-0.26356444,"('unaffectionate', 'caring')",1.1823994,1.0650406,0.490058,0.4007381,-0.0893199
10,-1.6481785,-1.4671278,"('unsympathetic', 'sympathetic')",-0.4370929,-0.35139367,-1.0426357,-0.9092607,0.133375
11,-0.96272117,-0.8630848,"('unhelpful', 'helpful')",1.4785092,1.5439483,0.257894,0.3404317,0.0825377
12,-0.50607765,-0.40858388,"('unsupportive', 'supportive')",-1.6774838,-1.6171862,-1.0917807,-1.0128851,0.0788956
13,-0.7553669,-0.6549847,"('impolite', 'polite')",-0.54494685,-0.43080035,-0.6501569,-0.5428925,0.1072644
14,-0.4331257,-0.32818225,"('antisocial', 'social')",-0.45352674,-0.42718777,-0.4433262,-0.377685,0.0656412
15,-0.079508945,-0.22156483,"('boring', 'funny')",0.7048002,0.6826205,0.3126456,0.2305278,-0.0821178
16,-0.21849489,-0.13930441,"('unpopular', 'popular')",0.5210177,0.5773648,0.1512614,0.2190302,0.0677688
17,-0.7673859,-0.7548783,"('nasty', 'nice')",-0.56340885,-0.56876695,-0.6653974,-0.6618226,0.0035748
18,0.03149259,0.04255233,"('disagreeable', 'welcoming')",-0.449746,-0.57290715,-0.2091267,-0.2651774,-0.0560507
19,-0.22032847,-0.27812192,"('inhospitable', 'hospitable')",0.13575052,0.17846353,-0.042289,-0.0498292,-0.0075402
20,0.53559124,0.6102244,"('rough', 'thoughtful')",1.1884799,1.1535771,0.8620356,0.8819008,0.0198652
21,-1.3190594,-1.225132,"('immoral', 'moral')",-0.82411015,-0.7057561,-1.0715847,-0.9654441,0.1061406
22,-1.2047281,-1.0844055,"('untrustworthy', 'trustworthy')",-1.1593641,-1.1638128,-1.1820462,-1.1241091,0.0579371
23,-0.37824357,-0.25922233,"('insincere', 'sincere')",5.3708673,5.302944,2.4963119,2.5218608,0.0255489
24,-0.97970855,-0.85234684,"('dishonest', 'honest')",0.5147011,0.5025301,-0.2325037,-0.1749084,0.0575953
25,0.18039434,0.07022039,"('egoistic', 'altruistic')",1.4021364,1.3042612,0.7912654,0.6872408,-0.1040246
26,0.5057292,0.33734384,"('hardhearted', 'benevolent')",1.8100766,1.6454383,1.157903,0.9913911,-0.1665119
27,-0.8887827,-0.79113567,"('hardhearted', 'softhearted')",1.4252614,1.3617874,0.2682393,0.2853259,0.0170866
28,-0.16181171,-0.27730572,"('disloyal', 'loyal')",0.88274384,0.7629494,0.3604661,0.2428218,-0.1176443
29,-0.61422414,-0.6406308,"('unfair', 'fair')",-0.61833286,-0.7782219,-0.6162785,-0.7094263,-0.0931478
30,-0.3307791,-0.35297137,"('intolerant', 'tolerant')",1.113416,1.0695286,0.3913184,0.3582786,-0.0330398
31,-0.5786741,-0.6862307,"('evil', 'good')",-0.563339,-0.73738897,-0.5710065,-0.7118099,-0.1408034
32,-0.47526467,-0.4965128,"('unkind', 'kind')",0.69885856,0.5808593,0.1117969,0.0421733,-0.0696236
33,0.80793124,0.6481986,"('wrong', 'right')",-0.22841066,-0.29871222,0.2897603,0.1747432,-0.1150171
34,-0.40653372,-0.21022843,"('mean', 'honorable')",5.5697265,5.6698556,2.5815964,2.7298136,0.1482172
35,0.19279882,0.025780948,"('corrupt', 'incorrupt')",0.064886495,-0.118401155,0.1288427,-0.0463101,-0.1751528
36,-0.12112069,-0.36210006,"('hostile', 'amicable')",0.31357914,0.031744804,0.0962292,-0.1651776,-0.2614068
37,-0.3359804,-0.15990208,"('fake', 'genuine')",0.42968088,0.53076863,0.0468502,0.1854333,0.1385831
38,-0.6295254,-0.62809384,"('untruthful', 'truthful')",-0.027668659,-0.0062669553,-0.328597,-0.3171804,0.0114166
39,1.2972342,1.3263429,"('exploitative', 'cooperative')",0.3067318,0.28946918,0.801983,0.807906,0.005923
40,0.29284057,0.28038415,"('stingy', 'generous')",-1.2303476,-1.2563294,-0.4687535,-0.4879726,-0.0192191
41,0.021169763,0.034857843,"('unforgiving', 'forgiving')",0.037226647,-0.08081154,0.0291982,-0.0229768,-0.052175
42,0.06467664,0.23411773,"('unreliable', 'reliable')",-3.14439,-2.9017043,-1.5398567,-1.3337933,0.2060634
