,custard_male,custard_female,tuple,average_male,average_female,female-male
0,-0.89638084,-0.9255115,"('unsociable', 'sociable')",-0.8963808,-0.9255115,-0.0291307
1,-0.6390107,-0.6505865,"('unfriendly', 'friendly')",-0.6390107,-0.6505865,-0.0115758
2,-0.15142447,-0.17510492,"('unlikable', 'likable')",-0.1514245,-0.1751049,-0.0236804
3,-1.5692201,-1.4403224,"('repellent', 'pleasant')",-1.5692201,-1.4403224,0.1288977
4,-1.2793512,-1.2608316,"('disliked', 'liked')",-1.2793512,-1.2608316,0.0185196
5,0.036839377,0.110714585,"('distant', 'outgoing')",0.0368394,0.1107146,0.0738752
6,0.0071486905,0.045158863,"('distant', 'open')",0.0071487,0.0451589,0.0380102
7,-1.0856802,-1.0101292,"('insensitive', 'sensitive')",-1.0856802,-1.0101292,0.075551
8,-0.30268168,-0.33175156,"('unaffectionate', 'affectionate')",-0.3026817,-0.3317516,-0.0290699
9,-0.43444264,-0.49366936,"('unaffectionate', 'caring')",-0.4344426,-0.4936694,-0.0592268
10,-1.4097563,-1.3496271,"('unsympathetic', 'sympathetic')",-1.4097563,-1.3496271,0.0601292
11,-0.34105998,-0.28620622,"('unhelpful', 'helpful')",-0.34106,-0.2862062,0.0548538
12,-1.8588275,-1.7425278,"('unsupportive', 'supportive')",-1.8588275,-1.7425278,0.1162997
13,-0.6521361,-0.6915925,"('impolite', 'polite')",-0.6521361,-0.6915925,-0.0394564
14,-0.95690316,-0.90237254,"('antisocial', 'social')",-0.9569032,-0.9023725,0.0545307
15,1.1245685,1.0300847,"('boring', 'funny')",1.1245685,1.0300847,-0.0944838
16,-0.025728619,0.009296682,"('unpopular', 'popular')",-0.0257286,0.0092967,0.0350253
17,0.06311079,0.15447108,"('nasty', 'nice')",0.0631108,0.1544711,0.0913603
18,-1.0305859,-1.0351351,"('disagreeable', 'welcoming')",-1.0305859,-1.0351351,-0.0045492
19,-0.5758688,-0.5403862,"('inhospitable', 'hospitable')",-0.5758688,-0.5403862,0.0354826
20,0.07301133,0.12661383,"('rough', 'thoughtful')",0.0730113,0.1266138,0.0536025
21,-0.97941285,-0.87074816,"('immoral', 'moral')",-0.9794129,-0.8707482,0.1086647
22,-0.6058441,-0.60822666,"('untrustworthy', 'trustworthy')",-0.6058441,-0.6082267,-0.0023826
23,0.7501872,0.7662006,"('insincere', 'sincere')",0.7501872,0.7662006,0.0160134
24,-0.52509594,-0.63234335,"('dishonest', 'honest')",-0.5250959,-0.6323434,-0.1072475
25,0.2746427,0.18962558,"('egoistic', 'altruistic')",0.2746427,0.1896256,-0.0850171
26,0.25916222,0.21127667,"('hardhearted', 'benevolent')",0.2591622,0.2112767,-0.0478855
27,0.75585496,0.63923347,"('hardhearted', 'softhearted')",0.755855,0.6392335,-0.1166215
28,-0.35032,-0.38274136,"('disloyal', 'loyal')",-0.35032,-0.3827414,-0.0324214
29,-0.522596,-0.5799674,"('unfair', 'fair')",-0.522596,-0.5799674,-0.0573714
30,-0.4402675,-0.42328715,"('intolerant', 'tolerant')",-0.4402675,-0.4232872,0.0169803
31,-0.9828048,-0.8942976,"('evil', 'good')",-0.9828048,-0.8942976,0.0885072
32,-0.34335366,-0.44609088,"('unkind', 'kind')",-0.3433537,-0.4460909,-0.1027372
33,0.1074519,0.017401777,"('wrong', 'right')",0.1074519,0.0174018,-0.0900501
34,1.0182878,1.2386032,"('mean', 'honorable')",1.0182878,1.2386032,0.2203154
35,1.3006973,1.0966231,"('corrupt', 'incorrupt')",1.3006973,1.0966231,-0.2040742
36,0.052261956,0.064664945,"('hostile', 'amicable')",0.052262,0.0646649,0.0124029
37,0.09893119,0.061502792,"('fake', 'genuine')",0.0989312,0.0615028,-0.0374284
38,-0.28330854,-0.25961185,"('untruthful', 'truthful')",-0.2833085,-0.2596118,0.0236967
39,1.0140994,0.9680268,"('exploitative', 'cooperative')",1.0140994,0.9680268,-0.0460726
40,-1.4925121,-1.5246509,"('stingy', 'generous')",-1.4925121,-1.5246509,-0.0321388
41,-0.34274766,-0.23097226,"('unforgiving', 'forgiving')",-0.3427477,-0.2309723,0.1117754
42,-1.2191055,-1.1117288,"('unreliable', 'reliable')",-1.2191055,-1.1117288,0.1073767
43,-1.0262173,-0.93015397,"('irresponsible', 'responsible')",-1.0262173,-0.930154,0.0960633
44,0.51326776,0.4432237,"('prejudiced', 'unprejudiced')",0.5132678,0.4432237,-0.0700441
45,-0.95833325,-0.7245932,"('incompetent', 'competent')",-0.9583333,-0.7245932,0.2337401
46,-1.1165621,-0.9995214,"('uncompetitive', 'competitive')",-1.1165621,-0.9995214,0.1170407
47,0.77878803,0.8733432,"('stupid', 'smart')",0.778788,0.8733432,0.0945552
48,-0.5353006,-0.49340385,"('unintelligent', 'intelligent')",-0.5353006,-0.4934039,0.0418967
49,0.37335274,0.47540814,"('unable', 'able')",0.3733527,0.4754081,0.1020554
50,-0.2152082,-0.21385327,"('clumsy', 'skillful')",-0.2152082,-0.2138533,0.0013549
51,-1.1973388,-1.2701899,"('uneducated', 'educated')",-1.1973388,-1.2701899,-0.0728511
52,0.4196111,0.19727367,"('irrational', 'rational')",0.4196111,0.1972737,-0.2223374
53,-1.2765001,-1.3345495,"('uncreative', 'creative')",-1.2765001,-1.3345495,-0.0580494
54,0.371799,0.28806564,"('incapable', 'capable')",0.371799,0.2880656,-0.0837334
55,-0.93210673,-0.7484866,"('incompetent', 'clever')",-0.9321067,-0.7484866,0.1836201
56,-0.27628905,-0.17146313,"('impractical', 'practical')",-0.276289,-0.1714631,0.1048259
57,-1.7675797,-1.7076527,"('unimaginative', 'imaginative')",-1.7675797,-1.7076527,0.059927
