,generosity_male,generosity_female,tuple,average_male,average_female,female-male
0,0.28916425,0.19931108,"('unsociable', 'sociable')",0.2891642,0.1993111,-0.0898531
1,1.0868787,1.0806109,"('unfriendly', 'friendly')",1.0868787,1.0806109,-0.0062678
2,0.4090904,0.5744721,"('unlikable', 'likable')",0.4090904,0.5744721,0.1653817
3,0.6986344,0.83038443,"('repellent', 'pleasant')",0.6986344,0.8303844,0.13175
4,-7.334705,-7.2248626,"('disliked', 'liked')",-7.3347049,-7.2248626,0.1098423
5,-0.7048468,-0.5359518,"('distant', 'outgoing')",-0.7048468,-0.5359518,0.168895
6,-0.30344254,-0.2075834,"('distant', 'open')",-0.3034425,-0.2075834,0.0958591
7,1.2780417,1.2425894,"('insensitive', 'sensitive')",1.2780417,1.2425894,-0.0354523
8,0.9510259,0.9012648,"('unaffectionate', 'affectionate')",0.9510259,0.9012648,-0.0497611
9,1.4191977,1.4006096,"('unaffectionate', 'caring')",1.4191977,1.4006096,-0.0185881
10,1.5787549,1.470619,"('unsympathetic', 'sympathetic')",1.5787549,1.470619,-0.1081359
11,2.1864164,2.1602054,"('unhelpful', 'helpful')",2.1864164,2.1602054,-0.026211
12,-1.3291472,-1.2550297,"('unsupportive', 'supportive')",-1.3291472,-1.2550297,0.0741175
13,0.46506175,0.4139462,"('impolite', 'polite')",0.4650618,0.4139462,-0.0511156
14,0.40633994,0.3472471,"('antisocial', 'social')",0.4063399,0.3472471,-0.0590928
15,0.6006247,0.5806199,"('boring', 'funny')",0.6006247,0.5806199,-0.0200048
16,-0.9695909,-0.8344811,"('unpopular', 'popular')",-0.9695909,-0.8344811,0.1351098
17,0.21802653,0.17950521,"('nasty', 'nice')",0.2180265,0.1795052,-0.0385213
18,-0.30099776,-0.21978232,"('disagreeable', 'welcoming')",-0.3009978,-0.2197823,0.0812155
19,-0.667892,-0.56858724,"('inhospitable', 'hospitable')",-0.667892,-0.5685872,0.0993048
20,0.90956664,0.735213,"('rough', 'thoughtful')",0.9095666,0.735213,-0.1743536
