,cooperation_male,cooperation_female,tuple,average_male,average_female,female-male
0,1.1307131,0.96092635,"('unsociable', 'sociable')",1.1307131,0.9609264,-0.1697867
1,0.31327164,0.22614893,"('unfriendly', 'friendly')",0.3132716,0.2261489,-0.0871227
2,0.53413755,0.60968715,"('unlikable', 'likable')",0.5341375,0.6096871,0.0755496
3,0.71799105,0.7965211,"('repellent', 'pleasant')",0.7179911,0.7965211,0.07853
4,-6.3371997,-6.4619,"('disliked', 'liked')",-6.3371997,-6.4619002,-0.1247005
5,-2.1695526,-2.112392,"('distant', 'outgoing')",-2.1695526,-2.1123919,0.0571607
6,-1.7322853,-1.686406,"('distant', 'open')",-1.7322853,-1.686406,0.0458793
7,0.99373287,0.932446,"('insensitive', 'sensitive')",0.9937329,0.932446,-0.0612869
8,-0.018660892,0.027890682,"('unaffectionate', 'affectionate')",-0.0186609,0.0278907,0.0465516
9,1.1932043,1.2516731,"('unaffectionate', 'caring')",1.1932043,1.2516731,0.0584688
10,1.571482,1.5568591,"('unsympathetic', 'sympathetic')",1.5714819,1.5568591,-0.0146228
11,3.6245208,3.625906,"('unhelpful', 'helpful')",3.6245208,3.625906,0.0013852
12,-1.0076964,-1.081817,"('unsupportive', 'supportive')",-1.0076964,-1.081817,-0.0741206
13,1.1254704,0.9895653,"('impolite', 'polite')",1.1254704,0.9895653,-0.1359051
14,1.8345834,1.6960418,"('antisocial', 'social')",1.8345834,1.6960418,-0.1385416
15,0.24364337,0.3184813,"('boring', 'funny')",0.2436434,0.3184813,0.0748379
16,-0.32221407,-0.3053282,"('unpopular', 'popular')",-0.3222141,-0.3053282,0.0168859
17,0.16522422,0.07603995,"('nasty', 'nice')",0.1652242,0.0760399,-0.0891843
18,-1.0609237,-1.1654444,"('disagreeable', 'welcoming')",-1.0609237,-1.1654444,-0.1045207
19,-1.5090648,-1.5109729,"('inhospitable', 'hospitable')",-1.5090648,-1.5109729,-0.0019081
20,1.6555581,1.4284728,"('rough', 'thoughtful')",1.6555581,1.4284728,-0.2270853
21,1.2166431,1.1159034,"('immoral', 'moral')",1.2166431,1.1159034,-0.1007397
22,0.55091625,0.40925625,"('untrustworthy', 'trustworthy')",0.5509163,0.4092562,-0.1416601
23,6.1968136,6.2535634,"('insincere', 'sincere')",6.1968136,6.2535634,0.0567498
24,1.3653927,1.4080219,"('dishonest', 'honest')",1.3653927,1.4080219,0.0426292
25,0.34937418,0.27103442,"('egoistic', 'altruistic')",0.3493742,0.2710344,-0.0783398
26,1.4018435,1.1875541,"('hardhearted', 'benevolent')",1.4018435,1.1875541,-0.2142894
27,0.30040076,0.24778715,"('hardhearted', 'softhearted')",0.3004008,0.2477871,-0.0526137
28,1.7304666,1.6533445,"('disloyal', 'loyal')",1.7304666,1.6533445,-0.0771221
29,-0.9941483,-1.1537054,"('unfair', 'fair')",-0.9941483,-1.1537054,-0.1595571
30,1.7273458,1.7331614,"('intolerant', 'tolerant')",1.7273458,1.7331614,0.0058156
31,-2.9563012,-3.0163915,"('evil', 'good')",-2.9563012,-3.0163915,-0.0600903
32,1.5646864,1.4305519,"('unkind', 'kind')",1.5646864,1.4305519,-0.1341345
33,-0.426722,-0.63558084,"('wrong', 'right')",-0.426722,-0.6355808,-0.2088588
34,4.0575686,4.398256,"('mean', 'honorable')",4.0575686,4.3982558,0.3406872
35,-2.3298109,-2.457714,"('corrupt', 'incorrupt')",-2.3298109,-2.4577141,-0.1279032
36,-1.4902649,-1.465202,"('hostile', 'amicable')",-1.4902649,-1.465202,0.0250629
