,adverb_male,adverb_female,tuple,average_male,average_female,female-male
0,-0.83685964,-1.0376536,"('unsociable', 'sociable')",-0.8368596,-1.0376536,-0.200794
1,-1.3710225,-1.6000237,"('unfriendly', 'friendly')",-1.3710225,-1.6000237,-0.2290012
2,-0.4201352,-0.32439932,"('unlikable', 'likable')",-0.4201352,-0.3243993,0.0957359
3,-0.5777682,-0.41609392,"('repellent', 'pleasant')",-0.5777682,-0.4160939,0.1616743
4,-1.716782,-1.6156849,"('disliked', 'liked')",-1.716782,-1.6156849,0.1010971
5,-1.2367195,-1.2408812,"('distant', 'outgoing')",-1.2367195,-1.2408812,-0.0041617
6,-1.3422724,-1.4211164,"('distant', 'open')",-1.3422724,-1.4211164,-0.078844
7,-0.5565288,-0.4338849,"('insensitive', 'sensitive')",-0.5565288,-0.4338849,0.1226439
8,-2.0296907,-2.181394,"('unaffectionate', 'affectionate')",-2.0296907,-2.1813941,-0.1517034
9,-1.9264876,-2.029565,"('unaffectionate', 'caring')",-1.9264876,-2.0295651,-0.1030775
10,-0.67313796,-0.7238081,"('unsympathetic', 'sympathetic')",-0.673138,-0.7238081,-0.0506701
11,0.47936875,0.71261334,"('unhelpful', 'helpful')",0.4793687,0.7126133,0.2332446
12,-1.9492589,-1.7788653,"('unsupportive', 'supportive')",-1.9492589,-1.7788653,0.1703936
13,-0.4847782,-0.37750077,"('impolite', 'polite')",-0.4847782,-0.3775008,0.1072774
14,-0.4024661,-0.27774712,"('antisocial', 'social')",-0.4024661,-0.2777471,0.124719
15,0.41030037,0.36018443,"('boring', 'funny')",0.4103004,0.3601844,-0.050116
16,-1.7675545,-1.6352044,"('unpopular', 'popular')",-1.7675545,-1.6352044,0.1323501
17,0.24660207,0.2453815,"('nasty', 'nice')",0.2466021,0.2453815,-0.0012206
18,-1.6330827,-1.5164276,"('disagreeable', 'welcoming')",-1.6330827,-1.5164276,0.1166551
19,-0.5085907,-0.614143,"('inhospitable', 'hospitable')",-0.5085907,-0.614143,-0.1055523
20,0.49266616,0.6004665,"('rough', 'thoughtful')",0.4926662,0.6004665,0.1078003
21,0.18739258,0.38166124,"('immoral', 'moral')",0.1873926,0.3816612,0.1942686
22,0.22021694,0.3204426,"('untrustworthy', 'trustworthy')",0.2202169,0.3204426,0.1002257
23,0.9675428,0.92594403,"('insincere', 'sincere')",0.9675428,0.925944,-0.0415988
24,-0.08476028,-0.16515717,"('dishonest', 'honest')",-0.0847603,-0.1651572,-0.0803969
25,-0.41915855,-0.58475405,"('egoistic', 'altruistic')",-0.4191585,-0.584754,-0.1655955
26,0.6888136,0.34671256,"('hardhearted', 'benevolent')",0.6888136,0.3467126,-0.342101
27,-0.27263802,-0.452696,"('hardhearted', 'softhearted')",-0.272638,-0.452696,-0.180058
28,-0.6089464,-0.8357789,"('disloyal', 'loyal')",-0.6089464,-0.8357789,-0.2268325
