,anywhere_male,anywhere_female,tuple,average_male,average_female,female-male
0,1.0126774,0.7441391,"('unsociable', 'sociable')",1.0126774,0.7441391,-0.2685383
1,2.0153975,2.1439521,"('unfriendly', 'friendly')",2.0153975,2.1439521,0.1285546
2,0.10860746,0.21345219,"('unlikable', 'likable')",0.1086075,0.2134522,0.1048447
3,1.0865488,1.1088997,"('repellent', 'pleasant')",1.0865488,1.1088997,0.0223509
4,-7.0925846,-7.1076946,"('disliked', 'liked')",-7.0925846,-7.1076946,-0.01511
5,-0.36478588,-0.024206704,"('distant', 'outgoing')",-0.3647859,-0.0242067,0.3405792
6,0.49451464,0.8890979,"('distant', 'open')",0.4945146,0.8890979,0.3945833
7,2.4058597,2.1931953,"('insensitive', 'sensitive')",2.4058597,2.1931953,-0.2126644
8,1.111917,1.2042695,"('unaffectionate', 'affectionate')",1.111917,1.2042695,0.0923525
9,1.9183085,2.077357,"('unaffectionate', 'caring')",1.9183085,2.0773571,0.1590486
10,1.2300524,0.9227291,"('unsympathetic', 'sympathetic')",1.2300524,0.9227291,-0.3073233
11,2.2486205,2.2245903,"('unhelpful', 'helpful')",2.2486205,2.2245903,-0.0240302
12,-0.62184453,-0.59113884,"('unsupportive', 'supportive')",-0.6218445,-0.5911388,0.0307057
13,0.63882166,0.31763062,"('impolite', 'polite')",0.6388217,0.3176306,-0.3211911
14,0.598326,0.24291395,"('antisocial', 'social')",0.598326,0.2429139,-0.3554121
15,0.54650545,0.5267021,"('boring', 'funny')",0.5465055,0.5267021,-0.0198034
16,-0.6833361,-0.5682527,"('unpopular', 'popular')",-0.6833361,-0.5682527,0.1150834
17,-1.1325498,-1.1200342,"('nasty', 'nice')",-1.1325498,-1.1200342,0.0125156
18,0.009539492,-0.020898942,"('disagreeable', 'welcoming')",0.0095395,-0.0208989,-0.0304384
19,-0.4998941,-0.21907361,"('inhospitable', 'hospitable')",-0.4998941,-0.2190736,0.2808205
20,0.38929123,0.2219666,"('rough', 'thoughtful')",0.3892912,0.2219666,-0.1673246
21,0.35351312,0.24982958,"('immoral', 'moral')",0.3535131,0.2498296,-0.1036835
