,procurement_male,procurement_female,tuple,average_male,average_female,female-male
0,0.08093297,-0.065147385,"('unsociable', 'sociable')",0.080933,-0.0651474,-0.1460804
1,1.5079466,1.4239799,"('unfriendly', 'friendly')",1.5079466,1.4239799,-0.0839667
2,0.52822423,0.64318883,"('unlikable', 'likable')",0.5282242,0.6431888,0.1149646
3,0.77808446,1.0832523,"('repellent', 'pleasant')",0.7780845,1.0832523,0.3051678
4,-7.577057,-7.5286164,"('disliked', 'liked')",-7.5770569,-7.5286164,0.0484405
5,-0.3809797,-0.29604653,"('distant', 'outgoing')",-0.3809797,-0.2960465,0.0849332
6,-0.1479016,-0.051063,"('distant', 'open')",-0.1479016,-0.051063,0.0968386
7,1.3395457,1.4790566,"('insensitive', 'sensitive')",1.3395457,1.4790566,0.1395109
8,1.2452327,1.1484549,"('unaffectionate', 'affectionate')",1.2452327,1.1484549,-0.0967778
9,1.7528896,1.6731471,"('unaffectionate', 'caring')",1.7528896,1.6731471,-0.0797425
10,1.1591865,1.3862683,"('unsympathetic', 'sympathetic')",1.1591865,1.3862683,0.2270818
11,2.0884895,2.123031,"('unhelpful', 'helpful')",2.0884895,2.1230309,0.0345414
12,-1.2593759,-1.1918111,"('unsupportive', 'supportive')",-1.2593759,-1.1918111,0.0675648
13,0.0036597922,-0.02175007,"('impolite', 'polite')",0.0036598,-0.0217501,-0.0254099
14,0.46074933,0.37048444,"('antisocial', 'social')",0.4607493,0.3704844,-0.0902649
15,0.11601899,0.16124135,"('boring', 'funny')",0.116019,0.1612414,0.0452224
16,-0.6129664,-0.5664287,"('unpopular', 'popular')",-0.6129664,-0.5664287,0.0465377
17,-0.26068974,-0.14306034,"('nasty', 'nice')",-0.2606897,-0.1430603,0.1176294
18,-0.49506247,-0.4326132,"('disagreeable', 'welcoming')",-0.4950625,-0.4326132,0.0624493
19,-0.40458697,-0.21761787,"('inhospitable', 'hospitable')",-0.404587,-0.2176179,0.1869691
20,1.058619,0.894543,"('rough', 'thoughtful')",1.058619,0.894543,-0.164076
21,0.33648035,0.4853613,"('immoral', 'moral')",0.3364803,0.4853613,0.148881
22,-0.2196276,-0.1300053,"('untrustworthy', 'trustworthy')",-0.2196276,-0.1300053,0.0896223
23,7.2541633,7.29667,"('insincere', 'sincere')",7.2541633,7.29667,0.0425067
24,2.0917993,2.2787585,"('dishonest', 'honest')",2.0917993,2.2787585,0.1869592
25,0.8037142,0.60420537,"('egoistic', 'altruistic')",0.8037142,0.6042054,-0.1995088
26,0.5301192,0.36989596,"('hardhearted', 'benevolent')",0.5301192,0.369896,-0.1602232
27,1.4395659,1.3688082,"('hardhearted', 'softhearted')",1.4395659,1.3688082,-0.0707577
28,1.2476202,1.2654755,"('disloyal', 'loyal')",1.2476202,1.2654755,0.0178553
29,-0.1705223,-0.14052497,"('unfair', 'fair')",-0.1705223,-0.140525,0.0299973
30,1.4517149,1.378264,"('intolerant', 'tolerant')",1.4517149,1.378264,-0.0734509
31,-1.6753341,-1.5197957,"('evil', 'good')",-1.6753341,-1.5197957,0.1555384
32,1.3183516,1.3211645,"('unkind', 'kind')",1.3183516,1.3211645,0.0028129
33,-0.43702203,-0.54476887,"('wrong', 'right')",-0.437022,-0.5447689,-0.1077469
34,4.990689,5.157483,"('mean', 'honorable')",4.9906888,5.1574831,0.1667943
