,probation_male,probation_female,tuple,average_male,average_female,female-male
0,-0.005866077,-0.23912027,"('unsociable', 'sociable')",-0.0058661,-0.2391203,-0.2332542
1,2.0386422,2.0476656,"('unfriendly', 'friendly')",2.0386422,2.0476656,0.0090234
2,0.57784206,0.7286067,"('unlikable', 'likable')",0.5778421,0.7286067,0.1507646
3,0.47202325,0.50746083,"('repellent', 'pleasant')",0.4720232,0.5074608,0.0354376
4,-7.574453,-7.5408835,"('disliked', 'liked')",-7.5744529,-7.5408835,0.0335694
5,0.32290435,0.46381167,"('distant', 'outgoing')",0.3229043,0.4638117,0.1409074
6,0.6586733,0.7897098,"('distant', 'open')",0.6586733,0.7897098,0.1310365
7,0.4367419,0.40472758,"('insensitive', 'sensitive')",0.4367419,0.4047276,-0.0320143
8,1.5730195,1.5639383,"('unaffectionate', 'affectionate')",1.5730195,1.5639383,-0.0090812
9,2.2891731,2.339782,"('unaffectionate', 'caring')",2.2891731,2.339782,0.0506089
10,0.45496392,0.46666142,"('unsympathetic', 'sympathetic')",0.4549639,0.4666614,0.0116975
11,1.88235,1.8952912,"('unhelpful', 'helpful')",1.88235,1.8952912,0.0129412
12,-1.6757433,-1.7189815,"('unsupportive', 'supportive')",-1.6757433,-1.7189815,-0.0432382
13,0.040921554,-0.071087524,"('impolite', 'polite')",0.0409216,-0.0710875,-0.1120091
14,-0.5978911,-0.8016218,"('antisocial', 'social')",-0.5978911,-0.8016218,-0.2037307
15,0.40185124,0.38115162,"('boring', 'funny')",0.4018512,0.3811516,-0.0206996
16,0.13554764,0.13644238,"('unpopular', 'popular')",0.1355476,0.1364424,0.0008948
17,0.0014278032,-0.0040084906,"('nasty', 'nice')",0.0014278,-0.0040085,-0.0054363
18,-0.81000465,-0.9402547,"('disagreeable', 'welcoming')",-0.8100047,-0.9402547,-0.13025
19,-0.28633276,-0.08302836,"('inhospitable', 'hospitable')",-0.2863328,-0.0830284,0.2033044
20,0.6668482,0.4962014,"('rough', 'thoughtful')",0.6668482,0.4962014,-0.1706468
21,-0.5152986,-0.4215265,"('immoral', 'moral')",-0.5152986,-0.4215265,0.0937721
22,-0.9247761,-0.8804012,"('untrustworthy', 'trustworthy')",-0.9247761,-0.8804012,0.0443749
23,7.221866,7.1573033,"('insincere', 'sincere')",7.2218661,7.1573033,-0.0645628
24,1.4312387,1.4672997,"('dishonest', 'honest')",1.4312387,1.4672997,0.036061
25,0.9331806,0.838336,"('egoistic', 'altruistic')",0.9331806,0.838336,-0.0948446
26,1.0066115,0.85241,"('hardhearted', 'benevolent')",1.0066115,0.85241,-0.1542015
27,1.5844398,1.4087464,"('hardhearted', 'softhearted')",1.5844398,1.4087464,-0.1756934
28,1.4286989,1.330187,"('disloyal', 'loyal')",1.4286989,1.330187,-0.0985119
29,-0.7480248,-0.7971489,"('unfair', 'fair')",-0.7480248,-0.7971489,-0.0491241
30,0.72347,0.6107024,"('intolerant', 'tolerant')",0.72347,0.6107024,-0.1127676
31,-1.332119,-1.2620707,"('evil', 'good')",-1.332119,-1.2620707,0.0700483
32,1.3978359,1.3347113,"('unkind', 'kind')",1.3978359,1.3347113,-0.0631246
33,-0.06494548,-0.047879808,"('wrong', 'right')",-0.0649455,-0.0478798,0.0170657
34,5.641866,5.769568,"('mean', 'honorable')",5.6418662,5.769568,0.1277018
35,-0.5695954,-0.6074978,"('corrupt', 'incorrupt')",-0.5695954,-0.6074978,-0.0379024
36,-0.05976499,-0.01637031,"('hostile', 'amicable')",-0.059765,-0.0163703,0.0433947
37,0.5702423,0.5947608,"('fake', 'genuine')",0.5702423,0.5947608,0.0245185
38,0.42226303,0.4586232,"('untruthful', 'truthful')",0.422263,0.4586232,0.0363602
39,-0.07780574,-0.11356031,"('exploitative', 'cooperative')",-0.0778057,-0.1135603,-0.0357546
40,-2.1779792,-2.364094,"('stingy', 'generous')",-2.1779792,-2.364094,-0.1861148
41,-0.124382555,-0.14338952,"('unforgiving', 'forgiving')",-0.1243826,-0.1433895,-0.0190069
42,-2.9993055,-2.9234114,"('unreliable', 'reliable')",-2.9993055,-2.9234114,0.0758941
43,1.0367149,0.9854558,"('irresponsible', 'responsible')",1.0367149,0.9854558,-0.0512591
44,-1.5507164,-1.5436764,"('prejudiced', 'unprejudiced')",-1.5507164,-1.5436764,0.00704
45,-0.07507755,-0.09166336,"('incompetent', 'competent')",-0.0750775,-0.0916634,-0.0165859
46,-1.1425047,-1.202568,"('uncompetitive', 'competitive')",-1.1425047,-1.2025681,-0.0600634
47,6.0405083,6.17727,"('stupid', 'smart')",6.0405083,6.1772699,0.1367616
48,0.5938472,0.4749492,"('unintelligent', 'intelligent')",0.5938472,0.4749492,-0.118898
49,0.08175202,0.19292116,"('unable', 'able')",0.081752,0.1929212,0.1111692
