,constellation_male,constellation_female,tuple,average_male,average_female,female-male
0,-0.13723335,-0.15069845,"('unsociable', 'sociable')",-0.1372333,-0.1506985,-0.0134652
1,1.1871421,1.0103216,"('unfriendly', 'friendly')",1.1871421,1.0103216,-0.1768205
2,0.29195577,0.3963271,"('unlikable', 'likable')",0.2919558,0.3963271,0.1043713
3,0.67350537,0.7377967,"('repellent', 'pleasant')",0.6735054,0.7377967,0.0642913
4,-7.2395644,-7.440863,"('disliked', 'liked')",-7.2395644,-7.4408631,-0.2012987
5,-0.4211656,-0.52905446,"('distant', 'outgoing')",-0.4211656,-0.5290545,-0.1078889
6,-0.011245806,-0.1752064,"('distant', 'open')",-0.0112458,-0.1752064,-0.1639606
7,0.846075,0.8903119,"('insensitive', 'sensitive')",0.846075,0.8903119,0.0442369
8,1.144347,0.97662014,"('unaffectionate', 'affectionate')",1.144347,0.9766201,-0.1677269
9,1.5759532,1.5573456,"('unaffectionate', 'caring')",1.5759532,1.5573456,-0.0186076
10,0.9831971,1.081033,"('unsympathetic', 'sympathetic')",0.9831971,1.081033,0.0978359
11,1.6201699,1.7073998,"('unhelpful', 'helpful')",1.6201699,1.7073998,0.0872299
12,-1.5294838,-1.5598418,"('unsupportive', 'supportive')",-1.5294838,-1.5598418,-0.030358
13,-0.17949262,-0.06457485,"('impolite', 'polite')",-0.1794926,-0.0645749,0.1149177
14,-0.12237542,-0.13856766,"('antisocial', 'social')",-0.1223754,-0.1385677,-0.0161923
15,0.12371428,-0.026129393,"('boring', 'funny')",0.1237143,-0.0261294,-0.1498437
16,-0.39658263,-0.3952527,"('unpopular', 'popular')",-0.3965826,-0.3952527,0.0013299
17,-0.13242753,-0.10750989,"('nasty', 'nice')",-0.1324275,-0.1075099,0.0249176
18,-0.251404,-0.29431674,"('disagreeable', 'welcoming')",-0.251404,-0.2943167,-0.0429127
19,-0.74647653,-0.77028257,"('inhospitable', 'hospitable')",-0.7464765,-0.7702826,-0.0238061
20,1.0948079,0.98813784,"('rough', 'thoughtful')",1.0948079,0.9881378,-0.1066701
21,-0.22388934,-0.07019364,"('immoral', 'moral')",-0.2238893,-0.0701936,0.1536957
22,-0.3695432,-0.37085408,"('untrustworthy', 'trustworthy')",-0.3695432,-0.3708541,-0.0013109
23,6.0125837,6.1139164,"('insincere', 'sincere')",6.0125837,6.1139164,0.1013327
24,1.486673,1.3790579,"('dishonest', 'honest')",1.486673,1.3790579,-0.1076151
25,0.5945865,0.52113444,"('egoistic', 'altruistic')",0.5945865,0.5211344,-0.0734521
26,0.70978004,0.49981606,"('hardhearted', 'benevolent')",0.70978,0.4998161,-0.2099639
27,1.7271297,1.5414262,"('hardhearted', 'softhearted')",1.7271297,1.5414262,-0.1857035
28,1.0550001,0.9775257,"('disloyal', 'loyal')",1.0550001,0.9775257,-0.0774744
29,-0.4991783,-0.6445655,"('unfair', 'fair')",-0.4991783,-0.6445655,-0.1453872
30,0.689808,0.7538785,"('intolerant', 'tolerant')",0.689808,0.7538785,0.0640705
31,-1.2238946,-1.3915058,"('evil', 'good')",-1.2238946,-1.3915058,-0.1676112
32,1.1806115,1.11609,"('unkind', 'kind')",1.1806115,1.1160901,-0.0645214
33,-0.3373081,-0.39146018,"('wrong', 'right')",-0.3373081,-0.3914602,-0.0541521
34,4.2611547,4.447407,"('mean', 'honorable')",4.2611547,4.4474068,0.1862521
35,-0.8698639,-1.2039007,"('corrupt', 'incorrupt')",-0.8698639,-1.2039007,-0.3340368
36,-0.58001816,-0.79565644,"('hostile', 'amicable')",-0.5800182,-0.7956564,-0.2156382
37,0.7848874,0.7989229,"('fake', 'genuine')",0.7848874,0.7989229,0.0140355
38,-0.31233278,-0.254668,"('untruthful', 'truthful')",-0.3123328,-0.254668,0.0576648
