,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,female-male
57,-1.3513076,-1.4096835,"('unimaginative', 'imaginative')",-2.0450592,-2.1212997,-1.6981834,-1.7654916,-0.0673082
58,-0.5784993,-0.62021875,"('undiscriminating', 'discriminating')",0.35552406,0.2670805,-0.1114876,-0.1765691,-0.0650815
59,1.0844764,1.0803784,"('foolish', 'wise')",0.44717622,0.43204647,0.7658263,0.7562125,-0.0096138
60,-1.1964794,-1.1637182,"('inefficient', 'efficient')",-0.3263244,-0.22280607,-0.7614019,-0.6932622,0.0681397
61,-0.7269313,-0.8117011,"('illogical', 'logical')",0.40479064,0.2779695,-0.1610703,-0.2668658,-0.1057955
62,-1.2716798,-1.1836332,"('incompetent', 'brilliant')",0.17009129,0.26504633,-0.5507942,-0.4592934,0.0915008
63,-1.6428953,-1.6008797,"('unperceptive', 'insightful')",1.0316726,1.0622014,-0.3056114,-0.2693391,0.0362723
64,0.009267759,-0.021758337,"('shy', 'confident')",-6.1959295,-6.201214,-3.0933309,-3.1114862,-0.0181553
65,-1.4306196,-1.4693143,"('insecure', 'secure')",-0.84341073,-0.84556013,-1.1370151,-1.1574372,-0.0204221
66,0.5682145,0.5622259,"('inactive', 'active')",1.0075731,1.0004282,0.7878938,0.781327,-0.0065668
67,-0.07222079,-0.030055791,"('doubtful', 'determined')",-0.5092254,-0.45142177,-0.2907231,-0.2407388,0.0499843
68,-0.65447134,-0.67130584,"('dependent', 'independent')",-0.33995315,-0.38847125,-0.4972122,-0.5298885,-0.0326763
69,1.8562381,1.8664473,"('lazy', 'industrious')",-0.23037867,-0.23605192,0.8129297,0.8151977,0.002268
70,-1.1552733,-1.0656558,"('lethargic', 'energetic')",0.5519264,0.573689,-0.3016735,-0.2459834,0.0556901
71,0.33734527,0.3038988,"('diffident', 'self-confident')",0.74048823,0.730369,0.5389168,0.5171339,-0.0217829
72,-1.0918086,-1.0792809,"('unambitious', 'ambitious')",-0.7823405,-0.79493576,-0.9370745,-0.9371083,-3.38e-05
73,1.470212,1.4904346,"('helpless', 'self-reliant')",-2.3532789,-2.3213205,-0.4415334,-0.4154429,0.0260905
74,0.3817401,0.3500773,"('undedicated', 'dedicated')",0.36388507,0.26347956,0.3728126,0.3067784,-0.0660342
75,0.92701256,0.95936537,"('meek', 'impulsive')",-0.1672758,-0.11010714,0.3798684,0.4246291,0.0447607
76,-0.55500907,-0.3855834,"('anxious', 'daring')",0.04533454,0.19068795,-0.2548373,-0.0974477,0.1573896
77,-0.57153636,-0.5867532,"('unmotivated', 'motivated')",-1.0019305,-0.9333286,-0.7867334,-0.7600409,0.0266925
78,-0.5697248,-0.5445193,"('nonresilient', 'resilient')",0.7926831,0.8202082,0.1114792,0.1378444,0.0263652
79,0.72871196,0.68416524,"('wavering', 'unwavering')",0.24558578,0.2501874,0.4871489,0.4671763,-0.0199726
80,-0.50507116,-0.467951,"('dominated', 'dominating')",-1.2296941,-1.1778547,-0.8673826,-0.8229028,0.0444798
81,-1.4632441,-1.4401476,"('submissive', 'aggressive')",-1.0280408,-0.9382103,-1.2456424,-1.1891789,0.0564635
82,-0.6076357,-0.57291603,"('poor', 'rich')",5.079007,5.0903997,2.2356858,2.2587419,0.0230561
83,-0.6842449,-0.7295102,"('powerless', 'powerful')",-0.7975018,-0.82905865,-0.7408733,-0.7792844,-0.0384111
84,0.23893708,0.15775234,"('inferior', 'superior')",1.3288658,1.2528553,0.7839015,0.7053038,-0.0785977
85,1.9497012,1.9412144,"('insignificant', 'prestigious')",1.2282702,1.1965734,1.5889857,1.5688939,-0.0200918
86,-1.8409567,-1.9967576,"('uninfluential', 'influential')",-0.004345365,-0.19202615,-0.9226511,-1.0943919,-0.1717408
87,0.5616021,0.49720767,"('unsuccessful', 'successful')",1.2616875,1.3061689,0.9116448,0.9016883,-0.0099565
88,-0.61807543,-0.6517064,"('low', 'eminent')",0.18307066,0.1684522,-0.2175024,-0.2416271,-0.0241247
