,secretary_male,secretary_female,tuple,average_male,average_female,female-male
0,1.5538868,1.2767172,"('unsociable', 'sociable')",1.5538868,1.2767172,-0.2771696
1,0.7473905,0.6541804,"('unfriendly', 'friendly')",0.7473905,0.6541804,-0.0932101
2,0.46059102,0.57130957,"('unlikable', 'likable')",0.460591,0.5713096,0.1107186
3,0.31709835,0.3931943,"('repellent', 'pleasant')",0.3170983,0.3931943,0.076096
4,-6.1047463,-6.3384895,"('disliked', 'liked')",-6.1047463,-6.3384895,-0.2337432
5,-1.4553776,-1.3717626,"('distant', 'outgoing')",-1.4553776,-1.3717626,0.083615
6,-1.3093299,-1.2143223,"('distant', 'open')",-1.3093299,-1.2143223,0.0950076
7,1.6447579,1.5199993,"('insensitive', 'sensitive')",1.6447579,1.5199993,-0.1247586
8,0.44510704,0.41336873,"('unaffectionate', 'affectionate')",0.445107,0.4133687,-0.0317383
9,1.2239771,1.2092649,"('unaffectionate', 'caring')",1.2239771,1.2092649,-0.0147122
10,0.9279987,0.93367285,"('unsympathetic', 'sympathetic')",0.9279987,0.9336728,0.0056741
11,3.4519637,3.3926318,"('unhelpful', 'helpful')",3.4519637,3.3926318,-0.0593319
12,-0.69331086,-0.852094,"('unsupportive', 'supportive')",-0.6933109,-0.852094,-0.1587831
13,1.0154463,0.92593086,"('impolite', 'polite')",1.0154463,0.9259309,-0.0895154
14,0.9572799,0.8362178,"('antisocial', 'social')",0.9572799,0.8362178,-0.1210621
15,0.4453351,0.35746002,"('boring', 'funny')",0.4453351,0.35746,-0.0878751
16,0.17930487,0.19412579,"('unpopular', 'popular')",0.1793049,0.1941258,0.0148209
17,0.076711774,0.13617711,"('nasty', 'nice')",0.0767118,0.1361771,0.0594653
18,-1.1045723,-1.1837821,"('disagreeable', 'welcoming')",-1.1045723,-1.1837821,-0.0792098
19,-1.0343996,-0.9021217,"('inhospitable', 'hospitable')",-1.0343996,-0.9021217,0.1322779
20,0.74268264,0.75421274,"('rough', 'thoughtful')",0.7426826,0.7542127,0.0115301
21,0.56762755,0.512972,"('immoral', 'moral')",0.5676275,0.512972,-0.0546555
22,0.6760973,0.5618547,"('untrustworthy', 'trustworthy')",0.6760973,0.5618547,-0.1142426
23,6.750732,6.7342334,"('insincere', 'sincere')",6.7507319,6.7342334,-0.0164985
24,1.41451,1.4636121,"('dishonest', 'honest')",1.41451,1.4636121,0.0491021
25,0.31317097,0.2657306,"('egoistic', 'altruistic')",0.313171,0.2657306,-0.0474404
26,1.5666232,1.3794215,"('hardhearted', 'benevolent')",1.5666232,1.3794215,-0.1872017
27,0.3284598,0.25597262,"('hardhearted', 'softhearted')",0.3284598,0.2559726,-0.0724872
28,1.2355174,1.1831863,"('disloyal', 'loyal')",1.2355174,1.1831863,-0.0523311
29,-0.92134833,-1.0067267,"('unfair', 'fair')",-0.9213483,-1.0067267,-0.0853784
30,1.2934504,1.2609367,"('intolerant', 'tolerant')",1.2934504,1.2609367,-0.0325137
