,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.9765104,-1.1698534,"('unsociable', 'sociable')",-0.63522977,-0.7612566,-0.15796916,-0.30531213,-0.5899031,-0.745474,-0.1555709
1,3.2891805,3.2207084,"('unfriendly', 'friendly')",0.7456011,0.56712997,1.5755037,1.4337296,1.8700951,1.7405227,-0.1295724
2,0.6161389,0.6130966,"('unlikable', 'likable')",0.6967292,0.68668586,0.7464662,0.7293905,0.6864448,0.676391,-0.0100538
3,-2.3322482,-2.1931572,"('repellent', 'pleasant')",0.30513465,0.44412673,0.20562398,0.23313832,-0.6071632,-0.5052974,0.1018658
4,0.4665966,0.38087162,"('disliked', 'liked')",-0.7959397,-0.9337404,-5.8669143,-6.0173664,-2.0654192,-2.1900784,-0.1246592
5,2.4267845,2.477148,"('distant', 'outgoing')",-0.10520081,-0.09862971,-0.5940038,-0.4882447,0.57586,0.6300912,0.0542312
6,2.9055455,2.9974623,"('distant', 'open')",-0.033714067,-0.028700028,-0.051146064,0.017910928,0.9402285,0.9955577,0.0553292
7,-0.5143533,-0.54011714,"('insensitive', 'sensitive')",-0.64918023,-0.5355004,0.5092587,0.54141605,-0.2180916,-0.1780672,0.0400244
8,1.1428143,1.1607369,"('unaffectionate', 'affectionate')",-0.6577368,-0.74328893,0.12547465,0.068087645,0.2035174,0.1618452,-0.0416722
9,1.6212684,1.6622814,"('unaffectionate', 'caring')",-0.07966255,-0.07577013,0.8628043,0.8658,0.80147,0.8174371,0.0159671
10,-2.0011191,-2.1310833,"('unsympathetic', 'sympathetic')",-1.576347,-1.5452167,-0.2348244,-0.31342733,-1.2707635,-1.3299092,-0.0591457
11,-0.3813299,-0.4461586,"('unhelpful', 'helpful')",0.48513493,0.52927655,2.0348098,2.0645387,0.7128716,0.7158856,0.003014
12,0.831445,0.8901615,"('unsupportive', 'supportive')",-0.03356956,0.036829177,-1.6482824,-1.6236675,-0.283469,-0.2322256,0.0512434
13,-1.1040562,-1.3083174,"('impolite', 'polite')",-0.597842,-0.6719735,-0.037149727,-0.11322129,-0.5796827,-0.6978374,-0.1181547
14,-0.8144516,-0.9285131,"('antisocial', 'social')",-0.7877175,-0.7852564,-0.5292338,-0.595473,-0.7104677,-0.7697475,-0.0592798
15,1.3039682,1.1430386,"('boring', 'funny')",-1.437769,-1.492331,0.3325,0.2986371,0.066233,-0.0168851,-0.0831181
16,0.23970826,0.2630017,"('unpopular', 'popular')",0.99285746,1.0015837,0.61905897,0.6523869,0.6172082,0.6389908,0.0217826
17,-0.40030992,-0.421023,"('nasty', 'nice')",-0.31214452,-0.2826472,-0.45527598,-0.3892271,-0.3892435,-0.3642991,0.0249444
18,0.6131114,0.5333098,"('disagreeable', 'welcoming')",0.18891156,0.2260625,-0.5858821,-0.62077194,0.0720469,0.0462001,-0.0258468
19,1.3478819,1.3402381,"('inhospitable', 'hospitable')",-0.4128296,-0.45242843,-0.24259754,-0.16294429,0.2308183,0.2416218,0.0108035
20,0.3565124,0.33636156,"('rough', 'thoughtful')",-0.014113706,0.066446155,1.1164378,1.1305071,0.4862789,0.5111049,0.024826
