,typewriter_male,typewriter_female,tuple,average_male,average_female,female-male
0,-0.4627089,-0.42926466,"('unsociable', 'sociable')",-0.4627089,-0.4292647,0.0334442
1,1.1663308,1.0636969,"('unfriendly', 'friendly')",1.1663308,1.0636969,-0.1026339
2,-0.026125377,-0.057906024,"('unlikable', 'likable')",-0.0261254,-0.057906,-0.0317806
3,-0.560848,-0.39589393,"('repellent', 'pleasant')",-0.560848,-0.3958939,0.1649541
4,-3.779273,-3.8640099,"('disliked', 'liked')",-3.779273,-3.8640099,-0.0847369
5,0.3307506,0.2928463,"('distant', 'outgoing')",0.3307506,0.2928463,-0.0379043
6,0.16673362,0.16230313,"('distant', 'open')",0.1667336,0.1623031,-0.0044305
7,-0.053059123,0.11980432,"('insensitive', 'sensitive')",-0.0530591,0.1198043,0.1728634
8,0.71926576,0.64360374,"('unaffectionate', 'affectionate')",0.7192658,0.6436037,-0.0756621
9,1.0632664,1.034718,"('unaffectionate', 'caring')",1.0632664,1.034718,-0.0285484
10,-0.61515707,-0.51484513,"('unsympathetic', 'sympathetic')",-0.6151571,-0.5148451,0.100312
11,0.5445681,0.60052943,"('unhelpful', 'helpful')",0.5445681,0.6005294,0.0559613
12,-0.836673,-0.7600689,"('unsupportive', 'supportive')",-0.836673,-0.7600689,0.0766041
13,-0.12618321,-0.0729626,"('impolite', 'polite')",-0.1261832,-0.0729626,0.0532206
14,-0.732114,-0.7137258,"('antisocial', 'social')",-0.732114,-0.7137258,0.0183882
15,0.82332355,0.7129857,"('boring', 'funny')",0.8233235,0.7129857,-0.1103378
16,-0.3794322,-0.40997422,"('unpopular', 'popular')",-0.3794322,-0.4099742,-0.030542
17,0.2754796,0.28396982,"('nasty', 'nice')",0.2754796,0.2839698,0.0084902
18,-1.0540557,-0.99874115,"('disagreeable', 'welcoming')",-1.0540557,-0.9987411,0.0553146
19,-0.42436236,-0.4535461,"('inhospitable', 'hospitable')",-0.4243624,-0.4535461,-0.0291837
20,0.20728216,0.24253261,"('rough', 'thoughtful')",0.2072822,0.2425326,0.0352504
21,-0.43864492,-0.34612617,"('immoral', 'moral')",-0.4386449,-0.3461262,0.0925187
22,-0.88609034,-0.83052254,"('untrustworthy', 'trustworthy')",-0.8860903,-0.8305225,0.0555678
23,3.3498085,3.446808,"('insincere', 'sincere')",3.3498085,3.4468081,0.0969996
24,0.84432113,0.9241648,"('dishonest', 'honest')",0.8443211,0.9241648,0.0798437
25,1.284782,1.2839094,"('egoistic', 'altruistic')",1.2847821,1.2839094,-0.0008727
26,1.9018308,1.6502305,"('hardhearted', 'benevolent')",1.9018308,1.6502305,-0.2516003
27,0.6675908,0.65465415,"('hardhearted', 'softhearted')",0.6675908,0.6546541,-0.0129367
28,0.49014592,0.35697806,"('disloyal', 'loyal')",0.4901459,0.3569781,-0.1331678
29,-0.56289506,-0.6029424,"('unfair', 'fair')",-0.5628951,-0.6029424,-0.0400473
30,0.14968935,0.15788561,"('intolerant', 'tolerant')",0.1496893,0.1578856,0.0081963
31,-0.55424,-0.60267043,"('evil', 'good')",-0.55424,-0.6026704,-0.0484304
32,0.6224983,0.58696795,"('unkind', 'kind')",0.6224983,0.5869679,-0.0355304
33,0.5134629,0.47549278,"('wrong', 'right')",0.5134629,0.4754928,-0.0379701
34,2.3271532,2.440707,"('mean', 'honorable')",2.3271532,2.440707,0.1135538
35,0.5058645,0.26520845,"('corrupt', 'incorrupt')",0.5058645,0.2652085,-0.240656
36,-0.035747528,-0.29371595,"('hostile', 'amicable')",-0.0357475,-0.293716,-0.2579685
37,-0.062394775,0.02993425,"('fake', 'genuine')",-0.0623948,0.0299342,0.092329
38,0.177471,0.14195584,"('untruthful', 'truthful')",0.177471,0.1419558,-0.0355152
39,0.1241487,0.14074863,"('exploitative', 'cooperative')",0.1241487,0.1407486,0.0165999
