,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,female-male
0,-0.14828521,-0.36785334,"('unsociable', 'sociable')",0.91881853,0.7717058,0.3852667,0.2019262,-0.1833405
1,0.5875543,0.5949266,"('unfriendly', 'friendly')",1.3208032,1.3002732,0.9541787,0.9475999,-0.0065788
2,1.8997592,1.9983726,"('unlikable', 'likable')",0.645571,0.8034653,1.272665,1.400919,0.128254
3,-0.10809024,0.0014740061,"('repellent', 'pleasant')",0.03360785,0.16039534,-0.0372412,0.0809347,0.1181759
4,0.41035566,0.44273654,"('disliked', 'liked')",-6.712923,-6.759632,-3.1512837,-3.1584477,-0.007164
5,0.8421631,0.92302376,"('distant', 'outgoing')",-0.47592437,-0.49051955,0.1831194,0.2162521,0.0331327
6,0.7614376,0.9038849,"('distant', 'open')",-0.37230918,-0.36902818,0.1945642,0.2674283,0.0728641
7,0.34072202,0.31180373,"('insensitive', 'sensitive')",1.5391065,1.6208093,0.9399142,0.9663065,0.0263923
8,0.26007053,0.3026447,"('unaffectionate', 'affectionate')",0.24798131,0.26157296,0.2540259,0.2821088,0.0280829
9,1.5065068,1.5351621,"('unaffectionate', 'caring')",1.9510602,1.9539531,1.7287835,1.7445576,0.0157741
10,-0.016838465,-0.086663164,"('unsympathetic', 'sympathetic')",0.7753589,0.8181265,0.3792602,0.3657317,-0.0135285
11,0.33866316,0.31707603,"('unhelpful', 'helpful')",3.0973344,3.0435638,1.7179987,1.6803199,-0.0376788
12,1.6129494,1.7449065,"('unsupportive', 'supportive')",-0.50200075,-0.464953,0.5554743,0.6399767,0.0845024
13,-0.03526412,-0.17680322,"('impolite', 'polite')",0.7080713,0.6681115,0.3364036,0.2456541,-0.0907495
14,0.6416713,0.51819164,"('antisocial', 'social')",0.5984148,0.5295956,0.620043,0.5238936,-0.0961494
15,1.5684248,1.4531035,"('boring', 'funny')",0.36662143,0.35654652,0.9675231,0.904825,-0.0626981
16,-0.7320084,-0.6542813,"('unpopular', 'popular')",0.29921088,0.29594636,-0.2163988,-0.1791675,0.0372313
17,0.7020273,0.7371735,"('nasty', 'nice')",0.24709143,0.13472441,0.4745594,0.435949,-0.0386104
18,0.7830955,0.8795537,"('disagreeable', 'welcoming')",0.07731422,0.07072547,0.4302048,0.4751396,0.0449348
19,0.1735529,0.2625995,"('inhospitable', 'hospitable')",-0.25386027,-0.2670683,-0.0401537,-0.0022344,0.0379193
20,0.1066927,0.13004246,"('rough', 'thoughtful')",0.05178602,0.0883965,0.0792394,0.1092195,0.0299801
21,0.4000083,0.36402398,"('immoral', 'moral')",0.1340367,0.2931821,0.2670225,0.328603,0.0615805
22,-0.9125931,-0.8689759,"('untrustworthy', 'trustworthy')",-0.6716953,-0.5690542,-0.7921442,-0.719015,0.0731292
23,1.0525202,0.9634815,"('insincere', 'sincere')",7.409694,7.375698,4.2311072,4.16959,-0.0615172
24,0.83366907,0.8409883,"('dishonest', 'honest')",1.3893429,1.4097145,1.111506,1.1253514,0.0138454
25,-0.00777483,0.048991673,"('egoistic', 'altruistic')",0.20310554,0.17413287,0.0976654,0.1115623,0.0138969
26,2.3276887,2.2925408,"('hardhearted', 'benevolent')",1.6256818,1.5738411,1.9766853,1.9331909,-0.0434944
27,0.7310407,0.8596749,"('hardhearted', 'softhearted')",0.753877,0.7870018,0.7424588,0.8233383,0.0808795
28,-0.11518105,-0.29117608,"('disloyal', 'loyal')",1.2811244,1.1985735,0.5829716,0.4536987,-0.1292729
29,-0.9189254,-0.8386109,"('unfair', 'fair')",-1.1577458,-1.1843289,-1.0383356,-1.0114698,0.0268658
30,1.6080776,1.5361855,"('intolerant', 'tolerant')",1.9343626,1.8368028,1.7712202,1.6864941,-0.0847261
31,-0.8843572,-0.70497173,"('evil', 'good')",-2.0271811,-1.9807696,-1.4557692,-1.3428707,0.1128985
32,0.63058925,0.60637194,"('unkind', 'kind')",1.6973684,1.6804907,1.1639788,1.1434313,-0.0205475
33,1.3364273,1.3308048,"('wrong', 'right')",0.48718548,0.40473425,0.9118064,0.8677695,-0.0440369
34,1.3445652,1.4752649,"('mean', 'honorable')",5.2114453,5.2622876,3.2780051,3.3687763,0.0907712
35,-0.22571202,-0.24541473,"('corrupt', 'incorrupt')",-1.3206785,-1.4469013,-0.7731953,-0.846158,-0.0729627
36,0.97029257,0.95250756,"('hostile', 'amicable')",-0.9746075,-1.0737078,-0.0021575,-0.0606001,-0.0584426
37,-0.9847946,-0.95491517,"('fake', 'genuine')",0.49344334,0.5012198,-0.2456756,-0.2268477,0.0188279
38,0.58798915,0.5826817,"('untruthful', 'truthful')",1.4207778,1.3855737,1.0043834,0.9841278,-0.0202556
39,1.2754676,1.225764,"('exploitative', 'cooperative')",0.7401366,0.68095714,1.0078021,0.9533606,-0.0544415
40,0.5625921,0.6661678,"('stingy', 'generous')",-2.295003,-2.2789464,-0.8662055,-0.8063893,0.0598162
41,0.23586974,0.23804471,"('unforgiving', 'forgiving')",0.67535317,0.67628634,0.4556115,0.4571655,0.001554
42,0.7329826,0.7611321,"('unreliable', 'reliable')",-2.7488894,-2.6497216,-1.0079534,-0.9442948,0.0636586
43,1.0391791,1.0673773,"('irresponsible', 'responsible')",2.1445699,2.1621351,1.5918745,1.6147562,0.0228817
44,-1.1624984,-1.0772215,"('prejudiced', 'unprejudiced')",-1.38278,-1.360309,-1.2726392,-1.2187653,0.0538739
45,-0.7786692,-0.7616072,"('incompetent', 'competent')",0.6404968,0.69290525,-0.0690862,-0.034351,0.0347352
46,-0.30668262,-0.34907863,"('uncompetitive', 'competitive')",-0.27371126,-0.25418964,-0.290197,-0.3016341,-0.0114371
47,0.30456957,0.3135896,"('stupid', 'smart')",5.577181,5.6556816,2.9408753,2.9846356,0.0437603
48,-0.18345912,-0.23947567,"('unintelligent', 'intelligent')",0.4399375,0.47515842,0.1282392,0.1178414,-0.0103978
49,0.09933354,0.16106659,"('unable', 'able')",-0.56089664,-0.46593672,-0.2307816,-0.1524351,0.0783465
50,0.41046757,0.42226002,"('clumsy', 'skillful')",0.27632472,0.3273844,0.3433961,0.3748222,0.0314261
51,-0.55585074,-0.6458576,"('uneducated', 'educated')",0.8969182,0.84693503,0.1705337,0.1005387,-0.069995
52,0.63364005,0.5981733,"('irrational', 'rational')",-0.43545887,-0.5295713,0.0990906,0.034301,-0.0647896
53,-0.11379588,-0.14663473,"('uncreative', 'creative')",0.24434642,0.27791673,0.0652753,0.065641,0.0003657
54,0.9547357,0.9485885,"('incapable', 'capable')",1.3214185,1.3149387,1.1380771,1.1317636,-0.0063135
55,-0.44239098,-0.50428265,"('incompetent', 'clever')",0.37803867,0.46976352,-0.0321762,-0.0172596,0.0149166
56,0.6024729,0.45070672,"('impractical', 'practical')",1.1732258,1.1285552,0.8878493,0.7896309,-0.0982184
57,-0.47482833,-0.55046785,"('unimaginative', 'imaginative')",-2.6613085,-2.6456702,-1.5680684,-1.598069,-0.0300006
58,0.3248459,0.3059514,"('undiscriminating', 'discriminating')",0.18628967,0.21395345,0.2555678,0.2599524,0.0043846
59,1.0511776,1.0907946,"('foolish', 'wise')",0.2311504,0.16047186,0.641164,0.6256332,-0.0155308
60,0.18566903,0.14835626,"('inefficient', 'efficient')",1.232962,1.3579181,0.7093155,0.7531372,0.0438217
