,norfolk_male,norfolk_female,tuple,southern_male,southern_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.1787259,-0.12423311,"('unsociable', 'sociable')",-0.72624195,-0.65393394,0.012071658,0.16080734,-0.2976321,-0.2057866,0.0918455
1,0.7486967,0.90256095,"('unfriendly', 'friendly')",1.1538284,1.0253781,1.5124848,1.4023391,1.1383367,1.1100927,-0.028244
2,0.77331185,0.9345984,"('unlikable', 'likable')",0.76631147,1.0603634,0.5843851,0.62853533,0.7080028,0.874499,0.1664962
3,-0.43659067,-0.25748312,"('repellent', 'pleasant')",-0.42303282,-0.38559544,1.0713279,1.2022185,0.0705681,0.18638,0.1158119
4,-0.07179699,0.11583433,"('disliked', 'liked')",0.07530512,-0.032531425,-7.6634097,-7.7982345,-2.5533005,-2.5716438,-0.0183433
5,0.08574344,0.1393131,"('distant', 'outgoing')",0.47873512,0.3897063,-0.6913582,-0.8742198,-0.0422932,-0.1150668,-0.0727736
6,0.6509197,0.7767844,"('distant', 'open')",1.0827755,0.9802768,-0.19437931,-0.29513532,0.5131053,0.4873087,-0.0257966
7,0.922324,0.9311084,"('insensitive', 'sensitive')",0.12857236,0.2251465,1.0098805,1.2164264,0.6869256,0.7908937,0.1039681
8,0.5374887,0.6391864,"('unaffectionate', 'affectionate')",0.8168896,0.75766796,1.1135049,1.0716151,0.8226277,0.8228232,0.0001955
9,1.1383142,1.1387902,"('unaffectionate', 'caring')",0.92812073,0.8596439,1.6659503,1.6672518,1.2441284,1.2218953,-0.0222331
10,-0.6516346,-0.74842906,"('unsympathetic', 'sympathetic')",-1.3526888,-1.486541,0.09658254,0.2429393,-0.6359137,-0.6640103,-0.0280966
11,-0.45137817,-0.48849773,"('unhelpful', 'helpful')",-1.1399533,-1.0476942,1.4842372,1.6721407,-0.0356981,0.0453163,0.0810144
12,1.2699509,1.4726708,"('unsupportive', 'supportive')",-0.29404792,-0.14222127,-1.7709423,-1.6507403,-0.2650131,-0.1067636,0.1582495
13,-0.7162358,-0.84539217,"('impolite', 'polite')",-0.8745588,-0.57804275,-0.5551545,-0.3361172,-0.7153164,-0.5865174,0.128799
14,-0.021621237,0.24938777,"('antisocial', 'social')",-0.4023465,-0.1204492,0.13548568,0.34156057,-0.0961607,0.1568331,0.2529938
15,0.18117669,0.086640105,"('boring', 'funny')",0.6771813,0.6910535,0.22141594,0.19753802,0.3599246,0.3250772,-0.0348474
