,procurement_male,procurement_female,tuple,average_male,average_female,female-male
0,0.26982507,0.16529092,"('unsociable', 'sociable')",0.2698251,0.1652909,-0.1045342
1,1.1312866,1.1015749,"('unfriendly', 'friendly')",1.1312866,1.1015749,-0.0297117
2,0.21142457,0.3253728,"('unlikable', 'likable')",0.2114246,0.3253728,0.1139482
3,0.7276699,0.8741032,"('repellent', 'pleasant')",0.7276699,0.8741032,0.1464333
4,-7.574769,-7.5711517,"('disliked', 'liked')",-7.574769,-7.5711517,0.0036173
5,-0.9439184,-0.8278846,"('distant', 'outgoing')",-0.9439184,-0.8278846,0.1160338
6,-0.47913685,-0.4242165,"('distant', 'open')",-0.4791369,-0.4242165,0.0549204
7,1.2275741,1.3001808,"('insensitive', 'sensitive')",1.2275741,1.3001808,0.0726067
8,1.0945415,1.0446196,"('unaffectionate', 'affectionate')",1.0945415,1.0446196,-0.0499219
9,1.4990225,1.4880108,"('unaffectionate', 'caring')",1.4990225,1.4880108,-0.0110117
10,1.3364013,1.3428345,"('unsympathetic', 'sympathetic')",1.3364013,1.3428345,0.0064332
11,1.8099767,1.8602238,"('unhelpful', 'helpful')",1.8099767,1.8602238,0.0502471
12,-1.514782,-1.4483256,"('unsupportive', 'supportive')",-1.514782,-1.4483256,0.0664564
13,-0.14174119,-0.12250329,"('impolite', 'polite')",-0.1417412,-0.1225033,0.0192379
14,0.6346446,0.5697792,"('antisocial', 'social')",0.6346446,0.5697792,-0.0648654
15,0.06316436,0.05904293,"('boring', 'funny')",0.0631644,0.0590429,-0.0041215
16,-0.7175221,-0.6078848,"('unpopular', 'popular')",-0.7175221,-0.6078848,0.1096373
17,-0.13430266,-0.085271955,"('nasty', 'nice')",-0.1343027,-0.085272,0.0490307
18,-0.84490895,-0.77747405,"('disagreeable', 'welcoming')",-0.844909,-0.777474,0.067435
19,-0.7815187,-0.6456135,"('inhospitable', 'hospitable')",-0.7815187,-0.6456135,0.1359052
20,1.0334747,0.8549984,"('rough', 'thoughtful')",1.0334747,0.8549984,-0.1784763
21,0.124988325,0.22300625,"('immoral', 'moral')",0.1249883,0.2230062,0.0980179
22,-0.28244957,-0.23724753,"('untrustworthy', 'trustworthy')",-0.2824496,-0.2372475,0.0452021
23,6.700787,6.7584743,"('insincere', 'sincere')",6.7007871,6.7584743,0.0576872
24,1.5643451,1.6145815,"('dishonest', 'honest')",1.5643451,1.6145815,0.0502364
25,0.8537845,0.7454995,"('egoistic', 'altruistic')",0.8537845,0.7454995,-0.108285
26,0.99547094,0.758776,"('hardhearted', 'benevolent')",0.9954709,0.758776,-0.2366949
27,1.5622994,1.4409378,"('hardhearted', 'softhearted')",1.5622994,1.4409378,-0.1213616
