,saffron_male,saffron_female,tuple,average_male,average_female,female-male
0,-0.80596113,-1.1580514,"('unsociable', 'sociable')",-0.8059611,-1.1580514,-0.3520903
1,-0.52757,-0.46462083,"('unfriendly', 'friendly')",-0.52757,-0.4646208,0.0629492
2,0.5584194,0.47669598,"('unlikable', 'likable')",0.5584194,0.476696,-0.0817234
3,-0.668784,-0.48153737,"('repellent', 'pleasant')",-0.668784,-0.4815374,0.1872466
4,-1.5431186,-1.6395707,"('disliked', 'liked')",-1.5431186,-1.6395707,-0.0964521
5,-0.36160755,-0.24181442,"('distant', 'outgoing')",-0.3616076,-0.2418144,0.1197932
6,-0.57252336,-0.45717204,"('distant', 'open')",-0.5725234,-0.457172,0.1153514
7,-0.59584874,-0.5092578,"('insensitive', 'sensitive')",-0.5958487,-0.5092578,0.0865909
8,-0.18366139,-0.112818606,"('unaffectionate', 'affectionate')",-0.1836614,-0.1128186,0.0708428
9,0.012962207,0.17898533,"('unaffectionate', 'caring')",0.0129622,0.1789853,0.1660231
10,-1.259934,-1.379259,"('unsympathetic', 'sympathetic')",-1.2599339,-1.379259,-0.1193251
11,0.41553494,0.45821127,"('unhelpful', 'helpful')",0.4155349,0.4582113,0.0426764
12,-1.5386446,-1.4530804,"('unsupportive', 'supportive')",-1.5386446,-1.4530804,0.0855642
13,-1.0450939,-1.3761743,"('impolite', 'polite')",-1.0450939,-1.3761743,-0.3310804
14,-0.22953531,-0.36491778,"('antisocial', 'social')",-0.2295353,-0.3649178,-0.1353825
15,0.75099194,0.5956214,"('boring', 'funny')",0.7509919,0.5956214,-0.1553705
16,0.99072236,0.88076425,"('unpopular', 'popular')",0.9907224,0.8807642,-0.1099582
17,-0.0065344526,-0.15384367,"('nasty', 'nice')",-0.0065345,-0.1538437,-0.1473092
18,0.1316048,0.07673113,"('disagreeable', 'welcoming')",0.1316048,0.0767311,-0.0548737
19,-0.7758868,-0.67017376,"('inhospitable', 'hospitable')",-0.7758868,-0.6701738,0.105713
20,-0.4061942,-0.47292677,"('rough', 'thoughtful')",-0.4061942,-0.4729268,-0.0667326
21,-0.61907977,-0.697286,"('immoral', 'moral')",-0.6190798,-0.697286,-0.0782062
