,mattel_male,mattel_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.46610153,-0.61821806,"('unsociable', 'sociable')",-0.43160933,-0.63815033,-0.4488554,-0.6281842,-0.1793288
1,0.59601843,0.3086373,"('unfriendly', 'friendly')",1.9132115,1.8159359,1.2546149,1.0622866,-0.1923283
2,0.56602114,0.5808621,"('unlikable', 'likable')",0.3851446,0.43021396,0.4755829,0.505538,0.0299551
3,-1.0471983,-0.96539414,"('repellent', 'pleasant')",0.26916474,0.3803401,-0.3890168,-0.292527,0.0964898
4,-0.47044998,-0.53146976,"('disliked', 'liked')",-6.1679745,-6.3181596,-3.3192122,-3.4248147,-0.1056025
5,-0.5456986,-0.592231,"('distant', 'outgoing')",0.03837832,0.0142122805,-0.2536601,-0.2890093,-0.0353492
6,-0.5943797,-0.66264635,"('distant', 'open')",0.51871794,0.53075117,-0.0378309,-0.0659476,-0.0281167
7,-0.5500192,-0.5241896,"('insensitive', 'sensitive')",0.79467803,0.805103,0.1223294,0.1404567,0.0181273
8,0.39245224,0.22661534,"('unaffectionate', 'affectionate')",1.1912528,1.0914439,0.7918525,0.6590296,-0.1328229
9,0.27531463,0.07215035,"('unaffectionate', 'caring')",1.215056,1.1492686,0.7451853,0.6107095,-0.1344758
10,-1.0612104,-1.1600689,"('unsympathetic', 'sympathetic')",-0.35321856,-0.42165846,-0.7072145,-0.7908636,-0.0836491
11,-0.54275936,-0.57443136,"('unhelpful', 'helpful')",1.4337486,1.498851,0.4454946,0.4622098,0.0167152
12,0.115910836,0.059818424,"('unsupportive', 'supportive')",-1.4785901,-1.5514514,-0.6813396,-0.7458165,-0.0644769
13,-0.33972254,-0.35196757,"('impolite', 'polite')",-0.623106,-0.5776657,-0.4814143,-0.4648166,0.0165977
14,-0.48986122,-0.4741645,"('antisocial', 'social')",-0.69515574,-0.78252363,-0.5925085,-0.6283441,-0.0358356
15,0.19135882,0.07607908,"('boring', 'funny')",0.6108627,0.5516555,0.4011107,0.3138673,-0.0872434
16,-0.90921074,-0.8529974,"('unpopular', 'popular')",0.24022132,0.33699018,-0.3344947,-0.2580036,0.0764911
17,-0.43643653,-0.39431438,"('nasty', 'nice')",-0.37288886,-0.32747272,-0.4046627,-0.3608935,0.0437692
18,-0.5835235,-0.71445656,"('disagreeable', 'welcoming')",-0.31200954,-0.3592641,-0.4477665,-0.5368603,-0.0890938
19,0.025208693,0.017313402,"('inhospitable', 'hospitable')",0.5215453,0.5497856,0.273377,0.2835495,0.0101725
20,0.504299,0.5550409,"('rough', 'thoughtful')",1.187766,1.1880517,0.8460325,0.8715463,0.0255138
21,-0.34055182,-0.3284484,"('immoral', 'moral')",-0.9154156,-0.87776905,-0.6279837,-0.6031088,0.0248749
22,-0.14047267,-0.22247392,"('untrustworthy', 'trustworthy')",-0.96642774,-1.0666426,-0.5534502,-0.6445583,-0.0911081
23,0.0034766714,-0.09467418,"('insincere', 'sincere')",5.5670943,5.59254,2.7852855,2.7489328,-0.0363527
24,-0.26929322,-0.39856315,"('dishonest', 'honest')",0.8778778,0.79430443,0.3042923,0.1978706,-0.1064217
25,0.81221294,0.8178231,"('egoistic', 'altruistic')",1.4698149,1.4515038,1.1410139,1.1346635,-0.0063504
