,tapestry_male,tapestry_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.22529054,0.09539507,"('unsociable', 'sociable')",-0.1714398,-0.23285453,0.0269254,-0.0687297,-0.0956551
1,-0.1408782,-0.024108024,"('unfriendly', 'friendly')",1.6385477,1.5877072,0.7488347,0.7817996,0.0329649
2,-0.42222524,-0.4522,"('unlikable', 'likable')",0.4278992,0.46709955,0.002837,0.0074498,0.0046128
3,0.15875843,0.31759185,"('repellent', 'pleasant')",0.025411911,0.084382124,0.0920852,0.200987,0.1089018
4,-1.8474855,-1.8550627,"('disliked', 'liked')",-6.135604,-6.145717,-3.9915447,-4.0003901,-0.0088454
5,-1.456011,-1.4058164,"('distant', 'outgoing')",-0.20631996,-0.2459176,-0.8311655,-0.825867,0.0052985
6,-1.3261839,-1.2144899,"('distant', 'open')",0.09591774,0.04690136,-0.6151331,-0.5837943,0.0313388
7,1.4297711,1.470312,"('insensitive', 'sensitive')",0.4494763,0.53069395,0.9396237,1.0005029,0.0608792
8,0.12643999,0.18116005,"('unaffectionate', 'affectionate')",0.66001546,0.553571,0.3932277,0.3673655,-0.0258622
9,0.6469197,0.7247622,"('unaffectionate', 'caring')",0.6518432,0.62623197,0.6493815,0.6754971,0.0261156
10,1.2117462,1.2680944,"('unsympathetic', 'sympathetic')",-0.6393084,-0.61155367,0.2862189,0.3282704,0.0420515
11,-0.031904258,0.018311676,"('unhelpful', 'helpful')",1.5340136,1.5841918,0.7510547,0.8012517,0.050197
12,1.0591714,1.1527675,"('unsupportive', 'supportive')",-1.6652776,-1.6173941,-0.3030531,-0.2323133,0.0707398
13,0.39609584,0.16703328,"('impolite', 'polite')",-0.6664993,-0.7095798,-0.1352017,-0.2712733,-0.1360716
14,1.9369208,1.8037257,"('antisocial', 'social')",-0.3276686,-0.33768424,0.8046261,0.7330207,-0.0716054
15,0.62258935,0.5435363,"('boring', 'funny')",0.40569454,0.36339518,0.5141419,0.4534658,-0.0606761
