,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.9098172,-2.0392473,"('unsociable', 'sociable')",-0.25373986,-0.4537216,-1.0817785,-1.2464844,-0.1647059
1,0.1375482,0.05925694,"('unfriendly', 'friendly')",2.1652586,1.8421159,1.1514034,0.9506864,-0.200717
2,0.4117667,0.40911156,"('unlikable', 'likable')",0.80829054,0.8608727,0.6100286,0.6349921,0.0249635
3,-2.0375953,-1.9895666,"('repellent', 'pleasant')",-0.29158497,-0.21928172,-1.1645901,-1.1044241,0.060166
4,1.0603524,1.012567,"('disliked', 'liked')",-5.900836,-5.930036,-2.4202418,-2.4587345,-0.0384927
5,1.4951851,1.5071927,"('distant', 'outgoing')",0.31949532,0.2417626,0.9073402,0.8744777,-0.0328625
6,1.7278985,1.7575969,"('distant', 'open')",0.76624113,0.6262428,1.2470698,1.1919198,-0.05515
7,-1.7747799,-1.7676548,"('insensitive', 'sensitive')",0.6603021,0.6715978,-0.5572389,-0.5480285,0.0092104
8,-0.33151942,-0.3449607,"('unaffectionate', 'affectionate')",0.7490041,0.56820476,0.2087424,0.111622,-0.0971204
9,-0.32539392,-0.33330458,"('unaffectionate', 'caring')",1.4555765,1.3709594,0.5650913,0.5188274,-0.0462639
10,-3.610241,-3.653206,"('unsympathetic', 'sympathetic')",-0.15805906,-0.2210745,-1.88415,-1.9371403,-0.0529903
11,-2.4190733,-2.4010844,"('unhelpful', 'helpful')",1.7990491,1.866884,-0.3100121,-0.2671002,0.0429119
12,-1.059846,-1.0191634,"('unsupportive', 'supportive')",-1.385313,-1.3932371,-1.2225795,-1.2062002,0.0163793
13,-1.982482,-2.1264324,"('impolite', 'polite')",-0.16884005,-0.100938916,-1.0756609,-1.1136856,-0.0380247
14,-1.7090178,-1.754472,"('antisocial', 'social')",-0.7129408,-0.7021548,-1.2109792,-1.2283134,-0.0173342
15,0.5808849,0.5817758,"('boring', 'funny')",0.70864713,0.6774175,0.644766,0.6295967,-0.0151693
16,0.6137892,0.6149036,"('unpopular', 'popular')",0.64520764,0.5777023,0.6294984,0.596303,-0.0331954
17,0.2759892,0.3237115,"('nasty', 'nice')",-0.33768484,-0.23740475,-0.0308478,0.0431534,0.0740012
18,-0.3019713,-0.32961056,"('disagreeable', 'welcoming')",-0.3555723,-0.4531029,-0.3287718,-0.3913567,-0.0625849
19,0.14600733,0.12191838,"('inhospitable', 'hospitable')",0.21204934,0.14284292,0.1790283,0.1323806,-0.0466477
20,0.5731325,0.5488044,"('rough', 'thoughtful')",1.3999054,1.3241028,0.986519,0.9364536,-0.0500654
21,-1.7586724,-1.840536,"('immoral', 'moral')",-0.7094682,-0.7068331,-1.2340703,-1.2736845,-0.0396142
22,-1.7515467,-1.811794,"('untrustworthy', 'trustworthy')",-1.1951654,-1.1964604,-1.473356,-1.5041273,-0.0307713
23,-2.2358992,-2.2582178,"('insincere', 'sincere')",5.890651,5.8488398,1.827376,1.795311,-0.032065
24,-1.5067378,-1.5894327,"('dishonest', 'honest')",1.0390556,0.99250674,-0.2338411,-0.298463,-0.0646219
25,1.2260772,1.2682992,"('egoistic', 'altruistic')",1.3477885,1.2517034,1.2869328,1.2600013,-0.0269315
26,0.2388025,0.17135952,"('hardhearted', 'benevolent')",1.5551449,1.3671442,0.8969737,0.7692519,-0.1277218
27,-0.06551127,-0.034552872,"('hardhearted', 'softhearted')",1.5999734,1.4813496,0.7672311,0.7233983,-0.0438328
28,-1.048656,-1.1137158,"('disloyal', 'loyal')",0.73207545,0.6218287,-0.1582903,-0.2459435,-0.0876532
29,0.24731919,0.21626702,"('unfair', 'fair')",-0.30337733,-0.4815758,-0.0280291,-0.1326544,-0.1046253
30,-1.5309225,-1.5996096,"('intolerant', 'tolerant')",1.4811066,1.4118214,-0.0249079,-0.0938941,-0.0689862
31,1.3832413,1.4185405,"('evil', 'good')",-0.9513596,-1.1541069,0.2159408,0.1322168,-0.083724
32,-1.0481218,-1.0128225,"('unkind', 'kind')",1.0169653,0.8511267,-0.0155783,-0.0808479,-0.0652696
33,1.0175362,0.91869444,"('wrong', 'right')",-0.29806644,-0.3525565,0.3597349,0.283069,-0.0766659
34,-0.7554923,-0.65437,"('mean', 'honorable')",6.1202307,6.202682,2.6823692,2.7741561,0.0917869
35,2.7301943,2.7503178,"('corrupt', 'incorrupt')",-0.10983584,-0.20568956,1.3101792,1.2723141,-0.0378651
36,1.5544069,1.4809405,"('hostile', 'amicable')",0.30221057,0.041800104,0.9283087,0.7613703,-0.1669384
37,-0.53339607,-0.5578642,"('fake', 'genuine')",0.26450136,0.25661263,-0.1344474,-0.1506258,-0.0161784
38,-1.0834163,-1.0725162,"('untruthful', 'truthful')",0.50575686,0.5948966,-0.2888297,-0.2388098,0.0500199
39,-0.11699271,-0.17314382,"('exploitative', 'cooperative')",-0.09129084,-0.05275823,-0.1041418,-0.112951,-0.0088092
40,-0.024839833,-0.0236245,"('stingy', 'generous')",-1.1558102,-1.263066,-0.5903251,-0.6433453,-0.0530202
41,-1.1900861,-1.20742,"('unforgiving', 'forgiving')",0.23823805,0.10713268,-0.475924,-0.5501437,-0.0742197
42,-0.9565578,-0.89637625,"('unreliable', 'reliable')",-2.923378,-2.8427453,-1.9399679,-1.8695607,0.0704072
43,-2.1306462,-2.1421335,"('irresponsible', 'responsible')",0.830355,0.76358,-0.6501456,-0.6892767,-0.0391311
44,-0.19707438,-0.18392962,"('prejudiced', 'unprejudiced')",-1.7289674,-1.6822647,-0.9630209,-0.9330971,0.0299238
45,-2.184844,-2.2735677,"('incompetent', 'competent')",-0.24058054,-0.31803936,-1.2127123,-1.2958035,-0.0830912
46,-2.8108299,-2.8658335,"('uncompetitive', 'competitive')",-0.80934685,-0.8282909,-1.8100884,-1.8470622,-0.0369738
47,-0.26687044,-0.24860057,"('stupid', 'smart')",5.342855,5.4338613,2.5379922,2.5926304,0.0546382
48,-0.9573677,-0.9956714,"('unintelligent', 'intelligent')",1.2004317,1.1256799,0.121532,0.0650042,-0.0565278
49,-0.20028862,-0.1400581,"('unable', 'able')",0.29099682,0.40891007,0.0453541,0.134426,0.0890719
50,0.28628412,0.31104648,"('clumsy', 'skillful')",0.29019365,0.26144728,0.2882389,0.2862469,-0.001992
51,-1.2021403,-1.2896881,"('uneducated', 'educated')",1.2193801,1.1722659,0.0086199,-0.0587111,-0.067331
