,thong_male,thong_female,tuple,average_male,average_female,female-male
0,-0.016579134,-0.08715644,"('unsociable', 'sociable')",-0.0165791,-0.0871564,-0.0705773
1,1.0551362,0.97342473,"('unfriendly', 'friendly')",1.0551362,0.9734247,-0.0817115
2,0.11449013,0.27981076,"('unlikable', 'likable')",0.1144901,0.2798108,0.1653207
3,0.797462,0.89190793,"('repellent', 'pleasant')",0.797462,0.8919079,0.0944459
4,-6.953192,-7.184775,"('disliked', 'liked')",-6.9531922,-7.1847749,-0.2315827
5,-0.43131316,-0.429152,"('distant', 'outgoing')",-0.4313132,-0.429152,0.0021612
6,0.112707675,0.014433626,"('distant', 'open')",0.1127077,0.0144336,-0.0982741
7,1.0389006,1.060379,"('insensitive', 'sensitive')",1.0389006,1.060379,0.0214784
8,0.94482505,0.80579156,"('unaffectionate', 'affectionate')",0.9448251,0.8057916,-0.1390335
9,1.2955619,1.2951126,"('unaffectionate', 'caring')",1.2955619,1.2951126,-0.0004493
10,1.1221219,1.1369978,"('unsympathetic', 'sympathetic')",1.1221219,1.1369978,0.0148759
11,1.431472,1.4541705,"('unhelpful', 'helpful')",1.4314719,1.4541705,0.0226986
12,-1.6422359,-1.6953485,"('unsupportive', 'supportive')",-1.6422359,-1.6953485,-0.0531126
13,-0.06318114,0.04216431,"('impolite', 'polite')",-0.0631811,0.0421643,0.1053454
14,-0.02670595,-0.0332583,"('antisocial', 'social')",-0.026706,-0.0332583,-0.0065523
15,0.20725855,0.15105426,"('boring', 'funny')",0.2072586,0.1510543,-0.0562043
16,-0.27460796,-0.26461115,"('unpopular', 'popular')",-0.274608,-0.2646112,0.0099968
17,0.124437034,0.10135539,"('nasty', 'nice')",0.124437,0.1013554,-0.0230816
18,-0.39413634,-0.37055656,"('disagreeable', 'welcoming')",-0.3941363,-0.3705566,0.0235797
19,-0.7360669,-0.7633926,"('inhospitable', 'hospitable')",-0.7360669,-0.7633926,-0.0273257
20,0.9615768,0.92803425,"('rough', 'thoughtful')",0.9615768,0.9280342,-0.0335426
21,-0.2060982,0.0034649298,"('immoral', 'moral')",-0.2060982,0.0034649,0.2095631
22,-0.19515775,-0.19246203,"('untrustworthy', 'trustworthy')",-0.1951578,-0.192462,0.0026958
23,5.685689,5.817753,"('insincere', 'sincere')",5.685689,5.8177528,0.1320638
24,1.394177,1.3759623,"('dishonest', 'honest')",1.394177,1.3759623,-0.0182147
25,0.47284544,0.45676076,"('egoistic', 'altruistic')",0.4728454,0.4567608,-0.0160846
26,0.71934944,0.4643961,"('hardhearted', 'benevolent')",0.7193494,0.4643961,-0.2549533
27,1.679574,1.4643084,"('hardhearted', 'softhearted')",1.679574,1.4643084,-0.2152656
28,1.0428679,0.9553248,"('disloyal', 'loyal')",1.0428679,0.9553248,-0.0875431
29,-0.31719506,-0.4589415,"('unfair', 'fair')",-0.3171951,-0.4589415,-0.1417464
30,0.68676245,0.79760957,"('intolerant', 'tolerant')",0.6867625,0.7976096,0.1108471
31,-1.0541769,-1.1862204,"('evil', 'good')",-1.0541769,-1.1862204,-0.1320435
32,1.1246623,0.9924659,"('unkind', 'kind')",1.1246623,0.9924659,-0.1321964
33,-0.45663095,-0.47250223,"('wrong', 'right')",-0.4566309,-0.4725022,-0.0158713
34,4.1655626,4.3483133,"('mean', 'honorable')",4.1655626,4.3483133,0.1827507
35,-0.76437175,-1.0422329,"('corrupt', 'incorrupt')",-0.7643718,-1.0422329,-0.2778611
36,-0.5742327,-0.71248394,"('hostile', 'amicable')",-0.5742327,-0.7124839,-0.1382512
37,0.9521393,0.95790404,"('fake', 'genuine')",0.9521393,0.957904,0.0057647
38,-0.6036965,-0.5339089,"('untruthful', 'truthful')",-0.6036965,-0.5339089,0.0697876
39,0.20426056,0.26196268,"('exploitative', 'cooperative')",0.2042606,0.2619627,0.0577021
40,-1.1276156,-1.3412358,"('stingy', 'generous')",-1.1276156,-1.3412358,-0.2136202
41,0.18559778,0.13505438,"('unforgiving', 'forgiving')",0.1855978,0.1350544,-0.0505434
