,bio_male,bio_female,tuple,techne_male,techne_female,corp_male,corp_female,average_male,average_female,female-male
0,0.31428364,0.14368773,"('unsociable', 'sociable')",0.0209321,-0.022335572,-0.25800893,-0.41533235,0.0257356,-0.0979934,-0.123729
1,-0.30065942,-0.40353414,"('unfriendly', 'friendly')",-1.770711,-1.9695362,0.86271065,0.78019685,-0.4028865,-0.5309578,-0.1280713
2,0.9337827,0.80078846,"('unlikable', 'likable')",1.0736928,0.92900765,1.2163881,1.1608504,1.0746212,0.9635488,-0.1110724
3,-1.2390833,-1.1944847,"('repellent', 'pleasant')",-0.32328737,-0.29336458,1.156074,1.1023754,-0.1354322,-0.1284913,0.0069409
4,-0.36775342,-0.31620935,"('disliked', 'liked')",-0.11702868,-0.10545523,-6.8604894,-7.049608,-2.4484239,-2.4904243,-0.0420004
5,-0.48194838,-0.3682276,"('distant', 'outgoing')",-1.6808611,-1.6338317,-1.093599,-0.8300364,-1.0854694,-0.944032,0.1414374
6,-0.86688507,-0.788591,"('distant', 'open')",-2.1128938,-2.1048195,-1.25723,-0.98583776,-1.4123363,-1.2930828,0.1192535
7,-0.39675963,-0.44386095,"('insensitive', 'sensitive')",-0.6687985,-0.609067,0.2604758,0.2896656,-0.2683608,-0.2544208,0.01394
8,-0.065053694,-0.18218131,"('unaffectionate', 'affectionate')",-1.421214,-1.6419398,0.28001028,0.30174124,-0.4020858,-0.50746,-0.1053742
9,0.4160111,0.37953278,"('unaffectionate', 'caring')",-1.7233944,-1.8462334,0.8728868,1.0485238,-0.1448322,-0.1393923,0.0054399
10,-0.8197185,-1.0427095,"('unsympathetic', 'sympathetic')",-0.86527514,-0.9638908,-0.16957994,-0.119465426,-0.6181912,-0.7086886,-0.0904974
11,0.32666573,0.2440899,"('unhelpful', 'helpful')",0.8076495,0.6761532,2.250669,2.2890394,1.1283281,1.0697608,-0.0585673
12,1.0335386,1.0280999,"('unsupportive', 'supportive')",-0.46501702,-0.41311923,-2.253151,-2.173917,-0.5615431,-0.5196455,0.0418976
13,0.08963048,-0.024995124,"('impolite', 'polite')",-0.072383426,-0.06046403,-0.6262964,-0.61039376,-0.2030164,-0.231951,-0.0289346
14,0.4059049,0.36927527,"('antisocial', 'social')",1.0893332,1.1608214,0.41651425,0.14096442,0.6372508,0.5570204,-0.0802304
15,0.24668053,0.090594,"('boring', 'funny')",0.59168965,0.41345668,0.23710904,0.14483376,0.3584931,0.2162948,-0.1421983
16,-0.20260921,-0.27328798,"('unpopular', 'popular')",-0.41423172,-0.6303516,0.3992229,0.27056563,-0.0725393,-0.2110246,-0.1384853
17,0.29999056,0.28742605,"('nasty', 'nice')",-0.24569657,-0.24003953,-0.4532284,-0.48514178,-0.1329781,-0.1459184,-0.0129403
18,0.30060524,0.22084002,"('disagreeable', 'welcoming')",-0.93228257,-0.87754387,-0.4831061,-0.5329991,-0.3715945,-0.3965677,-0.0249732
19,-0.8699365,-0.9408878,"('inhospitable', 'hospitable')",-0.85538536,-0.95459664,-0.682048,-0.50641453,-0.8024566,-0.800633,0.0018236
20,0.48792556,0.44840956,"('rough', 'thoughtful')",0.9388631,0.95617825,0.896465,0.7938287,0.7744179,0.7328055,-0.0416124
21,0.67980134,0.50039524,"('immoral', 'moral')",0.73562974,0.6671735,0.17885876,0.10578479,0.5314299,0.4244512,-0.1069787
