,transocean_male,transocean_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-1.4330213,-1.4377929,"('unsociable', 'sociable')",-0.47649395,-0.5265968,-0.9547576,-0.9821948,-0.0274372
1,-1.6343901,-1.7347867,"('unfriendly', 'friendly')",1.8677264,1.6791282,0.1166682,-0.0278293,-0.1444975
2,0.289612,0.31238467,"('unlikable', 'likable')",0.37385017,0.39829603,0.3317311,0.3553404,0.0236093
3,-0.44836587,-0.40489998,"('repellent', 'pleasant')",0.35946998,0.48429206,-0.0444479,0.039696,0.0841439
4,0.6113857,0.54723877,"('disliked', 'liked')",-3.21206,-3.1395516,-1.3003371,-1.2961564,0.0041807
5,-0.3125807,-0.3271181,"('distant', 'outgoing')",-0.23449844,-0.37618825,-0.2735396,-0.3516532,-0.0781136
6,-0.3724986,-0.42675823,"('distant', 'open')",0.3847285,0.16777782,0.0061149,-0.1294902,-0.1356051
7,-0.51942825,-0.47682455,"('insensitive', 'sensitive')",0.099788025,0.12599505,-0.2098201,-0.1754147,0.0344054
8,-0.9112014,-0.98342925,"('unaffectionate', 'affectionate')",0.78355634,0.54898775,-0.0638225,-0.2172208,-0.1533983
9,-1.3577017,-1.3836387,"('unaffectionate', 'caring')",0.6851759,0.540364,-0.3362629,-0.4216374,-0.0853745
10,-2.8636763,-2.8137035,"('unsympathetic', 'sympathetic')",-0.2510888,-0.14715146,-1.5573826,-1.4804275,0.0769551
11,-1.4313549,-1.3286209,"('unhelpful', 'helpful')",0.64025426,0.70162916,-0.3955503,-0.3134959,0.0820544
12,-0.7913535,-0.6983364,"('unsupportive', 'supportive')",-1.1863616,-1.1813017,-0.9888575,-0.9398191,0.0490384
13,-1.0690012,-0.98617727,"('impolite', 'polite')",-1.0655457,-1.0210932,-1.0672734,-1.0036353,0.0636381
14,-0.2694878,-0.20857154,"('antisocial', 'social')",0.21058868,0.3011935,-0.0294496,0.046311,0.0757606
15,0.4862078,0.4190601,"('boring', 'funny')",0.4706556,0.39714777,0.4784317,0.4081039,-0.0703278
16,-0.06081688,-0.10507195,"('unpopular', 'popular')",0.39034277,0.36235583,0.1647629,0.1286419,-0.036121
17,-0.3875698,-0.35774225,"('nasty', 'nice')",-0.28922975,-0.28635514,-0.3383998,-0.3220487,0.0163511
18,-0.4179495,-0.38944048,"('disagreeable', 'welcoming')",-1.0110407,-1.1114674,-0.7144951,-0.7504539,-0.0359588
19,-1.4476247,-1.4565341,"('inhospitable', 'hospitable')",-0.7850944,-0.85695225,-1.1163595,-1.1567432,-0.0403837
20,0.10907982,0.15536626,"('rough', 'thoughtful')",1.2999585,1.226362,0.7045192,0.6908641,-0.0136551
21,-1.5112699,-1.4655519,"('immoral', 'moral')",-1.2247992,-1.1456935,-1.3680346,-1.3056227,0.0624119
22,-0.88521457,-0.8872597,"('untrustworthy', 'trustworthy')",-0.08958773,-0.056911577,-0.4874012,-0.4720857,0.0153155
23,-1.624961,-1.6015333,"('insincere', 'sincere')",3.6084359,3.4582238,0.9917374,0.9283453,-0.0633921
24,-1.6995237,-1.6910146,"('dishonest', 'honest')",0.17579496,0.07589738,-0.7618644,-0.8075587,-0.0456943
25,0.6270584,0.5496726,"('egoistic', 'altruistic')",0.9068454,0.70019233,0.7669519,0.6249325,-0.1420194
26,0.36272913,0.26251778,"('hardhearted', 'benevolent')",2.666254,2.5702274,1.5144916,1.4163725,-0.0981191
27,-0.6865607,-0.654584,"('hardhearted', 'softhearted')",0.25927323,-0.03312044,-0.2136437,-0.3438522,-0.1302085
28,-0.75437397,-0.85228664,"('disloyal', 'loyal')",0.8106317,0.644836,0.0281289,-0.1037253,-0.1318542
29,0.08831996,0.060462736,"('unfair', 'fair')",-0.40254492,-0.49775514,-0.1571125,-0.2186462,-0.0615337
30,-0.7829655,-0.7325784,"('intolerant', 'tolerant')",0.7667064,0.82242435,-0.0081295,0.044923,0.0530525
31,0.5158487,0.491566,"('evil', 'good')",0.22167385,0.12903291,0.3687613,0.3102995,-0.0584618
32,-1.0207359,-1.0157088,"('unkind', 'kind')",0.18937208,0.061259396,-0.4156819,-0.4772247,-0.0615428
33,0.8739533,0.83084756,"('wrong', 'right')",-0.12772287,-0.30974331,0.3731152,0.2605521,-0.1125631
34,-0.16199791,-0.04669744,"('mean', 'honorable')",3.8546355,3.8992052,1.8463187,1.9262539,0.0799352
35,0.99941146,0.855366,"('corrupt', 'incorrupt')",-0.015055947,-0.24795221,0.4921778,0.3037069,-0.1884709
36,0.41311318,0.27523512,"('hostile', 'amicable')",0.7748843,0.6055321,0.5939987,0.4403836,-0.1536151
37,0.12270927,0.11410566,"('fake', 'genuine')",-0.20761581,-0.21800978,-0.0424533,-0.0519521,-0.0094988
38,-0.817675,-0.8354259,"('untruthful', 'truthful')",0.11136185,0.16306578,-0.3531566,-0.3361801,0.0169765
39,0.6486452,0.6998684,"('exploitative', 'cooperative')",0.31466183,0.32024553,0.4816535,0.510057,0.0284035
40,0.57698715,0.6051073,"('stingy', 'generous')",-0.9149763,-1.0207264,-0.1689946,-0.2078096,-0.038815
41,-1.0202918,-0.97977346,"('unforgiving', 'forgiving')",0.33759147,0.31251603,-0.3413502,-0.3336287,0.0077215
42,0.47784856,0.53184474,"('unreliable', 'reliable')",-1.9770495,-1.85581,-0.7496005,-0.6619827,0.0876178
43,-1.8200971,-1.7453415,"('irresponsible', 'responsible')",0.6116331,0.6350346,-0.604232,-0.5551535,0.0490785
44,1.1740086,1.2039659,"('prejudiced', 'unprejudiced')",-1.5529541,-1.504846,-0.1894727,-0.15044,0.0390327
45,-1.316395,-1.259332,"('incompetent', 'competent')",0.7010633,0.7393266,-0.3076659,-0.2600027,0.0476632
46,-1.4212096,-1.3400568,"('uncompetitive', 'competitive')",-0.22378607,-0.14065859,-0.8224978,-0.7403577,0.0821401
47,-0.23742276,-0.13285893,"('stupid', 'smart')",4.247607,4.2478833,2.0050921,2.0575123,0.0524202
48,-0.3786903,-0.3676393,"('unintelligent', 'intelligent')",0.49921548,0.4989819,0.0602626,0.0656713,0.0054087
49,-1.0580218,-0.971493,"('unable', 'able')",-0.49243474,-0.4290867,-0.7752283,-0.7002898,0.0749385
50,0.39584726,0.3354095,"('clumsy', 'skillful')",-0.7719634,-0.8522621,-0.1880581,-0.2584263,-0.0703682
51,-1.2275184,-1.238231,"('uneducated', 'educated')",-0.24427198,-0.28547496,-0.7358952,-0.761853,-0.0259578
52,-0.17673735,-0.286222,"('irrational', 'rational')",-0.4237841,-0.64593685,-0.3002607,-0.4660794,-0.1658187
53,-0.814095,-0.88163257,"('uncreative', 'creative')",0.8416256,0.67492336,0.0137653,-0.1033546,-0.1171199
54,-1.1362007,-1.2224289,"('incapable', 'capable')",0.7075817,0.580555,-0.2143095,-0.3209369,-0.1066274
55,-1.8179328,-1.7203794,"('incompetent', 'clever')",0.541128,0.61117035,-0.6384025,-0.5546045,0.083798
56,-0.62800425,-0.56028855,"('impractical', 'practical')",0.28735602,0.38754398,-0.1703241,-0.0863723,0.0839518
57,-0.8039574,-0.8428043,"('unimaginative', 'imaginative')",-0.14728178,-0.06864163,-0.4756196,-0.455723,0.0198966
58,-0.63767016,-0.6442902,"('undiscriminating', 'discriminating')",0.91033876,0.9038158,0.1363343,0.1297628,-0.0065715
