,affair_male,affair_female,tuple,average_male,average_female,female-male
0,0.20640558,0.086844355,"('unsociable', 'sociable')",0.2064056,0.0868444,-0.1195612
1,0.81724596,0.84997046,"('unfriendly', 'friendly')",0.817246,0.8499705,0.0327245
2,0.20524646,0.29431903,"('unlikable', 'likable')",0.2052465,0.294319,0.0890725
3,0.8551183,0.8372844,"('repellent', 'pleasant')",0.8551183,0.8372844,-0.0178339
4,-7.3900642,-7.361912,"('disliked', 'liked')",-7.3900642,-7.3619118,0.0281524
5,-0.7718534,-0.63898164,"('distant', 'outgoing')",-0.7718534,-0.6389816,0.1328718
6,-0.37253565,-0.29837012,"('distant', 'open')",-0.3725356,-0.2983701,0.0741655
7,1.2310874,1.1930834,"('insensitive', 'sensitive')",1.2310874,1.1930834,-0.038004
8,0.74356174,0.71216476,"('unaffectionate', 'affectionate')",0.7435617,0.7121648,-0.0313969
9,1.0272243,1.0545751,"('unaffectionate', 'caring')",1.0272243,1.0545751,0.0273508
10,1.6165496,1.4811128,"('unsympathetic', 'sympathetic')",1.6165496,1.4811128,-0.1354368
11,1.87253,1.8832461,"('unhelpful', 'helpful')",1.87253,1.8832461,0.0107161
12,-1.4581972,-1.4389538,"('unsupportive', 'supportive')",-1.4581972,-1.4389538,0.0192434
13,-0.010170542,-0.0053485483,"('impolite', 'polite')",-0.0101705,-0.0053485,0.004822
14,0.47168085,0.3702076,"('antisocial', 'social')",0.4716808,0.3702076,-0.1014732
15,0.28136507,0.31284776,"('boring', 'funny')",0.2813651,0.3128478,0.0314827
16,-0.90433395,-0.81665564,"('unpopular', 'popular')",-0.9043339,-0.8166556,0.0876783
17,-0.25700313,-0.24019237,"('nasty', 'nice')",-0.2570031,-0.2401924,0.0168107
18,-1.0367798,-0.97754514,"('disagreeable', 'welcoming')",-1.0367798,-0.9775451,0.0592347
19,-0.62334424,-0.52422035,"('inhospitable', 'hospitable')",-0.6233442,-0.5242203,0.0991239
20,0.8263917,0.64841646,"('rough', 'thoughtful')",0.8263917,0.6484165,-0.1779752
21,0.19263896,0.1905867,"('immoral', 'moral')",0.192639,0.1905867,-0.0020523
22,0.1857434,0.12169677,"('untrustworthy', 'trustworthy')",0.1857434,0.1216968,-0.0640466
23,6.373432,6.4062557,"('insincere', 'sincere')",6.3734322,6.4062557,0.0328235
24,2.0458412,2.0012891,"('dishonest', 'honest')",2.0458412,2.0012891,-0.0445521
25,0.10920657,0.029736478,"('egoistic', 'altruistic')",0.1092066,0.0297365,-0.0794701
26,0.4035865,0.33589023,"('hardhearted', 'benevolent')",0.4035865,0.3358902,-0.0676963
27,1.6759005,1.4681146,"('hardhearted', 'softhearted')",1.6759005,1.4681146,-0.2077859
28,0.9481657,0.8873642,"('disloyal', 'loyal')",0.9481657,0.8873642,-0.0608015
29,-0.3168458,-0.45259833,"('unfair', 'fair')",-0.3168458,-0.4525983,-0.1357525
30,1.2676914,1.218004,"('intolerant', 'tolerant')",1.2676914,1.218004,-0.0496874
31,-1.5282214,-1.4963529,"('evil', 'good')",-1.5282214,-1.4963529,0.0318685
32,1.0239987,0.9317113,"('unkind', 'kind')",1.0239987,0.9317113,-0.0922874
33,-1.3158721,-1.1955646,"('wrong', 'right')",-1.3158721,-1.1955646,0.1203075
34,4.566219,4.759203,"('mean', 'honorable')",4.5662189,4.759203,0.1929841
35,-1.3756009,-1.472808,"('corrupt', 'incorrupt')",-1.3756009,-1.472808,-0.0972071
36,-1.2400459,-1.2769811,"('hostile', 'amicable')",-1.2400459,-1.2769811,-0.0369352
37,0.90324175,0.8181196,"('fake', 'genuine')",0.9032418,0.8181196,-0.0851222
38,-0.29415268,-0.25282192,"('untruthful', 'truthful')",-0.2941527,-0.2528219,0.0413308
39,-0.13660453,-0.12751475,"('exploitative', 'cooperative')",-0.1366045,-0.1275147,0.0090898
40,-1.2483333,-1.3747342,"('stingy', 'generous')",-1.2483333,-1.3747342,-0.1264009
41,-0.26713356,-0.38201666,"('unforgiving', 'forgiving')",-0.2671336,-0.3820167,-0.1148831
42,-1.6243993,-1.6897801,"('unreliable', 'reliable')",-1.6243993,-1.6897801,-0.0653808
43,1.5958792,1.5782743,"('irresponsible', 'responsible')",1.5958792,1.5782743,-0.0176049
44,-1.3756366,-1.4619454,"('prejudiced', 'unprejudiced')",-1.3756366,-1.4619454,-0.0863088
45,0.67655253,0.5113274,"('incompetent', 'competent')",0.6765525,0.5113274,-0.1652251
46,-0.15228538,-0.19812165,"('uncompetitive', 'competitive')",-0.1522854,-0.1981217,-0.0458363
47,5.5628996,5.7255707,"('stupid', 'smart')",5.5628996,5.7255707,0.1626711
48,0.96812236,0.85351795,"('unintelligent', 'intelligent')",0.9681224,0.8535179,-0.1146045
49,-0.099023394,0.033534475,"('unable', 'able')",-0.0990234,0.0335345,0.1325579
50,-0.39976236,-0.40205884,"('clumsy', 'skillful')",-0.3997624,-0.4020588,-0.0022964
51,0.46277496,0.45237416,"('uneducated', 'educated')",0.462775,0.4523742,-0.0104008
52,-0.8263377,-0.78416646,"('irrational', 'rational')",-0.8263377,-0.7841665,0.0421712
53,0.20825213,0.18858238,"('uncreative', 'creative')",0.2082521,0.1885824,-0.0196697
54,0.700504,0.842921,"('incapable', 'capable')",0.700504,0.842921,0.142417
55,1.3780957,1.2805678,"('incompetent', 'clever')",1.3780957,1.2805678,-0.0975279
56,0.7511302,0.76550645,"('impractical', 'practical')",0.7511302,0.7655064,0.0143762
