,globe_male,globe_female,tuple,life_male,life_female,inc_male,inc_female,average_male,average_female,female-male
0,0.3734157,0.28808582,"('unsociable', 'sociable')",0.9681216,0.93626136,-0.40418997,-0.4838862,0.3124491,0.2468203,-0.0656288
1,0.063237175,0.03570642,"('unfriendly', 'friendly')",0.7892063,0.6374063,1.9277698,1.7567166,0.9267378,0.8099431,-0.1167947
2,-0.11023156,-0.026306963,"('unlikable', 'likable')",0.606456,0.6966366,0.7063401,0.87929064,0.4008548,0.5165401,0.1156853
3,-0.25640655,-0.0923547,"('repellent', 'pleasant')",-0.23644932,-0.086019956,-0.07599261,0.06827737,-0.1896161,-0.0366991,0.152917
4,-1.2774004,-1.3050069,"('disliked', 'liked')",0.28744563,0.1631149,-6.0761495,-6.116806,-2.355368,-2.419566,-0.064198
5,-1.3515987,-1.24832,"('distant', 'outgoing')",0.36892474,0.3847067,-0.11472368,-0.068367064,-0.3657992,-0.3106601,0.0551391
6,-1.8480448,-1.7251153,"('distant', 'open')",-0.49178505,-0.44406593,0.39999598,0.4049605,-0.6466113,-0.5880736,0.0585377
7,1.4480246,1.5145512,"('insensitive', 'sensitive')",0.3366228,0.40674627,0.6375267,0.6220261,0.8073914,0.8477745,0.0403831
8,0.2727728,0.28976768,"('unaffectionate', 'affectionate')",-0.0030528903,-0.022717796,0.49468616,0.44702053,0.254802,0.2380235,-0.0167785
9,0.8192316,0.873233,"('unaffectionate', 'caring')",0.9216058,0.9135009,0.832678,0.8455552,0.8578385,0.8774296,0.0195911
10,1.113084,1.1734526,"('unsympathetic', 'sympathetic')",-0.6491656,-0.51279134,-0.38118726,-0.418479,0.027577,0.0807274,0.0531504
11,0.6681027,0.7368344,"('unhelpful', 'helpful')",0.31961498,0.46513507,1.9191282,1.9834763,0.9689486,1.0618153,0.0928667
12,1.5316627,1.7368284,"('unsupportive', 'supportive')",0.51407045,0.7611801,-1.697122,-1.5952688,0.1162037,0.3009132,0.1847095
13,1.3956087,1.3573304,"('impolite', 'polite')",-0.080336325,-0.06425254,-0.29739422,-0.36424798,0.3392927,0.30961,-0.0296827
14,0.6625301,0.66780984,"('antisocial', 'social')",1.5210277,1.5957187,-0.73859197,-0.7257777,0.4816553,0.5125837,0.0309284
15,0.997089,0.8679826,"('boring', 'funny')",-0.16790116,-0.15405163,0.33964956,0.28666806,0.3896125,0.333533,-0.0560795
16,-1.55437,-1.539689,"('unpopular', 'popular')",-0.8417579,-0.7547645,0.44988912,0.48175782,-0.6487463,-0.6042318,0.0445145
17,-0.29387936,-0.17412096,"('nasty', 'nice')",0.4620585,0.67979354,-0.50106186,-0.40484694,-0.1109609,0.0336085,0.1445694
18,0.40881842,0.5550358,"('disagreeable', 'welcoming')",-0.8111607,-0.62956774,-0.3327753,-0.29698318,-0.2450392,-0.1238384,0.1212008
19,-0.7288052,-0.61147636,"('inhospitable', 'hospitable')",0.11173014,0.08520366,-0.02315478,0.06652173,-0.2134099,-0.1532503,0.0601596
20,-0.30302477,-0.27681196,"('rough', 'thoughtful')",-0.38605896,-0.38696355,1.0212747,0.98372275,0.1107303,0.1066491,-0.0040812
21,0.33844772,0.3483346,"('immoral', 'moral')",0.8376453,0.9121866,-0.523192,-0.43151748,0.2176337,0.2763346,0.0587009
22,0.735743,0.7404027,"('untrustworthy', 'trustworthy')",0.059266903,0.07856663,-1.040117,-1.0304561,-0.0817024,-0.0704956,0.0112068
23,0.9239066,0.9848565,"('insincere', 'sincere')",0.31811148,0.45154917,5.5698795,5.4727826,2.2706326,2.3030628,0.0324302
24,1.3487089,1.3219604,"('dishonest', 'honest')",0.79963636,0.77520233,0.8879375,0.8057361,1.0120943,0.9676329,-0.0444614
25,-0.99006915,-1.0274765,"('egoistic', 'altruistic')",-0.19626968,-0.27852392,1.4098132,1.3545852,0.0744915,0.0161949,-0.0582966
26,2.0059986,1.858056,"('hardhearted', 'benevolent')",1.4573339,1.3902732,1.6763483,1.5604928,1.713227,1.6029406,-0.1102864
27,0.12002995,0.17107606,"('hardhearted', 'softhearted')",-0.27938336,-0.1069448,1.4905361,1.3768854,0.4437276,0.4803389,0.0366113
28,0.5041086,0.36137372,"('disloyal', 'loyal')",0.42865887,0.22343571,0.9732494,0.7571715,0.6353389,0.447327,-0.1880119
29,0.13835983,0.14322382,"('unfair', 'fair')",-0.092223175,-0.07794197,-0.19813128,-0.33755168,-0.0506649,-0.0907566,-0.0400917
30,2.184082,2.3087068,"('intolerant', 'tolerant')",1.5281723,1.6419634,1.4801573,1.4703563,1.7308038,1.8070089,0.0762051
31,-1.2628902,-1.1287986,"('evil', 'good')",-0.69173676,-0.72074306,-1.1181028,-1.1810206,-1.0242433,-1.0101875,0.0140558
32,0.59680665,0.54834926,"('unkind', 'kind')",1.2513832,1.2780342,1.1829295,1.042811,1.0103731,0.9563982,-0.0539749
