,porthole_male,porthole_female,tuple,average_male,average_female,female-male
0,0.86053944,1.0015022,"('unsociable', 'sociable')",0.8605394,1.0015022,0.1409628
1,0.49203163,0.3087031,"('unfriendly', 'friendly')",0.4920316,0.3087031,-0.1833285
2,0.4141116,0.41225827,"('unlikable', 'likable')",0.4141116,0.4122583,-0.0018533
3,0.30815685,0.50695544,"('repellent', 'pleasant')",0.3081568,0.5069554,0.1987986
4,-3.5932934,-3.7547948,"('disliked', 'liked')",-3.5932934,-3.7547948,-0.1615014
5,-1.2917751,-1.6057477,"('distant', 'outgoing')",-1.2917751,-1.6057477,-0.3139726
6,-0.6690542,-1.0255812,"('distant', 'open')",-0.6690542,-1.0255812,-0.356527
7,1.2703351,1.490105,"('insensitive', 'sensitive')",1.2703351,1.490105,0.2197699
8,0.5459512,0.40576047,"('unaffectionate', 'affectionate')",0.5459512,0.4057605,-0.1401907
9,0.78721607,0.78943443,"('unaffectionate', 'caring')",0.7872161,0.7894344,0.0022183
10,0.74229276,1.0830739,"('unsympathetic', 'sympathetic')",0.7422928,1.0830739,0.3407811
11,0.7272436,1.0069406,"('unhelpful', 'helpful')",0.7272436,1.0069406,0.279697
12,-0.68432283,-0.51685154,"('unsupportive', 'supportive')",-0.6843228,-0.5168515,0.1674713
13,-0.033729635,0.2334621,"('impolite', 'polite')",-0.0337296,0.2334621,0.2671917
14,1.2232758,1.5423237,"('antisocial', 'social')",1.2232758,1.5423237,0.3190479
15,0.77433383,0.5859573,"('boring', 'funny')",0.7743338,0.5859573,-0.1883765
16,-0.46020085,-0.6356409,"('unpopular', 'popular')",-0.4602008,-0.6356409,-0.1754401
17,-0.22775416,-0.17677152,"('nasty', 'nice')",-0.2277542,-0.1767715,0.0509827
18,-0.6787546,-0.6291019,"('disagreeable', 'welcoming')",-0.6787546,-0.6291019,0.0496527
19,-1.7459879,-1.90709,"('inhospitable', 'hospitable')",-1.7459879,-1.9070899,-0.161102
20,0.076414034,0.080788456,"('rough', 'thoughtful')",0.076414,0.0807885,0.0043745
21,0.02652154,0.37524647,"('immoral', 'moral')",0.0265215,0.3752465,0.348725
22,0.4568561,0.5782765,"('untrustworthy', 'trustworthy')",0.4568561,0.5782765,0.1214204
23,3.3685124,3.6361232,"('insincere', 'sincere')",3.3685124,3.6361232,0.2676108
24,0.18181494,0.20437421,"('dishonest', 'honest')",0.1818149,0.2043742,0.0225593
25,0.5268979,0.38530326,"('egoistic', 'altruistic')",0.5268979,0.3853033,-0.1415946
