,plane_male,plane_female,tuple,average_male,average_female,female-male
0,0.34539348,0.4134453,"('unsociable', 'sociable')",0.3453935,0.4134453,0.0680518
1,1.1920006,1.0182407,"('unfriendly', 'friendly')",1.1920006,1.0182407,-0.1737599
2,0.15571968,0.23534915,"('unlikable', 'likable')",0.1557197,0.2353491,0.0796294
3,0.9183321,1.0435698,"('repellent', 'pleasant')",0.9183321,1.0435698,0.1252377
4,-7.045036,-7.2832913,"('disliked', 'liked')",-7.0450358,-7.2832913,-0.2382555
5,-0.4925072,-0.7047272,"('distant', 'outgoing')",-0.4925072,-0.7047272,-0.21222
6,-0.070908666,-0.35303587,"('distant', 'open')",-0.0709087,-0.3530359,-0.2821272
7,1.4411677,1.6209385,"('insensitive', 'sensitive')",1.4411677,1.6209385,0.1797708
8,0.96953773,0.78529024,"('unaffectionate', 'affectionate')",0.9695377,0.7852902,-0.1842475
9,1.2784514,1.2362593,"('unaffectionate', 'caring')",1.2784514,1.2362593,-0.0421921
10,1.1992626,1.4691004,"('unsympathetic', 'sympathetic')",1.1992626,1.4691004,0.2698378
11,1.6811012,1.8528647,"('unhelpful', 'helpful')",1.6811012,1.8528647,0.1717635
12,-1.3766133,-1.3541782,"('unsupportive', 'supportive')",-1.3766133,-1.3541782,0.0224351
13,0.19960769,0.44820297,"('impolite', 'polite')",0.1996077,0.448203,0.2485953
14,0.40980554,0.5434176,"('antisocial', 'social')",0.4098055,0.5434176,0.1336121
15,0.4012941,0.33183303,"('boring', 'funny')",0.4012941,0.331833,-0.0694611
16,-0.5013176,-0.6423196,"('unpopular', 'popular')",-0.5013176,-0.6423196,-0.141002
17,0.11424491,0.013772342,"('nasty', 'nice')",0.1142449,0.0137723,-0.1004726
18,-0.45108065,-0.40207344,"('disagreeable', 'welcoming')",-0.4510807,-0.4020734,0.0490073
19,-0.5821626,-0.6970655,"('inhospitable', 'hospitable')",-0.5821626,-0.6970655,-0.1149029
20,0.5782071,0.47452247,"('rough', 'thoughtful')",0.5782071,0.4745225,-0.1036846
21,-0.0260075,0.32928017,"('immoral', 'moral')",-0.0260075,0.3292802,0.3552877
22,-0.0767072,-0.016344588,"('untrustworthy', 'trustworthy')",-0.0767072,-0.0163446,0.0603626
23,6.1799803,6.402666,"('insincere', 'sincere')",6.1799803,6.4026661,0.2226858
24,1.5260264,1.542411,"('dishonest', 'honest')",1.5260264,1.542411,0.0163846
25,0.8870168,0.7747743,"('egoistic', 'altruistic')",0.8870168,0.7747743,-0.1122425
26,1.307062,1.1115464,"('hardhearted', 'benevolent')",1.307062,1.1115464,-0.1955156
27,1.7602624,1.59324,"('hardhearted', 'softhearted')",1.7602624,1.59324,-0.1670224
28,1.4333725,1.292521,"('disloyal', 'loyal')",1.4333725,1.292521,-0.1408515
29,-0.19869597,-0.4445069,"('unfair', 'fair')",-0.198696,-0.4445069,-0.2458109
30,0.974314,1.184823,"('intolerant', 'tolerant')",0.974314,1.184823,0.210509
31,-1.1488206,-1.4838829,"('evil', 'good')",-1.1488206,-1.4838829,-0.3350623
32,1.2035002,1.1980075,"('unkind', 'kind')",1.2035002,1.1980075,-0.0054927
33,-0.2916837,-0.41955078,"('wrong', 'right')",-0.2916837,-0.4195508,-0.1278671
34,4.378892,4.5038776,"('mean', 'honorable')",4.3788919,4.5038776,0.1249857
35,-0.9534549,-1.4798862,"('corrupt', 'incorrupt')",-0.9534549,-1.4798862,-0.5264313
36,-0.6632411,-1.0886962,"('hostile', 'amicable')",-0.6632411,-1.0886962,-0.4254551
37,1.0342957,1.0578,"('fake', 'genuine')",1.0342957,1.0578001,0.0235044
38,-0.4304154,-0.40008318,"('untruthful', 'truthful')",-0.4304154,-0.4000832,0.0303322
39,0.29744494,0.3862976,"('exploitative', 'cooperative')",0.2974449,0.3862976,0.0888527
40,-0.99916476,-1.0546929,"('stingy', 'generous')",-0.9991648,-1.0546929,-0.0555281
41,0.6048273,0.5324724,"('unforgiving', 'forgiving')",0.6048273,0.5324724,-0.0723549
42,-1.9900591,-1.869192,"('unreliable', 'reliable')",-1.9900591,-1.869192,0.1208671
43,0.984829,1.2106402,"('irresponsible', 'responsible')",0.984829,1.2106402,0.2258112
44,-1.1876093,-1.1954721,"('prejudiced', 'unprejudiced')",-1.1876093,-1.1954721,-0.0078628
45,0.5039682,0.40489474,"('incompetent', 'competent')",0.5039682,0.4048947,-0.0990735
46,-0.6598377,-0.4240135,"('uncompetitive', 'competitive')",-0.6598377,-0.4240135,0.2358242
47,4.7247515,4.810397,"('stupid', 'smart')",4.7247515,4.8103971,0.0856456
48,0.37532932,0.5167482,"('unintelligent', 'intelligent')",0.3753293,0.5167482,0.1414189
49,-0.07432229,0.01766478,"('unable', 'able')",-0.0743223,0.0176648,0.0919871
50,-0.37997097,-0.40921822,"('clumsy', 'skillful')",-0.379971,-0.4092182,-0.0292472
51,0.6021523,0.7325785,"('uneducated', 'educated')",0.6021523,0.7325785,0.1304262
52,-0.1013861,-0.4162885,"('irrational', 'rational')",-0.1013861,-0.4162885,-0.3149024
53,-0.12586454,-0.2399411,"('uncreative', 'creative')",-0.1258645,-0.2399411,-0.1140766
54,0.78908074,0.8218974,"('incapable', 'capable')",0.7890807,0.8218974,0.0328167
55,0.90813804,1.2151905,"('incompetent', 'clever')",0.908138,1.2151905,0.3070525
56,0.30258095,0.47000134,"('impractical', 'practical')",0.302581,0.4700013,0.1674203
57,-1.9463013,-1.9865576,"('unimaginative', 'imaginative')",-1.9463013,-1.9865576,-0.0402563
58,0.5112361,0.4815106,"('undiscriminating', 'discriminating')",0.5112361,0.4815106,-0.0297255
59,-0.023747984,-0.16044754,"('foolish', 'wise')",-0.023748,-0.1604475,-0.1366995
60,0.35700738,0.84271646,"('inefficient', 'efficient')",0.3570074,0.8427165,0.4857091
61,0.3541878,0.2900181,"('illogical', 'logical')",0.3541878,0.2900181,-0.0641697
62,0.6151342,0.9381359,"('incompetent', 'brilliant')",0.6151342,0.9381359,0.3230017
63,0.2595401,0.43672007,"('unperceptive', 'insightful')",0.2595401,0.4367201,0.17718
64,-6.0346303,-5.8083534,"('shy', 'confident')",-6.0346303,-5.8083534,0.2262769
65,0.40238613,0.76225805,"('insecure', 'secure')",0.4023861,0.7622581,0.359872
66,0.036863115,-0.23972207,"('inactive', 'active')",0.0368631,-0.2397221,-0.2765852
67,-0.37991184,-0.3319868,"('doubtful', 'determined')",-0.3799118,-0.3319868,0.047925
68,-0.9587603,-0.8392485,"('dependent', 'independent')",-0.9587603,-0.8392485,0.1195118
69,-1.8901356,-2.1731765,"('lazy', 'industrious')",-1.8901356,-2.1731765,-0.2830409
70,1.6413506,1.7709676,"('lethargic', 'energetic')",1.6413506,1.7709676,0.129617
71,0.44912055,0.27599245,"('diffident', 'self-confident')",0.4491206,0.2759925,-0.1731281
72,0.94117546,1.2155932,"('unambitious', 'ambitious')",0.9411755,1.2155932,0.2744177
