,ambassador_male,ambassador_female,tuple,average_male,average_female,female-male
0,0.5925575,0.5061396,"('unsociable', 'sociable')",0.5925575,0.5061396,-0.0864179
1,0.7418829,0.69926524,"('unfriendly', 'friendly')",0.7418829,0.6992652,-0.0426177
2,0.2584855,0.26815954,"('unlikable', 'likable')",0.2584855,0.2681595,0.009674
3,0.38769618,0.47393116,"('repellent', 'pleasant')",0.3876962,0.4739312,0.086235
4,-7.9151897,-8.025608,"('disliked', 'liked')",-7.9151897,-8.0256081,-0.1104184
5,-1.4357896,-1.4666327,"('distant', 'outgoing')",-1.4357896,-1.4666327,-0.0308431
6,-1.0387198,-1.1038884,"('distant', 'open')",-1.0387198,-1.1038884,-0.0651686
7,1.6971357,1.8929377,"('insensitive', 'sensitive')",1.6971357,1.8929377,0.195802
8,1.0209693,0.91925526,"('unaffectionate', 'affectionate')",1.0209693,0.9192553,-0.101714
9,1.8548917,1.9502283,"('unaffectionate', 'caring')",1.8548917,1.9502283,0.0953366
10,1.5871856,1.7206588,"('unsympathetic', 'sympathetic')",1.5871856,1.7206588,0.1334732
11,2.5258737,2.7256794,"('unhelpful', 'helpful')",2.5258737,2.7256794,0.1998057
12,-1.0925347,-0.9895082,"('unsupportive', 'supportive')",-1.0925347,-0.9895082,0.1030265
13,0.60768616,0.5816064,"('impolite', 'polite')",0.6076862,0.5816064,-0.0260798
14,0.6823459,0.63800585,"('antisocial', 'social')",0.6823459,0.6380059,-0.04434
15,0.055882107,0.0272374,"('boring', 'funny')",0.0558821,0.0272374,-0.0286447
16,-0.7664807,-0.7783601,"('unpopular', 'popular')",-0.7664807,-0.7783601,-0.0118794
17,-0.20191231,-0.1767527,"('nasty', 'nice')",-0.2019123,-0.1767527,0.0251596
18,-0.39107934,-0.4346063,"('disagreeable', 'welcoming')",-0.3910793,-0.4346063,-0.043527
19,-1.0385306,-0.98398805,"('inhospitable', 'hospitable')",-1.0385306,-0.983988,0.0545426
20,1.0489378,1.0755128,"('rough', 'thoughtful')",1.0489378,1.0755128,0.026575
21,0.24092963,0.36083746,"('immoral', 'moral')",0.2409296,0.3608375,0.1199079
22,0.00714113,-0.011481402,"('untrustworthy', 'trustworthy')",0.0071411,-0.0114814,-0.0186225
23,7.1730337,7.374791,"('insincere', 'sincere')",7.1730337,7.3747911,0.2017574
24,2.0264516,1.9732988,"('dishonest', 'honest')",2.0264516,1.9732988,-0.0531528
25,0.2804981,0.15850155,"('egoistic', 'altruistic')",0.2804981,0.1585016,-0.1219965
26,0.80867106,0.7153415,"('hardhearted', 'benevolent')",0.8086711,0.7153415,-0.0933296
27,1.3020612,1.2544314,"('hardhearted', 'softhearted')",1.3020612,1.2544314,-0.0476298
28,1.7631975,1.7644166,"('disloyal', 'loyal')",1.7631975,1.7644166,0.0012191
29,-0.7199721,-0.8170829,"('unfair', 'fair')",-0.7199721,-0.8170829,-0.0971108
30,1.6790359,1.6844852,"('intolerant', 'tolerant')",1.6790359,1.6844852,0.0054493
31,-2.0980418,-2.2263527,"('evil', 'good')",-2.0980418,-2.2263527,-0.1283109
