,ashram_male,ashram_female,tuple,average_male,average_female,female-male
0,0.1344097,0.051339254,"('unsociable', 'sociable')",0.1344097,0.0513393,-0.0830704
1,0.5626382,0.35488272,"('unfriendly', 'friendly')",0.5626382,0.3548827,-0.2077555
2,0.06476387,0.13123724,"('unlikable', 'likable')",0.0647639,0.1312372,0.0664733
3,-1.4633983,-1.2024274,"('repellent', 'pleasant')",-1.4633983,-1.2024274,0.2609709
4,-1.7395506,-2.0179727,"('disliked', 'liked')",-1.7395506,-2.0179727,-0.2784221
5,0.8812996,0.7066304,"('distant', 'outgoing')",0.8812996,0.7066304,-0.1746692
6,0.96487445,0.8045955,"('distant', 'open')",0.9648744,0.8045955,-0.1602789
7,-0.44030014,-0.3280757,"('insensitive', 'sensitive')",-0.4403001,-0.3280757,0.1122244
8,0.5287185,0.33628556,"('unaffectionate', 'affectionate')",0.5287185,0.3362856,-0.1924329
9,0.51916605,0.40728736,"('unaffectionate', 'caring')",0.5191661,0.4072874,-0.1118787
10,-1.5752394,-1.4431837,"('unsympathetic', 'sympathetic')",-1.5752394,-1.4431837,0.1320557
11,-0.13345931,0.034534607,"('unhelpful', 'helpful')",-0.1334593,0.0345346,0.1679939
12,-0.8325489,-0.73717123,"('unsupportive', 'supportive')",-0.8325489,-0.7371712,0.0953777
13,-1.4405818,-1.3128402,"('impolite', 'polite')",-1.4405818,-1.3128402,0.1277416
14,-1.2829918,-0.9493115,"('antisocial', 'social')",-1.2829918,-0.9493115,0.3336803
15,1.234938,1.1353034,"('boring', 'funny')",1.234938,1.1353034,-0.0996346
16,0.43274125,0.3264103,"('unpopular', 'popular')",0.4327413,0.3264103,-0.106331
17,-0.06969775,-0.047554713,"('nasty', 'nice')",-0.0696978,-0.0475547,0.0221431
18,0.30677247,0.2434526,"('disagreeable', 'welcoming')",0.3067725,0.2434526,-0.0633199
19,0.3325089,0.183184,"('inhospitable', 'hospitable')",0.3325089,0.183184,-0.1493249
20,-0.23552094,-0.27179,"('rough', 'thoughtful')",-0.2355209,-0.27179,-0.0362691
21,-0.84647787,-0.7348325,"('immoral', 'moral')",-0.8464779,-0.7348325,0.1116454
22,-0.1559497,-0.14630125,"('untrustworthy', 'trustworthy')",-0.1559497,-0.1463013,0.0096484
23,1.7444642,1.9288422,"('insincere', 'sincere')",1.7444642,1.9288422,0.184378
24,0.21779159,0.24243066,"('dishonest', 'honest')",0.2177916,0.2424307,0.0246391
