,anger_male,anger_female,tuple,average_male,average_female,female-male
0,-0.019642798,-0.075125225,"('unsociable', 'sociable')",-0.0196428,-0.0751252,-0.0554824
1,1.531949,1.5374385,"('unfriendly', 'friendly')",1.531949,1.5374385,0.0054895
2,0.50464386,0.65122044,"('unlikable', 'likable')",0.5046439,0.6512204,0.1465765
3,0.63289976,0.7366321,"('repellent', 'pleasant')",0.6328998,0.7366321,0.1037323
4,-7.7075505,-7.5227423,"('disliked', 'liked')",-7.7075505,-7.5227423,0.1848082
5,-0.039548896,0.09018147,"('distant', 'outgoing')",-0.0395489,0.0901815,0.1297304
6,0.12647852,0.2448222,"('distant', 'open')",0.1264785,0.2448222,0.1183437
7,0.41284737,0.5816362,"('insensitive', 'sensitive')",0.4128474,0.5816362,0.1687888
8,1.3705618,1.3495443,"('unaffectionate', 'affectionate')",1.3705618,1.3495443,-0.0210175
9,1.9149549,1.9482259,"('unaffectionate', 'caring')",1.9149549,1.9482259,0.033271
10,1.3097603,1.4103167,"('unsympathetic', 'sympathetic')",1.3097603,1.4103167,0.1005564
11,2.2828655,2.351211,"('unhelpful', 'helpful')",2.2828655,2.3512111,0.0683456
12,-1.4636825,-1.351159,"('unsupportive', 'supportive')",-1.4636825,-1.351159,0.1125235
13,0.46394032,0.40226752,"('impolite', 'polite')",0.4639403,0.4022675,-0.0616728
14,-0.27205595,-0.32046786,"('antisocial', 'social')",-0.272056,-0.3204679,-0.0484119
15,0.6106565,0.5200929,"('boring', 'funny')",0.6106565,0.5200929,-0.0905636
16,-0.41347247,-0.31972164,"('unpopular', 'popular')",-0.4134725,-0.3197216,0.0937509
17,-0.9059783,-0.7077594,"('nasty', 'nice')",-0.9059783,-0.7077594,0.1982189
18,-0.7348797,-0.7124541,"('disagreeable', 'welcoming')",-0.7348797,-0.7124541,0.0224256
19,-0.31646445,-0.17295949,"('inhospitable', 'hospitable')",-0.3164645,-0.1729595,0.143505
20,0.6525386,0.5609044,"('rough', 'thoughtful')",0.6525386,0.5609044,-0.0916342
21,0.084352285,0.15504271,"('immoral', 'moral')",0.0843523,0.1550427,0.0706904
22,-0.72307104,-0.61159575,"('untrustworthy', 'trustworthy')",-0.723071,-0.6115957,0.1114753
23,6.8510885,6.8149877,"('insincere', 'sincere')",6.8510885,6.8149877,-0.0361008
24,1.9823241,2.004504,"('dishonest', 'honest')",1.9823241,2.004504,0.0221799
25,0.093361914,0.065165915,"('egoistic', 'altruistic')",0.0933619,0.0651659,-0.028196
26,0.33669582,0.24034321,"('hardhearted', 'benevolent')",0.3366958,0.2403432,-0.0963526
27,1.2241702,1.1659436,"('hardhearted', 'softhearted')",1.2241702,1.1659436,-0.0582266
28,1.0858654,1.0570755,"('disloyal', 'loyal')",1.0858654,1.0570755,-0.0287899
29,-1.070857,-1.023788,"('unfair', 'fair')",-1.070857,-1.023788,0.047069
30,0.9560412,0.919994,"('intolerant', 'tolerant')",0.9560412,0.919994,-0.0360472
31,-1.8408561,-1.665429,"('evil', 'good')",-1.8408561,-1.665429,0.1754271
32,1.0394396,1.1709316,"('unkind', 'kind')",1.0394396,1.1709316,0.131492
33,-0.42515984,-0.35655335,"('wrong', 'right')",-0.4251598,-0.3565533,0.0686065
34,4.9185514,5.0093775,"('mean', 'honorable')",4.9185514,5.0093775,0.0908261
35,-1.2016835,-1.3055569,"('corrupt', 'incorrupt')",-1.2016835,-1.3055569,-0.1038734
36,-1.1518464,-1.1702287,"('hostile', 'amicable')",-1.1518464,-1.1702287,-0.0183823
37,0.8754959,0.93876666,"('fake', 'genuine')",0.8754959,0.9387667,0.0632708
38,0.06072919,0.15702814,"('untruthful', 'truthful')",0.0607292,0.1570281,0.0962989
39,-0.19063865,-0.17536512,"('exploitative', 'cooperative')",-0.1906386,-0.1753651,0.0152735
40,-1.9863179,-2.0015724,"('stingy', 'generous')",-1.9863179,-2.0015724,-0.0152545
41,-0.3699527,-0.2562611,"('unforgiving', 'forgiving')",-0.3699527,-0.2562611,0.1136916
42,-2.6127503,-2.525154,"('unreliable', 'reliable')",-2.6127503,-2.5251541,0.0875962
43,1.4696043,1.4875321,"('irresponsible', 'responsible')",1.4696043,1.4875321,0.0179278
44,-1.9094573,-1.8954481,"('prejudiced', 'unprejudiced')",-1.9094573,-1.8954481,0.0140092
45,-0.051380612,0.07303879,"('incompetent', 'competent')",-0.0513806,0.0730388,0.1244194
46,-0.38322967,-0.3181409,"('uncompetitive', 'competitive')",-0.3832297,-0.3181409,0.0650888
47,5.215327,5.4063563,"('stupid', 'smart')",5.2153268,5.4063563,0.1910295
48,1.0647837,0.8741778,"('unintelligent', 'intelligent')",1.0647837,0.8741778,-0.1906059
49,0.24764052,0.39600435,"('unable', 'able')",0.2476405,0.3960043,0.1483638
50,0.11544192,0.16482657,"('clumsy', 'skillful')",0.1154419,0.1648266,0.0493847
51,0.35300076,0.3978459,"('uneducated', 'educated')",0.3530008,0.3978459,0.0448451
52,-0.6411587,-0.5840261,"('irrational', 'rational')",-0.6411587,-0.5840261,0.0571326
53,0.6990502,0.6670988,"('uncreative', 'creative')",0.6990502,0.6670988,-0.0319514
54,1.3119161,1.5169883,"('incapable', 'capable')",1.3119161,1.5169883,0.2050722
55,1.0445777,0.9316334,"('incompetent', 'clever')",1.0445777,0.9316334,-0.1129443
56,1.0568577,0.95667154,"('impractical', 'practical')",1.0568577,0.9566715,-0.1001862
57,-2.5619745,-2.4329333,"('unimaginative', 'imaginative')",-2.5619745,-2.4329333,0.1290412
58,0.25287506,0.2319209,"('undiscriminating', 'discriminating')",0.2528751,0.2319209,-0.0209542
59,-0.20345351,-0.060218446,"('foolish', 'wise')",-0.2034535,-0.0602184,0.1432351
60,1.1240674,1.0824734,"('inefficient', 'efficient')",1.1240674,1.0824734,-0.041594
61,0.30937147,0.14767602,"('illogical', 'logical')",0.3093715,0.147676,-0.1616955
