,jailhouse_male,jailhouse_female,tuple,average_male,average_female,female-male
0,1.3959616,1.2491478,"('unsociable', 'sociable')",1.3959616,1.2491478,-0.1468138
1,-0.5416309,-0.5327076,"('unfriendly', 'friendly')",-0.5416309,-0.5327076,0.0089233
2,0.10858246,0.24362153,"('unlikable', 'likable')",0.1085825,0.2436215,0.135039
3,-0.5665213,-0.5403238,"('repellent', 'pleasant')",-0.5665213,-0.5403238,0.0261975
4,-2.8038816,-2.771513,"('disliked', 'liked')",-2.8038816,-2.771513,0.0323686
5,-1.0164329,-0.9818623,"('distant', 'outgoing')",-1.0164329,-0.9818623,0.0345706
6,-0.85364,-0.819206,"('distant', 'open')",-0.85364,-0.819206,0.034434
7,0.24357311,0.2162078,"('insensitive', 'sensitive')",0.2435731,0.2162078,-0.0273653
8,-0.094163835,-0.13865364,"('unaffectionate', 'affectionate')",-0.0941638,-0.1386536,-0.0444898
9,0.091412164,0.082592726,"('unaffectionate', 'caring')",0.0914122,0.0825927,-0.0088195
10,0.54278696,0.48596457,"('unsympathetic', 'sympathetic')",0.542787,0.4859646,-0.0568224
11,1.2463131,1.2110368,"('unhelpful', 'helpful')",1.2463131,1.2110368,-0.0352763
12,-0.20934896,-0.20891568,"('unsupportive', 'supportive')",-0.209349,-0.2089157,0.0004333
13,0.3722729,0.3027823,"('impolite', 'polite')",0.3722729,0.3027823,-0.0694906
14,1.030397,0.9683644,"('antisocial', 'social')",1.0303971,0.9683644,-0.0620327
15,0.6093995,0.5697086,"('boring', 'funny')",0.6093995,0.5697086,-0.0396909
16,-0.011624467,-0.0058133304,"('unpopular', 'popular')",-0.0116245,-0.0058133,0.0058112
17,-0.37666088,-0.35690477,"('nasty', 'nice')",-0.3766609,-0.3569048,0.0197561
18,-1.0298526,-0.96953404,"('disagreeable', 'welcoming')",-1.0298526,-0.969534,0.0603186
19,-1.4042597,-1.361909,"('inhospitable', 'hospitable')",-1.4042597,-1.361909,0.0423507
20,-0.8192324,-0.8487398,"('rough', 'thoughtful')",-0.8192324,-0.8487398,-0.0295074
21,0.5054974,0.49592838,"('immoral', 'moral')",0.5054974,0.4959284,-0.009569
22,-0.12131012,-0.091463655,"('untrustworthy', 'trustworthy')",-0.1213101,-0.0914637,0.0298464
23,2.7658353,2.6617227,"('insincere', 'sincere')",2.7658353,2.6617227,-0.1041126
24,0.48060256,0.44087103,"('dishonest', 'honest')",0.4806026,0.440871,-0.0397316
25,-0.16822964,-0.23468724,"('egoistic', 'altruistic')",-0.1682296,-0.2346872,-0.0664576
26,0.7674188,0.81514287,"('hardhearted', 'benevolent')",0.7674188,0.8151429,0.0477241
27,-0.9492318,-1.0184035,"('hardhearted', 'softhearted')",-0.9492318,-1.0184035,-0.0691717
28,0.22163291,0.026426066,"('disloyal', 'loyal')",0.2216329,0.0264261,-0.1952068
29,-0.8722482,-0.9204825,"('unfair', 'fair')",-0.8722482,-0.9204825,-0.0482343
30,0.6974525,0.646156,"('intolerant', 'tolerant')",0.6974525,0.646156,-0.0512965
31,-1.7762817,-1.7041512,"('evil', 'good')",-1.7762817,-1.7041512,0.0721305
32,0.76833224,0.7055402,"('unkind', 'kind')",0.7683322,0.7055402,-0.062792
33,-0.624202,-0.6321263,"('wrong', 'right')",-0.624202,-0.6321263,-0.0079243
34,2.2428,2.309066,"('mean', 'honorable')",2.2428,2.3090661,0.0662661
35,-1.4102529,-1.4627124,"('corrupt', 'incorrupt')",-1.4102529,-1.4627124,-0.0524595
36,-1.8268803,-1.8179723,"('hostile', 'amicable')",-1.8268803,-1.8179723,0.008908
37,-0.70617306,-0.7508771,"('fake', 'genuine')",-0.7061731,-0.7508771,-0.044704
38,0.20549722,0.19202054,"('untruthful', 'truthful')",0.2054972,0.1920205,-0.0134767
39,-0.21140313,-0.18873723,"('exploitative', 'cooperative')",-0.2114031,-0.1887372,0.0226659
40,-1.8857288,-1.9034277,"('stingy', 'generous')",-1.8857288,-1.9034277,-0.0176989
41,0.25002864,0.23613235,"('unforgiving', 'forgiving')",0.2500286,0.2361324,-0.0138962
42,-0.5585275,-0.55626804,"('unreliable', 'reliable')",-0.5585275,-0.556268,0.0022595
43,0.97884804,1.0024989,"('irresponsible', 'responsible')",0.978848,1.0024989,0.0236509
44,-1.8591235,-1.7723613,"('prejudiced', 'unprejudiced')",-1.8591235,-1.7723613,0.0867622
45,0.41170105,0.35521185,"('incompetent', 'competent')",0.4117011,0.3552119,-0.0564892
46,-0.1802827,-0.24488804,"('uncompetitive', 'competitive')",-0.1802827,-0.244888,-0.0646053
47,2.5324352,2.57203,"('stupid', 'smart')",2.5324352,2.5720301,0.0395949
48,0.10700037,0.022821061,"('unintelligent', 'intelligent')",0.1070004,0.0228211,-0.0841793
49,-0.827392,-0.8207078,"('unable', 'able')",-0.827392,-0.8207078,0.0066842
50,-1.2413962,-1.326422,"('clumsy', 'skillful')",-1.2413962,-1.326422,-0.0850258
51,0.543758,0.4285472,"('uneducated', 'educated')",0.543758,0.4285472,-0.1152108
52,-0.40429977,-0.46317053,"('irrational', 'rational')",-0.4042998,-0.4631705,-0.0588707
53,-0.82998383,-0.886454,"('uncreative', 'creative')",-0.8299838,-0.886454,-0.0564702
54,-0.45424622,-0.44168985,"('incapable', 'capable')",-0.4542462,-0.4416898,0.0125564
55,1.2300369,1.1115974,"('incompetent', 'clever')",1.2300369,1.1115974,-0.1184395
56,2.0934548,2.0509403,"('impractical', 'practical')",2.0934548,2.0509403,-0.0425145
57,-0.73221564,-0.733346,"('unimaginative', 'imaginative')",-0.7322156,-0.733346,-0.0011304
58,0.21675152,0.21068464,"('undiscriminating', 'discriminating')",0.2167515,0.2106846,-0.0060669
59,-0.15710908,-0.14536676,"('foolish', 'wise')",-0.1571091,-0.1453668,0.0117423
60,0.9849226,0.9519459,"('inefficient', 'efficient')",0.9849226,0.9519459,-0.0329767
61,0.030293182,-0.09875451,"('illogical', 'logical')",0.0302932,-0.0987545,-0.1290477
62,0.707584,0.7216605,"('incompetent', 'brilliant')",0.707584,0.7216605,0.0140765
63,0.403857,0.4096831,"('unperceptive', 'insightful')",0.403857,0.4096831,0.0058261
64,-2.3256166,-2.3246894,"('shy', 'confident')",-2.3256166,-2.3246894,0.0009272
65,0.2931669,0.21356706,"('insecure', 'secure')",0.2931669,0.2135671,-0.0795998
66,-0.4071734,-0.43944457,"('inactive', 'active')",-0.4071734,-0.4394446,-0.0322712
67,0.72505915,0.73412186,"('doubtful', 'determined')",0.7250592,0.7341219,0.0090627
68,-1.069001,-1.1243712,"('dependent', 'independent')",-1.069001,-1.1243712,-0.0553702
69,-2.0625942,-2.0194764,"('lazy', 'industrious')",-2.0625942,-2.0194764,0.0431178
70,0.19692287,0.16907832,"('lethargic', 'energetic')",0.1969229,0.1690783,-0.0278446
71,-0.2986463,-0.261513,"('diffident', 'self-confident')",-0.2986463,-0.261513,0.0371333
