,contribution_male,contribution_female,tuple,average_male,average_female,female-male
0,0.6221467,0.3234946,"('unsociable', 'sociable')",0.6221467,0.3234946,-0.2986521
1,0.04582151,0.0009840019,"('unfriendly', 'friendly')",0.0458215,0.000984,-0.0448375
2,0.29131344,0.35756704,"('unlikable', 'likable')",0.2913134,0.357567,0.0662536
3,0.63442963,0.80020666,"('repellent', 'pleasant')",0.6344296,0.8002067,0.1657771
4,-6.8463993,-7.0747895,"('disliked', 'liked')",-6.8463993,-7.0747895,-0.2283902
5,-1.7785554,-1.6576058,"('distant', 'outgoing')",-1.7785554,-1.6576058,0.1209496
6,-1.7299837,-1.5551915,"('distant', 'open')",-1.7299837,-1.5551915,0.1747922
7,1.6392243,1.5567967,"('insensitive', 'sensitive')",1.6392243,1.5567967,-0.0824276
8,0.14458013,0.1916799,"('unaffectionate', 'affectionate')",0.1445801,0.1916799,0.0470998
9,1.1491995,1.1853299,"('unaffectionate', 'caring')",1.1491995,1.1853299,0.0361304
10,1.8871843,1.8959337,"('unsympathetic', 'sympathetic')",1.8871843,1.8959337,0.0087494
11,3.140336,2.9221294,"('unhelpful', 'helpful')",3.140336,2.9221294,-0.2182066
12,-0.93428475,-1.0100387,"('unsupportive', 'supportive')",-0.9342847,-1.0100387,-0.075754
13,0.92237455,0.78163403,"('impolite', 'polite')",0.9223745,0.781634,-0.1407405
14,1.1075784,0.96936136,"('antisocial', 'social')",1.1075784,0.9693614,-0.138217
15,0.8179467,0.62103564,"('boring', 'funny')",0.8179467,0.6210356,-0.1969111
16,-0.88245726,-0.9186187,"('unpopular', 'popular')",-0.8824573,-0.9186187,-0.0361614
17,-0.052607447,-0.1427862,"('nasty', 'nice')",-0.0526074,-0.1427862,-0.0901788
18,-0.78975654,-0.83936137,"('disagreeable', 'welcoming')",-0.7897565,-0.8393614,-0.0496049
19,-0.89037085,-0.9746787,"('inhospitable', 'hospitable')",-0.8903708,-0.9746787,-0.0843079
20,1.3115746,1.3135207,"('rough', 'thoughtful')",1.3115746,1.3135207,0.0019461
21,0.7035101,0.6319587,"('immoral', 'moral')",0.7035101,0.6319587,-0.0715514
22,0.20345789,0.14391877,"('untrustworthy', 'trustworthy')",0.2034579,0.1439188,-0.0595391
23,6.7094603,6.610685,"('insincere', 'sincere')",6.7094603,6.6106849,-0.0987754
