,residence_male,residence_female,tuple,average_male,average_female,female-male
0,0.7579341,0.4311333,"('unsociable', 'sociable')",0.7579341,0.4311333,-0.3268008
1,0.962755,0.89456767,"('unfriendly', 'friendly')",0.962755,0.8945677,-0.0681873
2,0.22218727,0.35031468,"('unlikable', 'likable')",0.2221873,0.3503147,0.1281274
3,0.5329839,0.5117199,"('repellent', 'pleasant')",0.5329839,0.5117199,-0.021264
4,-6.956215,-7.0603523,"('disliked', 'liked')",-6.9562149,-7.0603523,-0.1041374
5,-0.9331277,-0.81286573,"('distant', 'outgoing')",-0.9331277,-0.8128657,0.120262
6,-0.68996936,-0.58093274,"('distant', 'open')",-0.6899694,-0.5809327,0.1090367
7,0.9940972,0.9303054,"('insensitive', 'sensitive')",0.9940972,0.9303054,-0.0637918
8,0.7169134,0.66685164,"('unaffectionate', 'affectionate')",0.7169134,0.6668516,-0.0500618
9,1.3509201,1.3902456,"('unaffectionate', 'caring')",1.3509201,1.3902456,0.0393255
10,0.76544666,0.69009507,"('unsympathetic', 'sympathetic')",0.7654467,0.6900951,-0.0753516
11,1.9581673,1.9988523,"('unhelpful', 'helpful')",1.9581673,1.9988523,0.040685
12,-1.7037936,-1.7264379,"('unsupportive', 'supportive')",-1.7037936,-1.7264379,-0.0226443
13,0.46102124,0.37179187,"('impolite', 'polite')",0.4610212,0.3717919,-0.0892293
14,1.0055255,0.8574698,"('antisocial', 'social')",1.0055255,0.8574698,-0.1480557
15,0.28324503,0.17427014,"('boring', 'funny')",0.283245,0.1742701,-0.1089749
16,0.21746305,0.113234356,"('unpopular', 'popular')",0.217463,0.1132344,-0.1042286
17,0.13209529,0.14212376,"('nasty', 'nice')",0.1320953,0.1421238,0.0100285
18,-0.36961985,-0.40024352,"('disagreeable', 'welcoming')",-0.3696198,-0.4002435,-0.0306237
19,-0.9463959,-0.8883542,"('inhospitable', 'hospitable')",-0.9463959,-0.8883542,0.0580417
20,0.75151855,0.65944046,"('rough', 'thoughtful')",0.7515185,0.6594405,-0.092078
21,-0.2242947,-0.21685483,"('immoral', 'moral')",-0.2242947,-0.2168548,0.0074399
22,-0.26451403,-0.29873008,"('untrustworthy', 'trustworthy')",-0.264514,-0.2987301,-0.0342161
23,6.3664427,6.3388443,"('insincere', 'sincere')",6.3664427,6.3388443,-0.0275984
24,1.284868,1.234054,"('dishonest', 'honest')",1.284868,1.234054,-0.050814
25,0.71535707,0.6018643,"('egoistic', 'altruistic')",0.7153571,0.6018643,-0.1134928
26,1.3707559,1.2648892,"('hardhearted', 'benevolent')",1.3707559,1.2648892,-0.1058667
27,0.96296215,0.7736014,"('hardhearted', 'softhearted')",0.9629622,0.7736014,-0.1893608
28,1.0781568,1.0892498,"('disloyal', 'loyal')",1.0781568,1.0892498,0.011093
29,-1.3626031,-1.444484,"('unfair', 'fair')",-1.3626031,-1.444484,-0.0818809
30,1.440443,1.3344991,"('intolerant', 'tolerant')",1.440443,1.3344991,-0.1059439
31,-1.7158786,-1.7002813,"('evil', 'good')",-1.7158786,-1.7002813,0.0155973
32,1.2767338,1.1043142,"('unkind', 'kind')",1.2767338,1.1043142,-0.1724196
33,-0.5804726,-0.5373182,"('wrong', 'right')",-0.5804726,-0.5373182,0.0431544
34,5.049654,5.1592736,"('mean', 'honorable')",5.049654,5.1592736,0.1096196
35,-0.9318383,-1.0009049,"('corrupt', 'incorrupt')",-0.9318383,-1.0009049,-0.0690666
36,-0.9904143,-1.0429763,"('hostile', 'amicable')",-0.9904143,-1.0429763,-0.052562
37,0.654417,0.66557366,"('fake', 'genuine')",0.654417,0.6655737,0.0111567
38,0.14516959,0.14391825,"('untruthful', 'truthful')",0.1451696,0.1439182,-0.0012514
39,0.30673558,0.40090927,"('exploitative', 'cooperative')",0.3067356,0.4009093,0.0941737
40,-2.2267199,-2.3369524,"('stingy', 'generous')",-2.2267199,-2.3369524,-0.1102325
41,-0.041106723,-0.03351873,"('unforgiving', 'forgiving')",-0.0411067,-0.0335187,0.007588
42,-2.608626,-2.5674183,"('unreliable', 'reliable')",-2.6086259,-2.5674183,0.0412076
43,1.2338538,1.2355155,"('irresponsible', 'responsible')",1.2338538,1.2355155,0.0016617
44,-1.3209827,-1.2588769,"('prejudiced', 'unprejudiced')",-1.3209827,-1.2588769,0.0621058
