,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.46740526,0.32821268,"('unsociable', 'sociable')",-0.16367131,-0.35824484,0.151867,-0.0150161,-0.1668831
1,1.1900549,1.3175216,"('unfriendly', 'friendly')",1.7310779,1.6274087,1.4605664,1.4724652,0.0118988
2,0.017708763,0.11907897,"('unlikable', 'likable')",0.23813501,0.29197553,0.1279219,0.2055272,0.0776053
3,-0.6006589,-0.40910235,"('repellent', 'pleasant')",-0.20395765,-0.11945632,-0.4023083,-0.2642793,0.138029
4,-0.8460314,-0.8133845,"('disliked', 'liked')",-6.0925293,-6.041874,-3.4692802,-3.4276292,0.041651
5,0.08873633,0.07052524,"('distant', 'outgoing')",0.11556702,0.08630177,0.1021517,0.0784135,-0.0237382
6,0.065748066,0.111417145,"('distant', 'open')",0.3396969,0.28535068,0.2027225,0.1983839,-0.0043386
7,0.30704314,0.4427463,"('insensitive', 'sensitive')",0.5267631,0.5229373,0.4169031,0.4828418,0.0659387
8,0.51661885,0.64734054,"('unaffectionate', 'affectionate')",0.5208477,0.4364941,0.5187333,0.5419173,0.023184
9,1.6183877,1.8378236,"('unaffectionate', 'caring')",0.7969934,0.8273602,1.2076905,1.3325919,0.1249014
10,0.43558127,0.52294534,"('unsympathetic', 'sympathetic')",-0.26295704,-0.36503753,0.0863121,0.0789539,-0.0073582
11,-0.007001359,0.10735359,"('unhelpful', 'helpful')",2.1315112,2.1874452,1.0622549,1.1473994,0.0851445
12,1.4963275,1.7102766,"('unsupportive', 'supportive')",-1.4880245,-1.4770244,0.0041515,0.1166261,0.1124746
13,0.1709018,-0.01985789,"('impolite', 'polite')",-0.21074924,-0.24595419,-0.0199237,-0.132906,-0.1129823
14,-0.24824604,-0.3220991,"('antisocial', 'social')",-0.8187343,-0.81592023,-0.5334902,-0.5690097,-0.0355195
15,0.11459987,0.030442923,"('boring', 'funny')",0.28054646,0.26172483,0.1975732,0.1460839,-0.0514893
16,-0.7364698,-0.613654,"('unpopular', 'popular')",0.5599241,0.54562104,-0.0882728,-0.0340165,0.0542563
17,-0.22819023,-0.19048423,"('nasty', 'nice')",-0.1887095,-0.13577336,-0.2084499,-0.1631288,0.0453211
18,-0.30932188,-0.23842245,"('disagreeable', 'welcoming')",-0.31615165,-0.39387468,-0.3127367,-0.3161486,-0.0034119
19,-0.669308,-0.63404024,"('inhospitable', 'hospitable')",0.038839627,0.013450181,-0.3152342,-0.310295,0.0049392
20,0.3904016,0.4359996,"('rough', 'thoughtful')",1.0742806,0.97517556,0.7323411,0.7055876,-0.0267535
21,0.038388558,0.001981344,"('immoral', 'moral')",-0.44109163,-0.44548866,-0.2013515,-0.2217537,-0.0204022
22,0.013441276,-0.019513614,"('untrustworthy', 'trustworthy')",-1.0094788,-1.0147965,-0.4980188,-0.5171551,-0.0191363
23,0.63177276,0.74807036,"('insincere', 'sincere')",5.895435,5.953914,3.2636037,3.3509922,0.0873885
