,jackfruit_male,jackfruit_female,tuple,average_male,average_female,female-male
0,-1.46094,-1.740739,"('unsociable', 'sociable')",-1.46094,-1.740739,-0.279799
1,-0.31822938,-0.54989034,"('unfriendly', 'friendly')",-0.3182294,-0.5498903,-0.2316609
2,-0.2577297,-0.38185754,"('unlikable', 'likable')",-0.2577297,-0.3818575,-0.1241278
3,-1.3117087,-1.2914143,"('repellent', 'pleasant')",-1.3117087,-1.2914143,0.0202944
4,-1.2094642,-1.1763337,"('disliked', 'liked')",-1.2094642,-1.1763337,0.0331305
5,0.33849347,0.3722033,"('distant', 'outgoing')",0.3384935,0.3722033,0.0337098
6,0.22469383,0.23565075,"('distant', 'open')",0.2246938,0.2356507,0.0109569
7,-1.0717566,-1.0592597,"('insensitive', 'sensitive')",-1.0717566,-1.0592597,0.0124969
8,0.38745284,0.21308398,"('unaffectionate', 'affectionate')",0.3874528,0.213084,-0.1743688
9,0.11201059,0.0039809756,"('unaffectionate', 'caring')",0.1120106,0.003981,-0.1080296
10,-2.2497537,-2.4758055,"('unsympathetic', 'sympathetic')",-2.2497537,-2.4758055,-0.2260518
11,-0.7901042,-0.7934365,"('unhelpful', 'helpful')",-0.7901042,-0.7934365,-0.0033323
12,-1.4052505,-1.4226872,"('unsupportive', 'supportive')",-1.4052505,-1.4226872,-0.0174367
13,-1.5755951,-1.7567337,"('impolite', 'polite')",-1.5755951,-1.7567337,-0.1811386
14,-1.2416067,-1.3941438,"('antisocial', 'social')",-1.2416067,-1.3941438,-0.1525371
15,1.1641483,1.131012,"('boring', 'funny')",1.1641483,1.131012,-0.0331363
16,0.1759887,0.14590374,"('unpopular', 'popular')",0.1759887,0.1459037,-0.030085
17,-0.5323928,-0.43635154,"('nasty', 'nice')",-0.5323928,-0.4363515,0.0960413
18,-0.55598193,-0.5447381,"('disagreeable', 'welcoming')",-0.5559819,-0.5447381,0.0112438
19,-0.47208446,-0.4064808,"('inhospitable', 'hospitable')",-0.4720845,-0.4064808,0.0656037
20,-0.56524205,-0.45788753,"('rough', 'thoughtful')",-0.5652421,-0.4578875,0.1073546
21,-0.9865947,-1.0379608,"('immoral', 'moral')",-0.9865947,-1.0379608,-0.0513661
22,-1.004564,-1.0678968,"('untrustworthy', 'trustworthy')",-1.004564,-1.0678968,-0.0633328
23,0.093275234,-0.033242427,"('insincere', 'sincere')",0.0932752,-0.0332424,-0.1265176
24,-0.58736694,-0.698482,"('dishonest', 'honest')",-0.5873669,-0.698482,-0.1111151
25,0.98608154,0.99825287,"('egoistic', 'altruistic')",0.9860815,0.9982529,0.0121714
26,0.049591146,-0.2128852,"('hardhearted', 'benevolent')",0.0495911,-0.2128852,-0.2624763
27,0.6227282,0.6519423,"('hardhearted', 'softhearted')",0.6227282,0.6519423,0.0292141
28,-0.62119097,-0.67958134,"('disloyal', 'loyal')",-0.621191,-0.6795813,-0.0583903
29,0.010667363,-0.09149055,"('unfair', 'fair')",0.0106674,-0.0914906,-0.102158
30,-1.0501397,-1.1062465,"('intolerant', 'tolerant')",-1.0501397,-1.1062465,-0.0561068
31,0.07465045,0.16674538,"('evil', 'good')",0.0746505,0.1667454,0.0920949
32,-0.5382309,-0.7695164,"('unkind', 'kind')",-0.5382309,-0.7695164,-0.2312855
33,0.70290285,0.6852995,"('wrong', 'right')",0.7029029,0.6852995,-0.0176034
34,0.38095984,0.47970408,"('mean', 'honorable')",0.3809598,0.4797041,0.0987443
35,0.92322433,0.99727666,"('corrupt', 'incorrupt')",0.9232243,0.9972767,0.0740524
36,-0.15989049,-0.2578177,"('hostile', 'amicable')",-0.1598905,-0.2578177,-0.0979272
37,-0.54491436,-0.57130605,"('fake', 'genuine')",-0.5449144,-0.571306,-0.0263916
38,-0.6132086,-0.64242375,"('untruthful', 'truthful')",-0.6132086,-0.6424237,-0.0292151
39,0.63994586,0.70298576,"('exploitative', 'cooperative')",0.6399459,0.7029858,0.0630399
40,-0.935582,-0.95662344,"('stingy', 'generous')",-0.935582,-0.9566234,-0.0210414
41,-0.70241964,-0.85194886,"('unforgiving', 'forgiving')",-0.7024196,-0.8519489,-0.1495293
42,-0.9889977,-1.0315878,"('unreliable', 'reliable')",-0.9889977,-1.0315878,-0.0425901
43,-1.0717337,-1.2445192,"('irresponsible', 'responsible')",-1.0717337,-1.2445192,-0.1727855
44,0.02004805,0.041928124,"('prejudiced', 'unprejudiced')",0.0200481,0.0419281,0.02188
45,-1.1676867,-1.2801592,"('incompetent', 'competent')",-1.1676867,-1.2801592,-0.1124725
46,-1.9902062,-2.1579714,"('uncompetitive', 'competitive')",-1.9902062,-2.1579714,-0.1677652
47,0.2734089,0.32203236,"('stupid', 'smart')",0.2734089,0.3220324,0.0486235
48,-0.7128964,-0.80256516,"('unintelligent', 'intelligent')",-0.7128964,-0.8025652,-0.0896688
49,-0.57003725,-0.3589826,"('unable', 'able')",-0.5700372,-0.3589826,0.2110546
50,0.17933667,0.16390494,"('clumsy', 'skillful')",0.1793367,0.1639049,-0.0154318
51,-1.1647083,-1.2444745,"('uneducated', 'educated')",-1.1647083,-1.2444745,-0.0797662
52,0.61170197,0.5075908,"('irrational', 'rational')",0.611702,0.5075908,-0.1041112
