,photographer_male,photographer_female,tuple,average_male,average_female,female-male
0,-0.1671784,-0.16655208,"('unsociable', 'sociable')",-0.1671784,-0.1665521,0.0006263
1,1.5038716,1.3845347,"('unfriendly', 'friendly')",1.5038716,1.3845347,-0.1193369
2,0.42537084,0.47698438,"('unlikable', 'likable')",0.4253708,0.4769844,0.0516136
3,-0.23872937,-0.11531264,"('repellent', 'pleasant')",-0.2387294,-0.1153126,0.1234168
4,-7.4095507,-7.5575085,"('disliked', 'liked')",-7.4095507,-7.5575085,-0.1479578
5,-0.47276285,-0.5896317,"('distant', 'outgoing')",-0.4727629,-0.5896317,-0.1168688
6,-0.15864804,-0.24908373,"('distant', 'open')",-0.158648,-0.2490837,-0.0904357
7,1.0468901,1.1551715,"('insensitive', 'sensitive')",1.0468901,1.1551715,0.1082814
8,1.1055007,0.9661434,"('unaffectionate', 'affectionate')",1.1055007,0.9661434,-0.1393573
9,2.0429845,1.9730217,"('unaffectionate', 'caring')",2.0429845,1.9730217,-0.0699628
10,0.6320398,0.73697156,"('unsympathetic', 'sympathetic')",0.6320398,0.7369716,0.1049318
11,1.9431684,2.045553,"('unhelpful', 'helpful')",1.9431684,2.045553,0.1023846
12,-1.3534734,-1.3105794,"('unsupportive', 'supportive')",-1.3534734,-1.3105794,0.042894
13,-0.21183467,-0.2315691,"('impolite', 'polite')",-0.2118347,-0.2315691,-0.0197344
14,-0.40164372,-0.330003,"('antisocial', 'social')",-0.4016437,-0.330003,0.0716407
15,0.42038435,0.2759787,"('boring', 'funny')",0.4203843,0.2759787,-0.1444056
16,-0.27174783,-0.2781818,"('unpopular', 'popular')",-0.2717478,-0.2781818,-0.006434
17,-0.41067183,-0.46835822,"('nasty', 'nice')",-0.4106718,-0.4683582,-0.0576864
18,-0.30680153,-0.34808266,"('disagreeable', 'welcoming')",-0.3068015,-0.3480827,-0.0412812
19,-0.2841396,-0.32957837,"('inhospitable', 'hospitable')",-0.2841396,-0.3295784,-0.0454388
20,0.8645504,0.92926216,"('rough', 'thoughtful')",0.8645504,0.9292622,0.0647118
21,-0.542833,-0.36786097,"('immoral', 'moral')",-0.542833,-0.367861,0.174972
22,-0.6144221,-0.59795463,"('untrustworthy', 'trustworthy')",-0.6144221,-0.5979546,0.0164675
23,6.9146824,7.008108,"('insincere', 'sincere')",6.9146824,7.0081081,0.0934257
24,1.7353312,1.6777233,"('dishonest', 'honest')",1.7353312,1.6777233,-0.0576079
25,0.56025124,0.43698218,"('egoistic', 'altruistic')",0.5602512,0.4369822,-0.123269
26,1.1851822,1.1566325,"('hardhearted', 'benevolent')",1.1851822,1.1566325,-0.0285497
27,1.280148,1.1462473,"('hardhearted', 'softhearted')",1.280148,1.1462473,-0.1339007
28,1.3967692,1.3437523,"('disloyal', 'loyal')",1.3967692,1.3437523,-0.0530169
29,-0.66901594,-0.804188,"('unfair', 'fair')",-0.6690159,-0.804188,-0.1351721
30,1.138879,1.2070506,"('intolerant', 'tolerant')",1.1388789,1.2070506,0.0681717
31,-1.5183957,-1.5895125,"('evil', 'good')",-1.5183957,-1.5895125,-0.0711168
