,universe_male,universe_female,tuple,average_male,average_female,female-male
0,0.3376579,0.3261402,"('unsociable', 'sociable')",0.3376579,0.3261402,-0.0115177
1,1.5124495,1.5700098,"('unfriendly', 'friendly')",1.5124495,1.5700098,0.0575603
2,0.62082386,0.65978175,"('unlikable', 'likable')",0.6208239,0.6597818,0.0389579
3,1.1381874,1.166047,"('repellent', 'pleasant')",1.1381874,1.166047,0.0278596
4,-7.20988,-7.230107,"('disliked', 'liked')",-7.2098799,-7.2301068,-0.0202269
5,-0.4240458,-0.31469905,"('distant', 'outgoing')",-0.4240458,-0.3146991,0.1093467
6,-0.0945217,-0.009966895,"('distant', 'open')",-0.0945217,-0.0099669,0.0845548
7,1.6151919,1.6910326,"('insensitive', 'sensitive')",1.6151919,1.6910326,0.0758407
8,1.0651865,1.0448623,"('unaffectionate', 'affectionate')",1.0651865,1.0448623,-0.0203242
9,1.426363,1.5453749,"('unaffectionate', 'caring')",1.426363,1.5453749,0.1190119
10,1.6666061,1.6175318,"('unsympathetic', 'sympathetic')",1.6666061,1.6175318,-0.0490743
11,2.0366087,2.1560686,"('unhelpful', 'helpful')",2.0366087,2.1560686,0.1194599
12,-1.0831728,-1.0267115,"('unsupportive', 'supportive')",-1.0831728,-1.0267115,0.0564613
13,0.30081293,0.3345747,"('impolite', 'polite')",0.3008129,0.3345747,0.0337618
14,0.26285362,0.20391169,"('antisocial', 'social')",0.2628536,0.2039117,-0.0589419
15,0.29972315,0.34655464,"('boring', 'funny')",0.2997231,0.3465546,0.0468315
16,-0.69804794,-0.572498,"('unpopular', 'popular')",-0.6980479,-0.572498,0.1255499
17,-0.07338856,-0.05362109,"('nasty', 'nice')",-0.0733886,-0.0536211,0.0197675
18,-0.39275065,-0.3824179,"('disagreeable', 'welcoming')",-0.3927507,-0.3824179,0.0103328
19,-0.4349198,-0.32829538,"('inhospitable', 'hospitable')",-0.4349198,-0.3282954,0.1066244
20,0.9421571,0.82312155,"('rough', 'thoughtful')",0.9421571,0.8231215,-0.1190356
21,0.50068676,0.5802356,"('immoral', 'moral')",0.5006868,0.5802356,0.0795488
22,0.26228318,0.20318514,"('untrustworthy', 'trustworthy')",0.2622832,0.2031851,-0.0590981
23,6.82168,7.0278583,"('insincere', 'sincere')",6.8216801,7.0278583,0.2061782
24,2.0582402,2.166988,"('dishonest', 'honest')",2.0582402,2.1669879,0.1087477
25,0.40512335,0.2702154,"('egoistic', 'altruistic')",0.4051234,0.2702154,-0.134908
26,0.20878667,0.16059664,"('hardhearted', 'benevolent')",0.2087867,0.1605966,-0.0481901
27,1.8945998,1.783063,"('hardhearted', 'softhearted')",1.8945998,1.7830631,-0.1115367
28,1.1135414,1.1662949,"('disloyal', 'loyal')",1.1135414,1.1662949,0.0527535
29,-0.24634509,-0.27668267,"('unfair', 'fair')",-0.2463451,-0.2766827,-0.0303376
30,1.404237,1.3750862,"('intolerant', 'tolerant')",1.404237,1.3750862,-0.0291508
31,-1.6227858,-1.6318748,"('evil', 'good')",-1.6227858,-1.6318748,-0.009089
32,1.1804016,1.1304251,"('unkind', 'kind')",1.1804016,1.1304251,-0.0499765
33,-0.78602433,-0.7144367,"('wrong', 'right')",-0.7860243,-0.7144367,0.0715876
34,4.490648,4.75152,"('mean', 'honorable')",4.4906478,4.7515202,0.2608724
35,-1.3477148,-1.3246118,"('corrupt', 'incorrupt')",-1.3477148,-1.3246118,0.023103
36,-1.0066751,-1.1230986,"('hostile', 'amicable')",-1.0066751,-1.1230986,-0.1164235
37,0.8228794,0.8427177,"('fake', 'genuine')",0.8228794,0.8427177,0.0198383
38,-0.07551637,0.038511977,"('untruthful', 'truthful')",-0.0755164,0.038512,0.1140284
39,0.048947822,0.08244905,"('exploitative', 'cooperative')",0.0489478,0.082449,0.0335012
40,-0.7396253,-0.8231183,"('stingy', 'generous')",-0.7396253,-0.8231183,-0.083493
41,0.13674945,0.020899847,"('unforgiving', 'forgiving')",0.1367494,0.0208998,-0.1158496
42,-1.4241761,-1.5356356,"('unreliable', 'reliable')",-1.4241761,-1.5356356,-0.1114595
43,1.7237513,1.7235314,"('irresponsible', 'responsible')",1.7237513,1.7235314,-0.0002199
44,-1.3419968,-1.5246861,"('prejudiced', 'unprejudiced')",-1.3419968,-1.5246861,-0.1826893
45,0.45857748,0.5404288,"('incompetent', 'competent')",0.4585775,0.5404288,0.0818513
46,-0.0560539,-0.06948546,"('uncompetitive', 'competitive')",-0.0560539,-0.0694855,-0.0134316
47,5.648098,5.860427,"('stupid', 'smart')",5.648098,5.8604269,0.2123289
48,1.3423929,1.400047,"('unintelligent', 'intelligent')",1.3423929,1.4000469,0.057654
49,-0.04878349,0.16530192,"('unable', 'able')",-0.0487835,0.1653019,0.2140854
50,0.051750533,0.09862872,"('clumsy', 'skillful')",0.0517505,0.0986287,0.0468782
51,0.75407624,0.7201956,"('uneducated', 'educated')",0.7540762,0.7201956,-0.0338806
52,-0.6218612,-0.53395593,"('irrational', 'rational')",-0.6218612,-0.5339559,0.0879053
53,0.5884629,0.6648444,"('uncreative', 'creative')",0.5884629,0.6648444,0.0763815
54,1.1107353,1.2799412,"('incapable', 'capable')",1.1107353,1.2799412,0.1692059
55,1.2908585,1.3485712,"('incompetent', 'clever')",1.2908585,1.3485712,0.0577127
56,0.767419,0.8267444,"('impractical', 'practical')",0.767419,0.8267444,0.0593254
57,-2.1239636,-2.1882806,"('unimaginative', 'imaginative')",-2.1239636,-2.1882806,-0.064317
58,-0.06965986,-0.17083746,"('undiscriminating', 'discriminating')",-0.0696599,-0.1708375,-0.1011776
59,0.074250996,0.19864094,"('foolish', 'wise')",0.074251,0.1986409,0.1243899
60,0.8627671,0.9420756,"('inefficient', 'efficient')",0.8627671,0.9420756,0.0793085
61,0.6224823,0.5785974,"('illogical', 'logical')",0.6224823,0.5785974,-0.0438849
62,1.5732027,1.7961869,"('incompetent', 'brilliant')",1.5732027,1.7961869,0.2229842
63,1.1703693,1.2774497,"('unperceptive', 'insightful')",1.1703693,1.2774497,0.1070804
64,-5.6078496,-5.6282463,"('shy', 'confident')",-5.6078496,-5.6282463,-0.0203967
65,1.5064384,1.429053,"('insecure', 'secure')",1.5064384,1.4290529,-0.0773855
66,-0.2173706,-0.3133967,"('inactive', 'active')",-0.2173706,-0.3133967,-0.0960261
67,-0.9301391,-0.83546984,"('doubtful', 'determined')",-0.9301391,-0.8354698,0.0946693
68,-0.12592593,-0.09654415,"('dependent', 'independent')",-0.1259259,-0.0965441,0.0293818
