,spray_male,spray_female,tuple,average_male,average_female,female-male
0,0.40244758,0.111602455,"('unsociable', 'sociable')",0.4024476,0.1116025,-0.2908451
1,1.4454645,1.4596989,"('unfriendly', 'friendly')",1.4454645,1.4596989,0.0142344
2,0.6552281,0.82543486,"('unlikable', 'likable')",0.6552281,0.8254349,0.1702068
3,0.35748482,0.40052477,"('repellent', 'pleasant')",0.3574848,0.4005248,0.04304
4,-7.5613213,-7.5275755,"('disliked', 'liked')",-7.5613213,-7.5275755,0.0337458
5,-0.36782196,-0.18508282,"('distant', 'outgoing')",-0.367822,-0.1850828,0.1827392
6,-0.16808997,0.05203575,"('distant', 'open')",-0.16809,0.0520357,0.2201257
7,0.3599052,0.36865702,"('insensitive', 'sensitive')",0.3599052,0.368657,0.0087518
8,1.2564656,1.3015101,"('unaffectionate', 'affectionate')",1.2564656,1.3015101,0.0450445
9,2.1123755,2.165448,"('unaffectionate', 'caring')",2.1123755,2.165448,0.0530725
10,1.1848831,1.0913277,"('unsympathetic', 'sympathetic')",1.1848831,1.0913277,-0.0935554
11,2.4834473,2.4706733,"('unhelpful', 'helpful')",2.4834473,2.4706733,-0.012774
12,-1.2814323,-1.3594865,"('unsupportive', 'supportive')",-1.2814323,-1.3594865,-0.0780542
13,0.6688875,0.49244693,"('impolite', 'polite')",0.6688875,0.4924469,-0.1764406
14,-0.18563229,-0.4379546,"('antisocial', 'social')",-0.1856323,-0.4379546,-0.2523223
15,0.57276416,0.57574326,"('boring', 'funny')",0.5727642,0.5757433,0.0029791
16,-0.26930508,-0.21767265,"('unpopular', 'popular')",-0.2693051,-0.2176726,0.0516325
17,-0.2818727,-0.24720979,"('nasty', 'nice')",-0.2818727,-0.2472098,0.0346629
18,-0.91771924,-0.93396014,"('disagreeable', 'welcoming')",-0.9177192,-0.9339601,-0.0162409
19,-0.8149169,-0.64449936,"('inhospitable', 'hospitable')",-0.8149169,-0.6444994,0.1704175
20,1.1252444,0.98617095,"('rough', 'thoughtful')",1.1252444,0.9861709,-0.1390735
21,0.015176646,-0.040921025,"('immoral', 'moral')",0.0151766,-0.040921,-0.0560976
22,-0.7180114,-0.74024034,"('untrustworthy', 'trustworthy')",-0.7180114,-0.7402403,-0.0222289
23,6.78068,6.7365017,"('insincere', 'sincere')",6.7806802,6.7365017,-0.0441785
24,1.6848699,1.6770657,"('dishonest', 'honest')",1.6848699,1.6770657,-0.0078042
25,0.5240511,0.48860776,"('egoistic', 'altruistic')",0.5240511,0.4886078,-0.0354433
26,1.0835711,0.9110933,"('hardhearted', 'benevolent')",1.0835711,0.9110933,-0.1724778
27,1.3371559,1.1476817,"('hardhearted', 'softhearted')",1.3371559,1.1476817,-0.1894742
28,1.2789059,1.1768653,"('disloyal', 'loyal')",1.2789059,1.1768653,-0.1020406
29,-0.8372959,-0.884993,"('unfair', 'fair')",-0.8372959,-0.884993,-0.0476971
30,1.1277634,0.9995513,"('intolerant', 'tolerant')",1.1277634,0.9995513,-0.1282121
31,-1.5215758,-1.3739166,"('evil', 'good')",-1.5215758,-1.3739166,0.1476592
32,1.2194524,1.152276,"('unkind', 'kind')",1.2194524,1.152276,-0.0671764
33,-0.13697651,-0.111782975,"('wrong', 'right')",-0.1369765,-0.111783,0.0251935
34,4.5367217,4.699558,"('mean', 'honorable')",4.5367217,4.6995578,0.1628361
35,-1.182874,-1.1776981,"('corrupt', 'incorrupt')",-1.182874,-1.1776981,0.0051759
36,-0.80834097,-0.7317971,"('hostile', 'amicable')",-0.808341,-0.7317971,0.0765439
37,0.77381575,0.77793807,"('fake', 'genuine')",0.7738158,0.7779381,0.0041223
38,0.21054484,0.1881175,"('untruthful', 'truthful')",0.2105448,0.1881175,-0.0224273
39,0.35519427,0.23712833,"('exploitative', 'cooperative')",0.3551943,0.2371283,-0.118066
40,-2.3172693,-2.407655,"('stingy', 'generous')",-2.3172693,-2.407655,-0.0903857
41,0.43321997,0.2661505,"('unforgiving', 'forgiving')",0.43322,0.2661505,-0.1670695
42,-2.730614,-2.6231642,"('unreliable', 'reliable')",-2.7306139,-2.6231642,0.1074497
43,1.2311189,1.15784,"('irresponsible', 'responsible')",1.2311189,1.15784,-0.0732789
44,-1.3082136,-1.2330111,"('prejudiced', 'unprejudiced')",-1.3082136,-1.2330111,0.0752025
