,waters_male,waters_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.9994452,0.8149568,"('unsociable', 'sociable')",0.23777615,0.07831484,0.6186107,0.4466358,-0.1719749
1,0.3712931,0.27950978,"('unfriendly', 'friendly')",0.85283726,0.77605265,0.6120652,0.5277812,-0.084284
2,0.0024459958,-0.033090167,"('unlikable', 'likable')",0.58390397,0.5926803,0.293175,0.2797951,-0.0133799
3,0.20909801,0.4108433,"('repellent', 'pleasant')",0.46670422,0.50640845,0.3379011,0.4586259,0.1207248
4,-0.9516688,-0.96769345,"('disliked', 'liked')",-5.5955105,-5.6113925,-3.2735896,-3.2895429,-0.0159533
5,-0.68973523,-0.6873645,"('distant', 'outgoing')",-0.6995593,-0.599636,-0.6946473,-0.6435003,0.051147
6,-1.0800823,-0.98912245,"('distant', 'open')",-1.0341198,-0.94915336,-1.057101,-0.9691379,0.0879631
7,1.5729598,1.6369754,"('insensitive', 'sensitive')",0.5767149,0.5436959,1.0748373,1.0903356,0.0154983
8,-0.03919345,-0.08290267,"('unaffectionate', 'affectionate')",-0.17051372,-0.24282363,-0.1048536,-0.1628632,-0.0580096
9,1.4798504,1.5612063,"('unaffectionate', 'caring')",0.7057544,0.70511633,1.0928024,1.1331613,0.0403589
10,1.0901656,1.1283559,"('unsympathetic', 'sympathetic')",-0.32954237,-0.41576242,0.3803116,0.3562967,-0.0240149
11,1.456576,1.4598219,"('unhelpful', 'helpful')",2.0990822,2.0741935,1.7778292,1.7670077,-0.0108215
12,1.760098,1.7986838,"('unsupportive', 'supportive')",-1.7131853,-1.6971527,0.0234563,0.0507655,0.0273092
13,1.2107111,1.0229561,"('impolite', 'polite')",-0.3319492,-0.36428267,0.4393809,0.3293367,-0.1100442
14,1.633079,1.4571244,"('antisocial', 'social')",0.45114762,0.36348537,1.0421133,0.9103048,-0.1318085
15,-0.009932075,-0.21084084,"('boring', 'funny')",-0.0056894664,-0.052486308,-0.0078108,-0.1316636,-0.1238528
16,-0.9166664,-0.85653615,"('unpopular', 'popular')",0.285263,0.32666942,-0.3157017,-0.2649333,0.0507684
17,-0.7341874,-0.77010804,"('nasty', 'nice')",-0.43543398,-0.34444857,-0.5848107,-0.5572783,0.0275324
18,-0.6361661,-0.71513385,"('disagreeable', 'welcoming')",-0.69916487,-0.7589612,-0.6676655,-0.7370476,-0.0693821
19,-1.1079437,-1.0667433,"('inhospitable', 'hospitable')",-0.91839325,-0.8252934,-1.0131685,-0.9460183,0.0671502
20,-0.40136877,-0.33983302,"('rough', 'thoughtful')",0.54056525,0.5247131,0.0695982,0.09244,0.0228418
21,1.0268453,0.9271129,"('immoral', 'moral')",0.093838006,0.05084341,0.5603417,0.4889781,-0.0713636
22,0.3158393,0.23331818,"('untrustworthy', 'trustworthy')",-0.57283545,-0.63952196,-0.1284981,-0.2031019,-0.0746038
23,1.8837504,1.8523341,"('insincere', 'sincere')",5.4620886,5.464222,3.6729195,3.658278,-0.0146415
24,1.2924585,1.2368184,"('dishonest', 'honest')",0.91248435,0.8929664,1.1024715,1.0648924,-0.0375791
25,-0.021595158,0.004497137,"('egoistic', 'altruistic')",0.3614683,0.31677285,0.1699366,0.160635,-0.0093016
26,0.1558234,-0.07937044,"('hardhearted', 'benevolent')",1.4858884,1.3440307,0.8208559,0.6323302,-0.1885257
27,0.77587765,0.76934713,"('hardhearted', 'softhearted')",0.4535577,0.4511789,0.6147177,0.610263,-0.0044547
28,0.6653798,0.623165,"('disloyal', 'loyal')",1.0695813,0.9967655,0.8674805,0.8099653,-0.0575152
29,0.47158295,0.5299699,"('unfair', 'fair')",-0.48868003,-0.5958305,-0.0085485,-0.0329303,-0.0243818
30,1.6442285,1.4774956,"('intolerant', 'tolerant')",1.2597429,1.1732963,1.4519856,1.3253959,-0.1265897
31,-2.0664544,-2.072988,"('evil', 'good')",-1.3316077,-1.3027383,-1.6990311,-1.6878631,0.011168
32,0.5527941,0.48371157,"('unkind', 'kind')",0.74325144,0.5561528,0.6480228,0.5199322,-0.1280906
33,0.80812997,0.738434,"('wrong', 'right')",-0.5288425,-0.51360774,0.1396437,0.1124131,-0.0272306
34,0.21266901,0.11159144,"('mean', 'honorable')",5.3898616,5.5513043,2.8012652,2.8314478,0.0301826
35,-2.2567956,-2.258304,"('corrupt', 'incorrupt')",-1.028767,-1.027351,-1.6427813,-1.6428275,-4.62e-05
36,-2.6612842,-2.637016,"('hostile', 'amicable')",-0.90853715,-0.8718848,-1.7849107,-1.7544504,0.0304603
37,0.12502393,0.055067897,"('fake', 'genuine')",-0.029682696,-0.018186998,0.0476706,0.0184404,-0.0292302
38,0.7150209,0.70984095,"('untruthful', 'truthful')",0.15355968,0.2914177,0.4342903,0.5006293,0.066339
39,1.7740475,1.7401881,"('exploitative', 'cooperative')",0.26182815,0.2647435,1.0179378,1.0024658,-0.015472
40,0.42511436,0.46318057,"('stingy', 'generous')",-1.6768438,-1.7050787,-0.6258647,-0.6209491,0.0049156
41,0.2527663,0.10589878,"('unforgiving', 'forgiving')",0.10295176,-0.0042039026,0.177859,0.0508474,-0.1270116
42,0.9318674,0.97392195,"('unreliable', 'reliable')",-2.4610612,-2.5301116,-0.7645969,-0.7780948,-0.0134979
