,institute_male,institute_female,tuple,average_male,average_female,female-male
0,0.38231733,0.15483318,"('unsociable', 'sociable')",0.3823173,0.1548332,-0.2274841
1,1.8529915,1.842245,"('unfriendly', 'friendly')",1.8529915,1.842245,-0.0107465
2,0.7269419,0.74677277,"('unlikable', 'likable')",0.7269419,0.7467728,0.0198309
3,0.2792354,0.26866344,"('repellent', 'pleasant')",0.2792354,0.2686634,-0.010572
4,-6.188529,-6.407619,"('disliked', 'liked')",-6.188529,-6.407619,-0.21909
5,-0.664987,-0.6021602,"('distant', 'outgoing')",-0.664987,-0.6021602,0.0628268
6,0.009570181,0.07592584,"('distant', 'open')",0.0095702,0.0759258,0.0663556
7,1.2385827,1.254952,"('insensitive', 'sensitive')",1.2385827,1.254952,0.0163693
8,0.7950214,0.75438756,"('unaffectionate', 'affectionate')",0.7950214,0.7543876,-0.0406338
9,1.3941134,1.3597666,"('unaffectionate', 'caring')",1.3941134,1.3597666,-0.0343468
10,0.5785403,0.560043,"('unsympathetic', 'sympathetic')",0.5785403,0.560043,-0.0184973
11,1.8913335,1.8727968,"('unhelpful', 'helpful')",1.8913335,1.8727968,-0.0185367
12,-1.5949992,-1.6526761,"('unsupportive', 'supportive')",-1.5949992,-1.6526761,-0.0576769
13,-1.0232979,-1.0815563,"('impolite', 'polite')",-1.0232979,-1.0815563,-0.0582584
14,0.34299064,0.2969916,"('antisocial', 'social')",0.3429906,0.2969916,-0.045999
15,0.58001125,0.43808648,"('boring', 'funny')",0.5800112,0.4380865,-0.1419247
16,0.0035274923,-0.029239606,"('unpopular', 'popular')",0.0035275,-0.0292396,-0.0327671
17,-0.26245704,-0.25289732,"('nasty', 'nice')",-0.262457,-0.2528973,0.0095597
18,-0.32834572,-0.3249569,"('disagreeable', 'welcoming')",-0.3283457,-0.3249569,0.0033888
19,-0.4138302,-0.37409255,"('inhospitable', 'hospitable')",-0.4138302,-0.3740925,0.0397377
20,1.7185532,1.7292336,"('rough', 'thoughtful')",1.7185532,1.7292336,0.0106804
21,0.14683333,0.12301195,"('immoral', 'moral')",0.1468333,0.1230119,-0.0238214
22,-0.29791862,-0.26769677,"('untrustworthy', 'trustworthy')",-0.2979186,-0.2676968,0.0302218
23,6.082369,6.1897607,"('insincere', 'sincere')",6.0823689,6.1897607,0.1073918
24,1.1959888,1.2201854,"('dishonest', 'honest')",1.1959888,1.2201854,0.0241966
25,1.2829003,1.2920551,"('egoistic', 'altruistic')",1.2829003,1.2920551,0.0091548
26,2.593718,2.5683799,"('hardhearted', 'benevolent')",2.5937181,2.5683799,-0.0253382
27,1.548207,1.4795167,"('hardhearted', 'softhearted')",1.548207,1.4795167,-0.0686903
28,1.092152,1.0903661,"('disloyal', 'loyal')",1.092152,1.0903661,-0.0017859
29,-0.83495504,-0.9415587,"('unfair', 'fair')",-0.834955,-0.9415587,-0.1066037
30,1.010044,0.9316311,"('intolerant', 'tolerant')",1.010044,0.9316311,-0.0784129
31,-0.88350785,-0.7701202,"('evil', 'good')",-0.8835078,-0.7701202,0.1133876
32,0.94579124,0.842744,"('unkind', 'kind')",0.9457912,0.842744,-0.1030472
33,-0.531784,-0.6064511,"('wrong', 'right')",-0.531784,-0.6064511,-0.0746671
34,5.380445,5.5859666,"('mean', 'honorable')",5.380445,5.5859666,0.2055216
35,-0.4630974,-0.50104064,"('corrupt', 'incorrupt')",-0.4630974,-0.5010406,-0.0379432
36,-0.056898545,-0.11054905,"('hostile', 'amicable')",-0.0568985,-0.110549,-0.0536505
37,0.22133763,0.24033484,"('fake', 'genuine')",0.2213376,0.2403348,0.0189972
38,0.028914256,0.097093485,"('untruthful', 'truthful')",0.0289143,0.0970935,0.0681792
