,huntington_male,huntington_female,tuple,ingalls_male,ingalls_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,female-male
69,-0.6798787,-0.7933109,"('lazy', 'industrious')",1.9690576,1.9962406,1.1377172,1.1132655,-0.3562048,-0.35841566,0.5176728,0.4894449,-0.0282279
70,1.2142286,1.3201215,"('lethargic', 'energetic')",-0.6083416,-0.5723146,0.16744189,0.1942147,0.50979185,0.6079028,0.3207802,0.3874811,0.0667009
71,1.0743688,1.0869333,"('diffident', 'self-confident')",0.18308632,0.09822645,-0.5563483,-0.49225032,0.2904514,0.2520999,0.2478895,0.2362523,-0.0116372
72,0.8547243,0.86986303,"('unambitious', 'ambitious')",-1.3670117,-1.3696151,-0.36863482,-0.3749425,-0.9754229,-0.9701585,-0.4640863,-0.4612133,0.002873
73,0.1317366,0.0850786,"('helpless', 'self-reliant')",1.0637674,1.0501035,-0.408496,-0.43994403,-3.4950101,-3.4939926,-0.6770005,-0.6996886,-0.0226881
74,0.54680216,0.6439468,"('undedicated', 'dedicated')",-0.77870435,-0.7896787,-0.54409266,-0.57630694,-0.08443137,-0.106684275,-0.2151065,-0.2071808,0.0079257
75,-0.4505789,-0.38492975,"('meek', 'impulsive')",0.8648039,0.8757288,-0.87594754,-0.88975805,-0.2679606,-0.16077675,-0.1824208,-0.1399339,0.0424869
76,0.518001,0.65237886,"('anxious', 'daring')",-0.37183908,-0.31777707,0.6202512,0.6966842,0.06356327,0.18932173,0.2074941,0.3051519,0.0976578
77,0.14919224,0.283199,"('unmotivated', 'motivated')",-1.4502861,-1.4947692,-0.57827353,-0.53732055,-0.98823375,-0.8877009,-0.7169003,-0.659148,0.0577523
78,-0.67248714,-0.55529004,"('nonresilient', 'resilient')",-0.8777661,-0.9077575,-1.0930115,-1.1232743,0.26219672,0.3130297,-0.595267,-0.568323,0.026944
79,-1.5489949,-1.6472121,"('wavering', 'unwavering')",0.5437505,0.48791543,-1.3629347,-1.4327024,-0.016475923,-0.017000878,-0.5961637,-0.65225,-0.0560863
80,-0.23342511,-0.25469053,"('dominated', 'dominating')",-0.033859864,5.466491e-05,0.40961626,0.4537817,-1.5812958,-1.5274963,-0.3597412,-0.3320876,0.0276536
81,1.2185574,1.2266514,"('submissive', 'aggressive')",-0.49137157,-0.5179118,0.92063284,0.9736343,-0.92925566,-0.83918715,0.1796407,0.2107967,0.031156
82,-0.90371895,-0.75448036,"('poor', 'rich')",-0.17683433,-0.19718117,0.34768298,0.31833997,5.7472453,5.763357,1.2535937,1.2825089,0.0289152
83,0.107503235,0.1497953,"('powerless', 'powerful')",-0.31768003,-0.28313386,-1.156463,-1.0837235,-1.0719123,-1.0981832,-0.609638,-0.5788113,0.0308267
84,-0.3787347,-0.4724934,"('inferior', 'superior')",-0.24713443,-0.30022225,0.0034353286,-0.016109329,0.95593727,0.9718717,0.0833759,0.0457617,-0.0376142
85,-0.07364966,-0.11157011,"('insignificant', 'prestigious')",0.32884237,0.29268983,-1.9449096,-2.0390208,0.7880038,0.752022,-0.2254283,-0.2764698,-0.0510415
86,-0.27370948,-0.25629783,"('uninfluential', 'influential')",-2.0900064,-2.1790075,-1.3103446,-1.3521159,-0.541099,-0.6413492,-1.0537899,-1.1071926,-0.0534027
87,0.45798627,0.40894032,"('unsuccessful', 'successful')",0.2811444,0.22209208,0.043781668,0.026421241,0.32028258,0.3662185,0.2757987,0.255918,-0.0198807
88,-0.32572553,-0.33610478,"('low', 'eminent')",-0.51038605,-0.5679862,-0.42575324,-0.5366653,0.041957267,0.025778502,-0.3049769,-0.3537444,-0.0487675
