,trophy_male,trophy_female,tuple,average_male,average_female,female-male
0,0.9511452,0.65739095,"('unsociable', 'sociable')",0.9511452,0.657391,-0.2937542
1,0.56335735,0.48009822,"('unfriendly', 'friendly')",0.5633574,0.4800982,-0.0832592
2,0.33502522,0.3129253,"('unlikable', 'likable')",0.3350252,0.3129253,-0.0220999
3,0.41449076,0.4697,"('repellent', 'pleasant')",0.4144908,0.4697,0.0552092
4,-6.4653845,-6.760862,"('disliked', 'liked')",-6.4653845,-6.7608619,-0.2954774
5,-1.9458681,-1.8385772,"('distant', 'outgoing')",-1.9458681,-1.8385772,0.1072909
6,-1.4026821,-1.3328722,"('distant', 'open')",-1.4026821,-1.3328722,0.0698099
7,1.8642344,1.7762002,"('insensitive', 'sensitive')",1.8642344,1.7762002,-0.0880342
8,0.5706297,0.6119851,"('unaffectionate', 'affectionate')",0.5706297,0.6119851,0.0413554
9,1.1905057,1.2026902,"('unaffectionate', 'caring')",1.1905057,1.2026902,0.0121845
10,1.5680262,1.5049757,"('unsympathetic', 'sympathetic')",1.5680262,1.5049757,-0.0630505
11,2.1431715,2.0967722,"('unhelpful', 'helpful')",2.1431715,2.0967722,-0.0463993
12,-1.1672546,-1.2664875,"('unsupportive', 'supportive')",-1.1672546,-1.2664875,-0.0992329
13,0.40636355,0.19435783,"('impolite', 'polite')",0.4063635,0.1943578,-0.2120057
14,0.69598305,0.5819413,"('antisocial', 'social')",0.6959831,0.5819413,-0.1140418
15,0.9470514,0.77378774,"('boring', 'funny')",0.9470514,0.7737877,-0.1732637
16,-0.44559878,-0.4871086,"('unpopular', 'popular')",-0.4455988,-0.4871086,-0.0415098
17,-1.2261107,-1.221175,"('nasty', 'nice')",-1.2261107,-1.221175,0.0049357
18,-0.9624664,-1.0263686,"('disagreeable', 'welcoming')",-0.9624664,-1.0263686,-0.0639022
19,-0.87107617,-0.90791357,"('inhospitable', 'hospitable')",-0.8710762,-0.9079136,-0.0368374
20,0.70961237,0.7259999,"('rough', 'thoughtful')",0.7096124,0.7259999,0.0163875
21,0.7780067,0.6791454,"('immoral', 'moral')",0.7780067,0.6791454,-0.0988613
22,-0.04400219,-0.21145761,"('untrustworthy', 'trustworthy')",-0.0440022,-0.2114576,-0.1674554
23,5.8083878,5.8533125,"('insincere', 'sincere')",5.8083878,5.8533125,0.0449247
24,0.97235084,0.90806293,"('dishonest', 'honest')",0.9723508,0.9080629,-0.0642879
25,0.38449028,0.38655236,"('egoistic', 'altruistic')",0.3844903,0.3865524,0.0020621
26,1.6081921,1.4704119,"('hardhearted', 'benevolent')",1.6081921,1.4704119,-0.1377802
27,0.8630732,0.7785797,"('hardhearted', 'softhearted')",0.8630732,0.7785797,-0.0844935
28,1.2304627,1.1621237,"('disloyal', 'loyal')",1.2304627,1.1621237,-0.068339
29,-1.3309665,-1.355567,"('unfair', 'fair')",-1.3309665,-1.355567,-0.0246005
30,1.4877678,1.3380662,"('intolerant', 'tolerant')",1.4877678,1.3380662,-0.1497016
31,-2.4418254,-2.3600433,"('evil', 'good')",-2.4418254,-2.3600433,0.0817821
32,1.0647353,0.92275906,"('unkind', 'kind')",1.0647353,0.9227591,-0.1419762
33,-0.65641344,-0.7338983,"('wrong', 'right')",-0.6564134,-0.7338983,-0.0774849
34,4.148536,4.280337,"('mean', 'honorable')",4.1485362,4.2803369,0.1318007
35,-1.4235185,-1.4681834,"('corrupt', 'incorrupt')",-1.4235185,-1.4681834,-0.0446649
36,-1.5666192,-1.6523769,"('hostile', 'amicable')",-1.5666192,-1.6523769,-0.0857577
37,1.0096955,0.98918414,"('fake', 'genuine')",1.0096955,0.9891841,-0.0205114
38,-0.09126958,-0.16822508,"('untruthful', 'truthful')",-0.0912696,-0.1682251,-0.0769555
39,0.48451042,0.50745517,"('exploitative', 'cooperative')",0.4845104,0.5074552,0.0229448
40,-2.0304983,-2.130079,"('stingy', 'generous')",-2.0304983,-2.130079,-0.0995807
41,0.21119899,0.036131293,"('unforgiving', 'forgiving')",0.211199,0.0361313,-0.1750677
42,-1.9748579,-1.9922758,"('unreliable', 'reliable')",-1.9748579,-1.9922758,-0.0174179
43,1.3383498,1.2921109,"('irresponsible', 'responsible')",1.3383498,1.2921109,-0.0462389
44,-1.8772064,-1.7397245,"('prejudiced', 'unprejudiced')",-1.8772064,-1.7397245,0.1374819
45,0.77935994,0.59619737,"('incompetent', 'competent')",0.7793599,0.5961974,-0.1831625
46,0.72898316,0.56763816,"('uncompetitive', 'competitive')",0.7289832,0.5676382,-0.161345
