,fmc_male,fmc_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0433928,-1.1728749,"('unsociable', 'sociable')",-0.27797863,-0.3798866,-0.34358928,-0.4515168,-0.5549869,-0.6680928,-0.1131059
1,-2.01252,-2.1551647,"('unfriendly', 'friendly')",-0.2177968,-0.41520065,1.7662371,1.6500604,-0.1546932,-0.3067683,-0.1520751
2,0.59944195,0.65904874,"('unlikable', 'likable')",0.46955287,0.49258497,0.6543635,0.7538887,0.5744528,0.6351742,0.0607214
3,0.056680262,0.21304294,"('repellent', 'pleasant')",0.18681668,0.2709624,-0.047952197,-0.015194271,0.0651816,0.1562704,0.0910888
4,-0.39373466,-0.40905383,"('disliked', 'liked')",-0.42103818,-0.508782,-5.6218944,-5.7476306,-2.1455558,-2.2218221,-0.0762663
5,-1.6728243,-1.6305618,"('distant', 'outgoing')",-1.0631686,-1.0437814,-0.22047868,-0.20482238,-0.9854906,-0.9597218,0.0257688
6,-2.2804022,-2.247839,"('distant', 'open')",-1.395231,-1.4008044,0.46400765,0.41772425,-1.0705419,-1.0769731,-0.0064312
7,0.113050535,0.05655693,"('insensitive', 'sensitive')",0.32823744,0.38412687,0.35480013,0.36169767,0.2653627,0.2674605,0.0020978
8,-1.6192967,-1.7145971,"('unaffectionate', 'affectionate')",-0.360518,-0.4349929,0.68651414,0.6037287,-0.4311002,-0.5152871,-0.0841869
9,-1.5475465,-1.6748898,"('unaffectionate', 'caring')",-0.20272812,-0.30031827,1.0073459,0.95887536,-0.2476429,-0.3387775,-0.0911346
10,-0.62385625,-0.67906123,"('unsympathetic', 'sympathetic')",-0.619637,-0.5904513,-0.8209709,-0.8367107,-0.6881547,-0.7020744,-0.0139197
11,0.06018871,0.037888538,"('unhelpful', 'helpful')",0.92934704,1.0006783,1.4023384,1.4472102,0.7972914,0.8285923,0.0313009
12,-0.3754666,-0.31074408,"('unsupportive', 'supportive')",0.12971497,0.23336312,-2.0790086,-2.062076,-0.7749201,-0.7131523,0.0617678
13,0.17087808,0.14517514,"('impolite', 'polite')",-0.25817785,-0.16594225,-0.6666718,-0.6695167,-0.2513239,-0.2300946,0.0212293
14,0.94213015,0.90162283,"('antisocial', 'social')",0.97547114,1.0173407,-0.53109753,-0.5286054,0.4621679,0.4634527,0.0012848
15,0.456358,0.34449995,"('boring', 'funny')",0.30309737,0.23113687,0.93913823,0.91679597,0.5661979,0.4974776,-0.0687203
16,-0.7262886,-0.69891816,"('unpopular', 'popular')",-0.1664409,-0.20013344,0.80818254,0.7959862,-0.0281823,-0.0343551,-0.0061728
17,-0.43437898,-0.37919718,"('nasty', 'nice')",-0.83033246,-0.7645568,-0.33932745,-0.29329187,-0.5346796,-0.4790153,0.0556643
18,-0.64702094,-0.66961837,"('disagreeable', 'welcoming')",0.047710553,0.08302398,-0.30057484,-0.33801198,-0.2999617,-0.3082021,-0.0082404
19,-1.2135134,-1.1415416,"('inhospitable', 'hospitable')",-0.996852,-1.0376775,-0.14524254,-0.040921383,-0.7852026,-0.7400469,0.0451557
20,0.56990355,0.548315,"('rough', 'thoughtful')",0.940181,0.97386473,0.8719927,0.8069018,0.7940257,0.7763605,-0.0176652
21,0.7957156,0.7527191,"('immoral', 'moral')",0.65657043,0.64114,-0.8489901,-0.81423426,0.2010986,0.1932083,-0.0078903
22,0.34630176,0.3103838,"('untrustworthy', 'trustworthy')",-0.09709578,-0.14561626,-0.9468613,-0.9701811,-0.2325518,-0.2684712,-0.0359194
23,-0.30403075,-0.3747669,"('insincere', 'sincere')",-0.35598183,-0.34516427,4.903632,4.848878,1.4145398,1.3763156,-0.0382242
24,-0.083561786,-0.15102032,"('dishonest', 'honest')",-1.442304,-1.4448019,0.3049357,0.26491922,-0.4069767,-0.4436344,-0.0366577
25,-1.2013044,-1.269483,"('egoistic', 'altruistic')",0.4672811,0.3775969,1.6735827,1.6242945,0.3131864,0.2441362,-0.0690502
26,-0.78935885,-0.8833258,"('hardhearted', 'benevolent')",0.6837917,0.6819008,1.8523885,1.8323709,0.5822738,0.5436486,-0.0386252
