,otis_male,otis_female,tuple,worldwide_male,worldwide_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.27237448,-0.31807762,"('unsociable', 'sociable')",0.37944385,0.2762974,-0.21974416,-0.36763763,-0.0375583,-0.1364726,-0.0989143
1,0.48632404,0.5698097,"('unfriendly', 'friendly')",-0.0940179,-0.087045,1.4861904,1.4223256,0.6261655,0.6350301,0.0088646
2,0.17863385,0.29218212,"('unlikable', 'likable')",0.80216056,0.8734424,0.65290505,0.7248484,0.5445665,0.6301576,0.0855911
3,-0.9316471,-0.8195418,"('repellent', 'pleasant')",-0.3612218,-0.3018955,0.4343739,0.46940973,-0.286165,-0.2173425,0.0688225
4,0.09226391,0.058996357,"('disliked', 'liked')",0.18633024,0.10053111,-6.43456,-6.520222,-2.0519886,-2.1202316,-0.068243
5,0.9543181,0.967117,"('distant', 'outgoing')",0.06408489,0.03402876,-0.4299552,-0.366086,0.1961493,0.2116866,0.0155373
6,0.5433303,0.6279433,"('distant', 'open')",-0.7236256,-0.727314,-0.54637,-0.48882163,-0.2422218,-0.1960641,0.0461577
7,-0.023658372,-0.01586324,"('insensitive', 'sensitive')",-0.7440057,-0.711211,-0.044108775,-0.07707555,-0.2705909,-0.2680499,0.002541
8,0.4170811,0.46581203,"('unaffectionate', 'affectionate')",-1.4224733,-1.3734106,0.37008503,0.37286946,-0.2117691,-0.178243,0.0335261
9,0.84135175,0.86816573,"('unaffectionate', 'caring')",-0.69293237,-0.6510164,0.9054853,0.9434719,0.3513016,0.3868737,0.0355721
10,-0.5348129,-0.54132783,"('unsympathetic', 'sympathetic')",-1.0804013,-1.025438,-0.6010336,-0.7100999,-0.7387493,-0.7589552,-0.0202059
11,-0.5663626,-0.57678217,"('unhelpful', 'helpful')",0.09151515,0.11937215,1.6323926,1.6051593,0.3858484,0.3825831,-0.0032653
12,0.2916094,0.4023272,"('unsupportive', 'supportive')",0.983913,1.0714743,-1.89171,-1.873752,-0.2053959,-0.1333168,0.0720791
13,0.17465337,0.111495435,"('impolite', 'polite')",0.22615214,0.19389191,-0.7288596,-0.8211254,-0.1093514,-0.1719127,-0.0625613
14,-0.87139654,-0.9074617,"('antisocial', 'social')",0.8635968,0.858798,-0.40746027,-0.50384444,-0.13842,-0.1841694,-0.0457494
15,0.48804724,0.394364,"('boring', 'funny')",-0.35846063,-0.4307218,-0.21008296,-0.16429058,-0.0268321,-0.0668828,-0.0400507
16,-0.44281533,-0.35978016,"('unpopular', 'popular')",-0.3422498,-0.3428338,0.20201793,0.15953156,-0.1943491,-0.1810275,0.0133216
17,0.85767114,0.89025927,"('nasty', 'nice')",-1.4525434,-1.3584516,-0.42799705,-0.34597236,-0.3409564,-0.2713882,0.0695682
18,0.6188035,0.6644998,"('disagreeable', 'welcoming')",0.28983772,0.38170278,-0.47550398,-0.52337956,0.1443791,0.1742744,0.0298953
19,-0.016036598,0.049087584,"('inhospitable', 'hospitable')",-0.3436037,-0.3657549,-0.7176808,-0.66119415,-0.359107,-0.3259538,0.0331532
20,0.42803398,0.42147794,"('rough', 'thoughtful')",0.15421939,0.17688754,0.69443196,0.6872401,0.4255617,0.4285352,0.0029735
21,-0.39766726,-0.3709312,"('immoral', 'moral')",0.4982015,0.5382678,-0.9697798,-0.97784036,-0.2897485,-0.2701679,0.0195806
22,-1.2221373,-1.2461164,"('untrustworthy', 'trustworthy')",0.4013721,0.35656863,-1.0385334,-1.0941528,-0.6197662,-0.6612335,-0.0414673
23,-0.30582187,-0.28350687,"('insincere', 'sincere')",0.5606426,0.55129325,5.535272,5.429867,1.930031,1.8992178,-0.0308132
24,0.77074915,0.7405296,"('dishonest', 'honest')",0.550518,0.61603755,0.6484215,0.61996436,0.6565629,0.6588438,0.0022809
25,1.0786345,1.092406,"('egoistic', 'altruistic')",0.06354308,0.12957159,1.3800194,1.454201,0.8407323,0.8920595,0.0513272
26,2.3203754,2.3035817,"('hardhearted', 'benevolent')",1.2319318,1.2277406,1.8313851,1.7858936,1.7945641,1.7724053,-0.0221588
27,1.0880531,1.1204717,"('hardhearted', 'softhearted')",-0.5095218,-0.4457234,0.87742877,0.8637119,0.48532,0.5128201,0.0275001
28,0.17478676,0.08355592,"('disloyal', 'loyal')",-0.057202525,-0.17957968,0.898477,0.78372973,0.3386871,0.2292353,-0.1094518
29,-1.7446674,-1.7552655,"('unfair', 'fair')",-0.230047,-0.29122168,-0.4243387,-0.50196433,-0.7996844,-0.8494838,-0.0497994
30,-0.04991143,-0.018063702,"('intolerant', 'tolerant')",0.040644556,0.08334852,0.5885245,0.50296086,0.1930859,0.1894152,-0.0036707
31,0.050940946,0.2384219,"('evil', 'good')",-0.49205342,-0.42448434,-0.79302883,-0.74566454,-0.4113804,-0.3105757,0.1008047
32,0.13974032,0.1454674,"('unkind', 'kind')",0.5103822,0.4827745,0.7168549,0.5806787,0.4556592,0.4029735,-0.0526857
33,0.6939824,0.6321225,"('wrong', 'right')",0.2715959,0.26914904,-0.39065704,-0.35285658,0.1916404,0.182805,-0.0088354
34,-0.053398773,0.11286056,"('mean', 'honorable')",0.3390541,0.43651834,5.191537,5.295363,1.8257308,1.9482473,0.1225165
35,1.5433264,1.4933844,"('corrupt', 'incorrupt')",-0.029390763,-0.17448586,-0.097561166,-0.09530316,0.4721248,0.4078651,-0.0642597
