,take_male,take_female,tuple,two_male,two_female,interactive_male,interactive_female,softwr_male,softwr_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.9826813,-1.0059088,"('unsociable', 'sociable')",-0.37150648,-0.35514683,-0.3078141,-0.37116832,0.721824,0.6942884,-0.09098294,-0.26575196,-0.2062322,-0.2607375,-0.0545053
1,-0.9357002,-0.8007018,"('unfriendly', 'friendly')",-2.1765285,-2.340417,-0.04014061,-0.20095089,-0.288022,-0.22084214,2.1518319,1.9688176,-0.2577119,-0.3188188,-0.0611069
2,0.7348387,0.8332815,"('unlikable', 'likable')",-0.40561765,-0.2732985,-0.28784984,-0.22791335,-0.03217013,0.06380196,0.17600444,0.29498914,0.0370411,0.1381721,0.101131
3,-0.8203155,-0.6496453,"('repellent', 'pleasant')",-0.17430615,-0.04949461,-1.1503359,-1.0619111,0.31438985,0.41063377,-0.16992998,-0.14598618,-0.4000996,-0.2992807,0.1008189
4,-0.7226978,-0.77920574,"('disliked', 'liked')",-0.5507683,-0.5897098,-0.80192256,-0.8328331,-2.1927497,-2.128109,-5.951675,-6.089275,-2.0439627,-2.0838264,-0.0398637
5,-0.9707099,-0.97933,"('distant', 'outgoing')",-0.9068579,-0.96316445,0.09582282,0.11242467,-1.397775,-1.2675757,-0.14197896,-0.10091462,-0.6642998,-0.639712,0.0245878
6,-0.8942598,-0.81312037,"('distant', 'open')",-0.7884905,-0.79711103,-0.06358825,-0.034641165,-1.1802146,-1.0230184,0.43837857,0.4481897,-0.4976349,-0.4439403,0.0536946
7,0.55280447,0.6774372,"('insensitive', 'sensitive')",-0.4303684,-0.34245664,-0.24022806,-0.14633155,0.99592453,1.0754433,0.25250503,0.26878187,0.2261275,0.3065748,0.0804473
8,-0.16779286,-0.10679318,"('unaffectionate', 'affectionate')",-1.3029735,-1.342014,1.0283821,0.96287435,-0.8281684,-0.838873,0.83697987,0.7653936,-0.0867146,-0.1118824,-0.0251678
9,-0.8260552,-0.71501935,"('unaffectionate', 'caring')",-1.7632276,-1.7572458,0.3858397,0.34003806,-0.046167165,-0.029578663,1.2041873,1.1452955,-0.2090846,-0.2033021,0.0057825
10,-0.31302595,-0.09398725,"('unsympathetic', 'sympathetic')",-0.18390456,0.061907217,-1.1159059,-0.9412328,0.3337665,0.44101238,-0.83694935,-0.8614658,-0.4232038,-0.2787533,0.1444505
11,0.41731238,0.49550974,"('unhelpful', 'helpful')",0.6645869,0.72921234,1.244993,1.362872,0.5841487,0.6307102,1.5531515,1.570996,0.8928385,0.95786,0.0650215
12,0.222132,0.45224017,"('unsupportive', 'supportive')",-0.6704303,-0.4577399,0.60774004,0.73733723,-0.2046862,-0.044099644,-1.9096175,-1.9351655,-0.3909724,-0.2494855,0.1414869
13,0.47128403,0.4739321,"('impolite', 'polite')",0.60744613,0.6224612,0.025117295,0.059689946,1.2604332,1.2645403,-0.71356034,-0.7027548,0.3301441,0.3435738,0.0134297
14,-0.35317367,-0.3734107,"('antisocial', 'social')",0.18746415,0.26039594,-0.10423303,-0.078274466,1.1405445,1.1756109,-1.0134174,-0.99804676,-0.0285631,-0.002745,0.0258181
15,0.2667796,0.15489306,"('boring', 'funny')",0.407424,0.30178547,1.3565344,1.3471326,0.64189714,0.5627676,0.9946756,0.9784024,0.7334621,0.6689962,-0.0644659
