,regulator_male,regulator_female,tuple,average_male,average_female,female-male
0,0.6713279,0.6292053,"('unsociable', 'sociable')",0.6713279,0.6292053,-0.0421226
1,0.5307862,0.37388924,"('unfriendly', 'friendly')",0.5307862,0.3738892,-0.156897
2,0.21885301,0.2573764,"('unlikable', 'likable')",0.218853,0.2573764,0.0385234
3,1.0305252,1.1004949,"('repellent', 'pleasant')",1.0305252,1.1004949,0.0699697
4,-6.94167,-7.0119267,"('disliked', 'liked')",-6.9416699,-7.0119267,-0.0702568
5,-1.396417,-1.4816756,"('distant', 'outgoing')",-1.396417,-1.4816756,-0.0852586
6,-0.76933664,-0.88997823,"('distant', 'open')",-0.7693366,-0.8899782,-0.1206416
7,1.8604747,1.9588964,"('insensitive', 'sensitive')",1.8604747,1.9588964,0.0984217
8,0.3875831,0.16449593,"('unaffectionate', 'affectionate')",0.3875831,0.1644959,-0.2230872
9,1.3218215,1.1933948,"('unaffectionate', 'caring')",1.3218215,1.1933948,-0.1284267
10,1.3453935,1.4214748,"('unsympathetic', 'sympathetic')",1.3453935,1.4214748,0.0760813
11,1.9595003,2.0728486,"('unhelpful', 'helpful')",1.9595003,2.0728486,0.1133483
12,-0.9661926,-0.94212717,"('unsupportive', 'supportive')",-0.9661926,-0.9421272,0.0240654
13,0.20253381,0.28678143,"('impolite', 'polite')",0.2025338,0.2867814,0.0842476
14,1.000958,1.0844857,"('antisocial', 'social')",1.000958,1.0844857,0.0835277
15,-0.40005383,-0.54037315,"('boring', 'funny')",-0.4000538,-0.5403731,-0.1403193
16,-0.49318606,-0.534538,"('unpopular', 'popular')",-0.4931861,-0.534538,-0.0413519
17,-0.27152276,-0.29580045,"('nasty', 'nice')",-0.2715228,-0.2958004,-0.0242776
18,-1.0964243,-1.1921948,"('disagreeable', 'welcoming')",-1.0964243,-1.1921948,-0.0957705
19,-1.2705818,-1.3008374,"('inhospitable', 'hospitable')",-1.2705818,-1.3008374,-0.0302556
20,0.77610564,0.7587891,"('rough', 'thoughtful')",0.7761056,0.7587891,-0.0173165
21,0.584496,0.759551,"('immoral', 'moral')",0.584496,0.759551,0.175055
22,0.38439706,0.41011304,"('untrustworthy', 'trustworthy')",0.3843971,0.410113,0.0257159
23,6.060837,6.095947,"('insincere', 'sincere')",6.0608368,6.0959468,0.03511
24,1.1715294,1.0929205,"('dishonest', 'honest')",1.1715294,1.0929205,-0.0786089
25,-0.19518784,-0.37335786,"('egoistic', 'altruistic')",-0.1951878,-0.3733579,-0.1781701
26,1.8685578,1.7847383,"('hardhearted', 'benevolent')",1.8685578,1.7847383,-0.0838195
27,0.82946837,0.5237522,"('hardhearted', 'softhearted')",0.8294684,0.5237522,-0.3057162
28,1.4023505,1.4631063,"('disloyal', 'loyal')",1.4023505,1.4631063,0.0607558
29,-0.25199527,-0.42359096,"('unfair', 'fair')",-0.2519953,-0.423591,-0.1715957
30,1.2208942,1.3101875,"('intolerant', 'tolerant')",1.2208942,1.3101875,0.0892933
31,-2.0862122,-2.230205,"('evil', 'good')",-2.0862122,-2.2302051,-0.1439929
32,1.7044665,1.6036091,"('unkind', 'kind')",1.7044665,1.6036091,-0.1008574
33,-0.41284025,-0.4916476,"('wrong', 'right')",-0.4128402,-0.4916476,-0.0788074
34,4.4330077,4.55573,"('mean', 'honorable')",4.4330077,4.5557299,0.1227222
35,-1.7685901,-2.0360258,"('corrupt', 'incorrupt')",-1.7685901,-2.0360258,-0.2674357
36,-0.9780426,-1.1893902,"('hostile', 'amicable')",-0.9780426,-1.1893902,-0.2113476
