,bank_male,bank_female,tuple,average_male,average_female,female-male
0,0.7054882,0.6153716,"('unsociable', 'sociable')",0.7054882,0.6153716,-0.0901166
1,2.1967351,2.0640604,"('unfriendly', 'friendly')",2.1967351,2.0640604,-0.1326747
2,1.0702164,1.2007629,"('unlikable', 'likable')",1.0702164,1.2007629,0.1305465
3,0.12795529,0.30250362,"('repellent', 'pleasant')",0.1279553,0.3025036,0.1745483
4,-6.5203543,-6.7033143,"('disliked', 'liked')",-6.5203543,-6.7033143,-0.18296
5,-0.1304216,-0.1213291,"('distant', 'outgoing')",-0.1304216,-0.1213291,0.0090925
6,0.12441174,0.13165855,"('distant', 'open')",0.1244117,0.1316586,0.0072469
7,0.78878784,0.8648925,"('insensitive', 'sensitive')",0.7887878,0.8648925,0.0761047
8,1.4504015,1.2790699,"('unaffectionate', 'affectionate')",1.4504015,1.2790699,-0.1713316
9,2.2398632,2.1664815,"('unaffectionate', 'caring')",2.2398632,2.1664815,-0.0733817
10,0.09051528,0.2081816,"('unsympathetic', 'sympathetic')",0.0905153,0.2081816,0.1176663
11,2.48019,2.5794675,"('unhelpful', 'helpful')",2.48019,2.5794675,0.0992775
12,-1.0299103,-1.102256,"('unsupportive', 'supportive')",-1.0299103,-1.1022559,-0.0723456
13,0.2704699,0.41986564,"('impolite', 'polite')",0.2704699,0.4198656,0.1493957
14,0.45641273,0.49839392,"('antisocial', 'social')",0.4564127,0.4983939,0.0419812
15,0.8236406,0.70942324,"('boring', 'funny')",0.8236406,0.7094232,-0.1142174
16,0.6310671,0.57855225,"('unpopular', 'popular')",0.6310671,0.5785522,-0.0525149
17,-0.1114292,-0.08179871,"('nasty', 'nice')",-0.1114292,-0.0817987,0.0296305
18,-0.55500066,-0.5957603,"('disagreeable', 'welcoming')",-0.5550007,-0.5957603,-0.0407596
19,0.028794864,-0.03969731,"('inhospitable', 'hospitable')",0.0287949,-0.0396973,-0.0684922
20,0.4610127,0.5197246,"('rough', 'thoughtful')",0.4610127,0.5197246,0.0587119
21,0.02273048,0.19195928,"('immoral', 'moral')",0.0227305,0.1919593,0.1692288
22,-0.70963836,-0.5782881,"('untrustworthy', 'trustworthy')",-0.7096384,-0.5782881,0.1313503
23,6.9549565,7.1779284,"('insincere', 'sincere')",6.9549565,7.1779284,0.2229719
24,1.4294003,1.5318723,"('dishonest', 'honest')",1.4294003,1.5318723,0.102472
25,1.1070595,1.0149751,"('egoistic', 'altruistic')",1.1070595,1.0149751,-0.0920844
26,1.8499761,1.6976255,"('hardhearted', 'benevolent')",1.8499761,1.6976255,-0.1523506
