,destroyer_male,destroyer_female,tuple,average_male,average_female,female-male
0,0.3365111,0.29878134,"('unsociable', 'sociable')",0.3365111,0.2987813,-0.0377298
1,1.501009,1.6063764,"('unfriendly', 'friendly')",1.501009,1.6063764,0.1053674
2,0.2743578,0.40718585,"('unlikable', 'likable')",0.2743578,0.4071859,0.1328281
3,0.8281243,0.9984618,"('repellent', 'pleasant')",0.8281243,0.9984618,0.1703375
4,-6.8376594,-6.9192944,"('disliked', 'liked')",-6.8376594,-6.9192944,-0.081635
5,-0.3941328,-0.31129405,"('distant', 'outgoing')",-0.3941328,-0.311294,0.0828388
6,0.09664209,0.21182752,"('distant', 'open')",0.0966421,0.2118275,0.1151854
7,1.4337002,1.5924941,"('insensitive', 'sensitive')",1.4337002,1.5924941,0.1587939
8,1.303117,1.3234726,"('unaffectionate', 'affectionate')",1.303117,1.3234726,0.0203556
9,1.6803721,1.8845276,"('unaffectionate', 'caring')",1.6803721,1.8845276,0.2041555
10,1.3039693,1.389779,"('unsympathetic', 'sympathetic')",1.3039693,1.389779,0.0858097
11,1.8971993,2.0976403,"('unhelpful', 'helpful')",1.8971993,2.0976403,0.200441
12,-1.0109526,-0.8299669,"('unsupportive', 'supportive')",-1.0109526,-0.8299669,0.1809857
13,0.16930011,0.15739979,"('impolite', 'polite')",0.1693001,0.1573998,-0.0119003
14,0.2579312,0.1563627,"('antisocial', 'social')",0.2579312,0.1563627,-0.1015685
15,0.39446208,0.36219433,"('boring', 'funny')",0.3944621,0.3621943,-0.0322678
16,-0.54873335,-0.42784297,"('unpopular', 'popular')",-0.5487334,-0.427843,0.1208904
17,-0.14868395,-0.14101382,"('nasty', 'nice')",-0.148684,-0.1410138,0.0076702
18,-0.20452899,-0.11898835,"('disagreeable', 'welcoming')",-0.204529,-0.1189884,0.0855406
19,-0.44222346,-0.2437626,"('inhospitable', 'hospitable')",-0.4422235,-0.2437626,0.1984609
20,0.8365051,0.668589,"('rough', 'thoughtful')",0.8365051,0.668589,-0.1679161
21,0.04337787,0.25775734,"('immoral', 'moral')",0.0433779,0.2577573,0.2143794
22,-0.34867474,-0.2690705,"('untrustworthy', 'trustworthy')",-0.3486747,-0.2690705,0.0796042
23,6.31886,6.5896945,"('insincere', 'sincere')",6.3188601,6.5896945,0.2708344
24,1.7354766,1.8814138,"('dishonest', 'honest')",1.7354766,1.8814138,0.1459372
25,1.0318677,1.0293117,"('egoistic', 'altruistic')",1.0318677,1.0293117,-0.002556
26,1.0291214,0.7112227,"('hardhearted', 'benevolent')",1.0291214,0.7112227,-0.3178987
27,1.8740696,1.7266426,"('hardhearted', 'softhearted')",1.8740696,1.7266426,-0.147427
28,1.4077175,1.3897091,"('disloyal', 'loyal')",1.4077175,1.3897091,-0.0180084
29,-0.41989547,-0.48822746,"('unfair', 'fair')",-0.4198955,-0.4882275,-0.068332
30,0.8514146,0.8819367,"('intolerant', 'tolerant')",0.8514146,0.8819367,0.0305221
31,-1.2410942,-1.2327452,"('evil', 'good')",-1.2410942,-1.2327452,0.008349
32,1.2782359,1.2265545,"('unkind', 'kind')",1.2782359,1.2265545,-0.0516814
33,-0.065685965,0.004342703,"('wrong', 'right')",-0.065686,0.0043427,0.0700287
34,4.2786207,4.672231,"('mean', 'honorable')",4.2786207,4.6722312,0.3936105
35,-0.87535775,-1.0261357,"('corrupt', 'incorrupt')",-0.8753577,-1.0261357,-0.150778
36,-0.8036234,-0.888309,"('hostile', 'amicable')",-0.8036234,-0.888309,-0.0846856
37,1.4425813,1.458857,"('fake', 'genuine')",1.4425813,1.4588571,0.0162758
38,0.05615429,0.20394361,"('untruthful', 'truthful')",0.0561543,0.2039436,0.1477893
39,0.41524062,0.39133173,"('exploitative', 'cooperative')",0.4152406,0.3913317,-0.0239089
40,-0.850332,-0.82178724,"('stingy', 'generous')",-0.850332,-0.8217872,0.0285448
41,0.4816484,0.304523,"('unforgiving', 'forgiving')",0.4816484,0.304523,-0.1771254
42,-2.1955023,-2.0349674,"('unreliable', 'reliable')",-2.1955023,-2.0349674,0.1605349
43,1.0523031,1.141675,"('irresponsible', 'responsible')",1.0523031,1.141675,0.0893719
44,-1.3020873,-1.5428329,"('prejudiced', 'unprejudiced')",-1.3020873,-1.5428329,-0.2407456
45,0.48364338,0.50614774,"('incompetent', 'competent')",0.4836434,0.5061477,0.0225043
46,-0.7206245,-0.6257497,"('uncompetitive', 'competitive')",-0.7206245,-0.6257497,0.0948748
47,4.5368304,4.6898584,"('stupid', 'smart')",4.5368304,4.6898584,0.153028
48,0.8158712,0.91067266,"('unintelligent', 'intelligent')",0.8158712,0.9106727,0.0948015
49,0.27198684,0.4219609,"('unable', 'able')",0.2719868,0.4219609,0.1499741
50,-0.33599713,-0.22556433,"('clumsy', 'skillful')",-0.3359971,-0.2255643,0.1104328
51,0.817857,0.94858956,"('uneducated', 'educated')",0.817857,0.9485896,0.1307326
52,-0.04010522,-0.070346996,"('irrational', 'rational')",-0.0401052,-0.070347,-0.0302418
53,-0.096109495,-0.044862133,"('uncreative', 'creative')",-0.0961095,-0.0448621,0.0512474
54,1.1056405,1.3494232,"('incapable', 'capable')",1.1056405,1.3494232,0.2437827
55,1.0707021,1.2509344,"('incompetent', 'clever')",1.0707021,1.2509344,0.1802323
56,0.3438579,0.5537862,"('impractical', 'practical')",0.3438579,0.5537862,0.2099283
57,-2.1947124,-2.2269547,"('unimaginative', 'imaginative')",-2.1947124,-2.2269547,-0.0322423
58,0.26747033,0.31770885,"('undiscriminating', 'discriminating')",0.2674703,0.3177088,0.0502385
59,-0.042793494,0.05768069,"('foolish', 'wise')",-0.0427935,0.0576807,0.1004742
60,0.618237,0.73327863,"('inefficient', 'efficient')",0.618237,0.7332786,0.1150416
61,0.2995888,0.19313341,"('illogical', 'logical')",0.2995888,0.1931334,-0.1064554
62,1.0931227,1.3714688,"('incompetent', 'brilliant')",1.0931227,1.3714688,0.2783461
63,0.5158659,0.7398195,"('unperceptive', 'insightful')",0.5158659,0.7398195,0.2239536
64,-5.979975,-5.905134,"('shy', 'confident')",-5.9799752,-5.9051342,0.074841
65,0.07147854,0.35140234,"('insecure', 'secure')",0.0714785,0.3514023,0.2799238
66,-0.21129844,-0.3337716,"('inactive', 'active')",-0.2112984,-0.3337716,-0.1224732
67,-0.38551566,-0.49294007,"('doubtful', 'determined')",-0.3855157,-0.4929401,-0.1074244
68,-0.7224923,-0.43922386,"('dependent', 'independent')",-0.7224923,-0.4392239,0.2832684
69,-1.884437,-1.9405795,"('lazy', 'industrious')",-1.884437,-1.9405795,-0.0561425
70,1.4094553,1.4874748,"('lethargic', 'energetic')",1.4094553,1.4874748,0.0780195
71,0.28001505,0.4328201,"('diffident', 'self-confident')",0.2800151,0.4328201,0.152805
72,1.0560098,1.2773479,"('unambitious', 'ambitious')",1.0560098,1.2773479,0.2213381
73,-2.4729679,-2.2072642,"('helpless', 'self-reliant')",-2.4729679,-2.2072642,0.2657037
