,plunger_male,plunger_female,tuple,average_male,average_female,female-male
0,0.22680618,-0.026466202,"('unsociable', 'sociable')",0.2268062,-0.0264662,-0.2532724
1,-0.3560849,-0.48319617,"('unfriendly', 'friendly')",-0.3560849,-0.4831962,-0.1271113
2,0.16715652,0.17088522,"('unlikable', 'likable')",0.1671565,0.1708852,0.0037287
3,-1.0197505,-0.90268457,"('repellent', 'pleasant')",-1.0197505,-0.9026846,0.1170659
4,-2.6549869,-2.602747,"('disliked', 'liked')",-2.6549869,-2.602747,0.0522399
5,-1.0447907,-0.99363416,"('distant', 'outgoing')",-1.0447907,-0.9936342,0.0511565
6,-1.1571913,-1.1507428,"('distant', 'open')",-1.1571913,-1.1507428,0.0064485
7,0.5723515,0.5291879,"('insensitive', 'sensitive')",0.5723515,0.5291879,-0.0431636
8,-0.06769279,-0.20382223,"('unaffectionate', 'affectionate')",-0.0676928,-0.2038222,-0.1361294
9,0.22808282,0.068693705,"('unaffectionate', 'caring')",0.2280828,0.0686937,-0.1593891
10,0.1274136,-0.06215789,"('unsympathetic', 'sympathetic')",0.1274136,-0.0621579,-0.1895715
11,1.1672101,1.1111296,"('unhelpful', 'helpful')",1.1672101,1.1111296,-0.0560805
12,-0.972724,-0.97895765,"('unsupportive', 'supportive')",-0.972724,-0.9789577,-0.0062337
13,0.33616626,0.15821078,"('impolite', 'polite')",0.3361663,0.1582108,-0.1779555
14,0.9567734,0.7855899,"('antisocial', 'social')",0.9567734,0.7855899,-0.1711835
15,0.99294996,0.7548758,"('boring', 'funny')",0.99295,0.7548758,-0.2380742
16,-0.63877064,-0.7214898,"('unpopular', 'popular')",-0.6387706,-0.7214898,-0.0827192
17,-0.9632967,-0.9219264,"('nasty', 'nice')",-0.9632967,-0.9219264,0.0413703
18,-1.1856216,-1.0898036,"('disagreeable', 'welcoming')",-1.1856216,-1.0898036,0.095818
19,-1.860242,-1.724124,"('inhospitable', 'hospitable')",-1.860242,-1.724124,0.136118
20,-0.17925909,-0.12276149,"('rough', 'thoughtful')",-0.1792591,-0.1227615,0.0564976
21,-0.1671082,-0.15192893,"('immoral', 'moral')",-0.1671082,-0.1519289,0.0151793
22,-0.18613322,-0.2610856,"('untrustworthy', 'trustworthy')",-0.1861332,-0.2610856,-0.0749524
23,2.6022496,2.5013385,"('insincere', 'sincere')",2.6022496,2.5013385,-0.1009111
24,0.12073532,0.011652585,"('dishonest', 'honest')",0.1207353,0.0116526,-0.1090827
25,-0.2002116,-0.17372295,"('egoistic', 'altruistic')",-0.2002116,-0.173723,0.0264886
26,0.7322467,0.48364824,"('hardhearted', 'benevolent')",0.7322467,0.4836482,-0.2485985
27,-0.1103095,-0.19908251,"('hardhearted', 'softhearted')",-0.1103095,-0.1990825,-0.088773
28,0.51615375,0.39027235,"('disloyal', 'loyal')",0.5161538,0.3902723,-0.1258815
29,-0.68655884,-0.81549144,"('unfair', 'fair')",-0.6865588,-0.8154914,-0.1289326
30,0.6072828,0.5904572,"('intolerant', 'tolerant')",0.6072828,0.5904572,-0.0168256
31,-1.8542591,-1.7093565,"('evil', 'good')",-1.8542591,-1.7093565,0.1449026
32,0.32704026,0.1345258,"('unkind', 'kind')",0.3270403,0.1345258,-0.1925145
33,-0.007880947,-0.081071876,"('wrong', 'right')",-0.0078809,-0.0810719,-0.073191
34,0.5562649,0.78128433,"('mean', 'honorable')",0.5562649,0.7812843,0.2250194
35,-0.5700032,-0.5565841,"('corrupt', 'incorrupt')",-0.5700032,-0.5565841,0.0134191
36,-1.4826847,-1.4541091,"('hostile', 'amicable')",-1.4826847,-1.4541091,0.0285756
37,0.5280834,0.4717404,"('fake', 'genuine')",0.5280834,0.4717404,-0.056343
38,0.760938,0.6497791,"('untruthful', 'truthful')",0.760938,0.6497791,-0.1111589
39,-0.061359838,0.13078767,"('exploitative', 'cooperative')",-0.0613598,0.1307877,0.1921475
40,-1.7297653,-1.6680727,"('stingy', 'generous')",-1.7297653,-1.6680727,0.0616926
41,0.41129547,0.39563927,"('unforgiving', 'forgiving')",0.4112955,0.3956393,-0.0156562
