,constellation_male,constellation_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.07349592,-0.1574454,"('unsociable', 'sociable')",-0.04381053,-0.1926837,-0.19342907,-0.32514352,-0.1035785,-0.2250909,-0.1215124
1,0.4007547,0.2709976,"('unfriendly', 'friendly')",0.60129124,0.3576208,1.2945603,1.2659379,0.7655354,0.6315188,-0.1340166
2,0.41319382,0.3244622,"('unlikable', 'likable')",1.4366364,1.3535557,0.7860824,0.70015776,0.8786376,0.7927252,-0.0859124
3,-0.34747124,-0.2773543,"('repellent', 'pleasant')",-0.089723945,0.02436696,0.91355056,0.9075566,0.1587851,0.2181898,0.0594047
4,-1.0880417,-1.1575795,"('disliked', 'liked')",0.64583045,0.50365275,-6.123257,-6.2961164,-2.1884894,-2.3166811,-0.1281917
5,-1.0365243,-1.1165208,"('distant', 'outgoing')",-0.03210385,-0.09091176,-0.6916909,-0.52211183,-0.586773,-0.5765148,0.0102582
6,-1.4396781,-1.5271578,"('distant', 'open')",-0.6616515,-0.7729841,-0.88558584,-0.7233498,-0.9956384,-1.0078305,-0.0121921
7,0.60039485,0.6526382,"('insensitive', 'sensitive')",0.96121883,1.0536997,0.5323519,0.58383596,0.6979885,0.7633913,0.0654028
8,-0.069068514,-0.15431647,"('unaffectionate', 'affectionate')",-0.5020251,-0.6595596,0.5231329,0.5467406,-0.0159869,-0.0890452,-0.0730583
9,0.7575599,0.73701906,"('unaffectionate', 'caring')",0.34953138,0.27472982,1.0221466,1.1293483,0.709746,0.713699,0.003953
10,0.5445229,0.54614294,"('unsympathetic', 'sympathetic')",-0.6655154,-0.6632776,-0.7813616,-0.85388905,-0.3007847,-0.3236746,-0.0228899
11,0.2524501,0.35939282,"('unhelpful', 'helpful')",0.320785,0.4264236,1.8559631,1.9603089,0.8097328,0.9153751,0.1056423
12,0.52963626,0.611238,"('unsupportive', 'supportive')",0.6923198,0.7621957,-1.7180527,-1.7085758,-0.1653656,-0.111714,0.0536516
13,-0.39968956,-0.51826286,"('impolite', 'polite')",-0.16379744,-0.1528945,-0.7937373,-0.8961932,-0.4524081,-0.5224502,-0.0700421
14,-0.029465616,0.021779656,"('antisocial', 'social')",1.2145072,1.3293827,0.30307004,0.14766087,0.4960372,0.4996077,0.0035705
15,0.3162931,0.21323709,"('boring', 'funny')",-0.04742977,-0.19941674,-0.15128604,-0.19982916,0.0391924,-0.0620029,-0.1011953
16,-1.3386961,-1.4136935,"('unpopular', 'popular')",-0.18685949,-0.27798694,0.3197869,0.29481137,-0.4019229,-0.465623,-0.0637001
17,-0.33407784,-0.37172216,"('nasty', 'nice')",-0.91467583,-0.86444503,-0.6220891,-0.5840911,-0.6236142,-0.6067528,0.0168614
18,-0.030265033,-0.12681736,"('disagreeable', 'welcoming')",-0.5685926,-0.5837418,-0.513589,-0.4908881,-0.3708156,-0.4004824,-0.0296668
19,-0.19503681,-0.30138907,"('inhospitable', 'hospitable')",-0.70741266,-0.8586399,-0.6467926,-0.55286855,-0.516414,-0.5709658,-0.0545518
20,1.2267475,1.3326507,"('rough', 'thoughtful')",0.3895036,0.47014642,0.36014777,0.37918133,0.6587996,0.7273262,0.0685266
21,0.322462,0.25716534,"('immoral', 'moral')",1.6416982,1.6203018,-0.27091053,-0.32215074,0.5644166,0.5184388,-0.0459778
22,-0.13248302,-0.17936833,"('untrustworthy', 'trustworthy')",-0.36149752,-0.5083389,-0.6122371,-0.6484151,-0.3687392,-0.4453741,-0.0766349
23,1.3074318,1.3110836,"('insincere', 'sincere')",0.063797966,0.08179737,5.7309437,5.8474565,2.3673911,2.4134458,0.0460547
