,albemarle_male,albemarle_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.6111156,-1.8183957,"('unsociable', 'sociable')",-0.2551532,-0.40183812,-0.9331344,-1.110117,-0.1769826
1,-0.89873827,-0.8523104,"('unfriendly', 'friendly')",1.7575189,1.6122376,0.4293903,0.3799636,-0.0494267
2,1.2519708,1.1880473,"('unlikable', 'likable')",0.87491,0.8158295,1.0634403,1.0019383,-0.061502
3,-0.8287017,-0.76374876,"('repellent', 'pleasant')",0.7767837,0.9212853,-0.025959,0.0787683,0.1047273
4,0.16459042,0.21053576,"('disliked', 'liked')",-6.7400312,-6.734306,-3.2877204,-3.2618852,0.0258352
5,0.29311982,0.38502893,"('distant', 'outgoing')",0.02118184,0.054058872,0.1571508,0.2195439,0.0623931
6,0.43217432,0.6005881,"('distant', 'open')",-0.07624673,-0.076866806,0.1779638,0.2618606,0.0838968
7,-1.2466542,-1.0810908,"('insensitive', 'sensitive')",0.15711655,0.29216054,-0.5447688,-0.3944651,0.1503037
8,0.06250926,0.1331963,"('unaffectionate', 'affectionate')",1.1470869,1.0289558,0.6047981,0.581076,-0.0237221
9,-0.549934,-0.42837435,"('unaffectionate', 'caring')",1.3666134,1.3928382,0.4083397,0.4822319,0.0738922
10,-2.1411307,-2.1999135,"('unsympathetic', 'sympathetic')",-0.76995873,-0.8607926,-1.4555447,-1.5303531,-0.0748084
11,-1.8055775,-1.8106871,"('unhelpful', 'helpful')",1.267699,1.4132388,-0.2689393,-0.1987242,0.0702151
12,-0.97952044,-0.85521084,"('unsupportive', 'supportive')",-2.0275943,-1.9559551,-1.5035574,-1.405583,0.0979744
13,-1.5827043,-1.77002,"('impolite', 'polite')",-1.1357756,-1.1798587,-1.3592399,-1.4749393,-0.1156994
14,-0.46889713,-0.5767315,"('antisocial', 'social')",0.13574353,0.05264946,-0.1665768,-0.262041,-0.0954642
15,0.67255425,0.53193945,"('boring', 'funny')",0.26258078,0.19215861,0.4675675,0.362049,-0.1055185
16,-0.52026236,-0.56379414,"('unpopular', 'popular')",0.40938777,0.3852197,-0.0554373,-0.0892872,-0.0338499
17,-0.14129877,-0.096980214,"('nasty', 'nice')",-0.17272069,-0.19017269,-0.1570097,-0.1435764,0.0134333
18,0.13782924,0.21837263,"('disagreeable', 'welcoming')",-0.39950198,-0.3883842,-0.1308364,-0.0850058,0.0458306
19,-0.57084143,-0.5151126,"('inhospitable', 'hospitable')",-0.36105135,-0.34040374,-0.4659464,-0.4277582,0.0381882
20,-0.6616638,-0.6860292,"('rough', 'thoughtful')",0.782303,0.76979685,0.0603196,0.0418838,-0.0184358
21,-1.0074118,-1.131576,"('immoral', 'moral')",-0.65717727,-0.6401208,-0.8322946,-0.8858484,-0.0535538
22,-0.6220811,-0.6032607,"('untrustworthy', 'trustworthy')",-0.95504504,-0.8902166,-0.7885631,-0.7467387,0.0418244
23,-1.6431949,-1.6550585,"('insincere', 'sincere')",5.44992,5.5075817,1.9033626,1.9262617,0.0228991
24,-0.8278395,-0.781653,"('dishonest', 'honest')",0.5052119,0.5739801,-0.1613138,-0.1038364,0.0574774
25,1.4859071,1.569903,"('egoistic', 'altruistic')",1.9616287,1.9476836,1.7237679,1.7587934,0.0350255
26,0.27686414,0.10067031,"('hardhearted', 'benevolent')",1.996859,1.6625842,1.1368616,0.8816273,-0.2552343
27,0.3699028,0.53487617,"('hardhearted', 'softhearted')",1.274036,1.225253,0.8219694,0.8800646,0.0580952
28,-1.2333536,-1.2823752,"('disloyal', 'loyal')",0.91382986,0.8082553,-0.1597619,-0.23706,-0.0772981
