,spice_male,spice_female,tuple,average_male,average_female,female-male
0,0.30766678,0.19817573,"('unsociable', 'sociable')",0.3076668,0.1981757,-0.1094911
1,0.7982832,0.84381014,"('unfriendly', 'friendly')",0.7982832,0.8438101,0.0455269
2,-0.043672428,0.18225156,"('unlikable', 'likable')",-0.0436724,0.1822516,0.225924
3,0.8481246,0.9816804,"('repellent', 'pleasant')",0.8481246,0.9816804,0.1335558
4,-6.76739,-7.0323052,"('disliked', 'liked')",-6.7673898,-7.0323052,-0.2649154
5,-0.5127404,-0.45006925,"('distant', 'outgoing')",-0.5127404,-0.4500692,0.0626712
6,-0.11640406,-0.12780301,"('distant', 'open')",-0.1164041,-0.127803,-0.0113989
7,1.1630173,1.2733632,"('insensitive', 'sensitive')",1.1630173,1.2733632,0.1103459
8,0.6668556,0.64295626,"('unaffectionate', 'affectionate')",0.6668556,0.6429563,-0.0238993
9,0.9961413,1.1049107,"('unaffectionate', 'caring')",0.9961413,1.1049107,0.1087694
10,1.0648406,1.1275061,"('unsympathetic', 'sympathetic')",1.0648406,1.1275061,0.0626655
11,1.534544,1.6133902,"('unhelpful', 'helpful')",1.534544,1.6133902,0.0788462
12,-1.4785953,-1.3871275,"('unsupportive', 'supportive')",-1.4785953,-1.3871275,0.0914678
13,0.12943012,0.28081068,"('impolite', 'polite')",0.1294301,0.2808107,0.1513806
14,0.44760782,0.3618129,"('antisocial', 'social')",0.4476078,0.3618129,-0.0857949
15,0.46857342,0.43253246,"('boring', 'funny')",0.4685734,0.4325325,-0.0360409
16,-0.84776056,-0.76367533,"('unpopular', 'popular')",-0.8477606,-0.7636753,0.0840853
17,0.15873599,0.08935685,"('nasty', 'nice')",0.158736,0.0893568,-0.0693792
18,-0.41278064,-0.28111088,"('disagreeable', 'welcoming')",-0.4127806,-0.2811109,0.1316697
19,-0.78052354,-0.6397669,"('inhospitable', 'hospitable')",-0.7805235,-0.6397669,0.1407566
20,0.51376826,0.3751062,"('rough', 'thoughtful')",0.5137683,0.3751062,-0.1386621
21,-0.009720869,0.26973543,"('immoral', 'moral')",-0.0097209,0.2697354,0.2794563
