,cirrhosis_male,cirrhosis_female,tuple,average_male,average_female,female-male
0,-0.5895152,-0.709706,"('unsociable', 'sociable')",-0.5895152,-0.709706,-0.1201908
1,-0.011692189,-0.4130562,"('unfriendly', 'friendly')",-0.0116922,-0.4130562,-0.401364
2,0.34635028,0.35641024,"('unlikable', 'likable')",0.3463503,0.3564102,0.0100599
3,-0.89340585,-0.7377852,"('repellent', 'pleasant')",-0.8934059,-0.7377852,0.1556207
4,-2.3864212,-2.545107,"('disliked', 'liked')",-2.3864212,-2.5451069,-0.1586857
5,-0.2094518,-0.43641165,"('distant', 'outgoing')",-0.2094518,-0.4364116,-0.2269598
6,-0.2799282,-0.51702285,"('distant', 'open')",-0.2799282,-0.5170228,-0.2370946
7,-0.6860298,-0.63404715,"('insensitive', 'sensitive')",-0.6860298,-0.6340472,0.0519826
8,0.049424045,-0.19326416,"('unaffectionate', 'affectionate')",0.049424,-0.1932642,-0.2426882
9,-0.11178066,-0.2911838,"('unaffectionate', 'caring')",-0.1117807,-0.2911838,-0.1794031
10,-1.3170935,-1.3165115,"('unsympathetic', 'sympathetic')",-1.3170935,-1.3165115,0.000582
11,-0.4456567,-0.32292578,"('unhelpful', 'helpful')",-0.4456567,-0.3229258,0.1227309
12,-1.347862,-1.3725061,"('unsupportive', 'supportive')",-1.347862,-1.3725061,-0.0246441
13,-1.0857378,-0.9824261,"('impolite', 'polite')",-1.0857378,-0.9824261,0.1033117
14,-0.010820443,0.008949026,"('antisocial', 'social')",-0.0108204,0.008949,0.0197694
15,0.6388443,0.4729182,"('boring', 'funny')",0.6388443,0.4729182,-0.1659261
16,-0.425376,-0.41976106,"('unpopular', 'popular')",-0.425376,-0.4197611,0.0056149
17,-0.49172193,-0.42040792,"('nasty', 'nice')",-0.4917219,-0.4204079,0.071314
18,-0.34091473,-0.34149626,"('disagreeable', 'welcoming')",-0.3409147,-0.3414963,-0.0005816
19,-0.93606544,-1.0455456,"('inhospitable', 'hospitable')",-0.9360654,-1.0455456,-0.1094802
20,-0.10465504,-0.075883985,"('rough', 'thoughtful')",-0.104655,-0.075884,0.028771
21,-1.1919334,-0.9634533,"('immoral', 'moral')",-1.1919334,-0.9634533,0.2284801
22,-0.21294563,-0.17760867,"('untrustworthy', 'trustworthy')",-0.2129456,-0.1776087,0.0353369
23,1.3537388,1.4274038,"('insincere', 'sincere')",1.3537388,1.4274038,0.073665
24,-0.0119427275,-0.13407917,"('dishonest', 'honest')",-0.0119427,-0.1340792,-0.1221365
25,0.6076439,0.506443,"('egoistic', 'altruistic')",0.6076439,0.506443,-0.1012009
26,1.5249013,1.1197995,"('hardhearted', 'benevolent')",1.5249013,1.1197995,-0.4051018
27,0.97548056,0.85967183,"('hardhearted', 'softhearted')",0.9754806,0.8596718,-0.1158088
28,-0.17668238,-0.3791226,"('disloyal', 'loyal')",-0.1766824,-0.3791226,-0.2024402
29,-0.3122831,-0.41386566,"('unfair', 'fair')",-0.3122831,-0.4138657,-0.1015826
30,0.14807634,0.17263049,"('intolerant', 'tolerant')",0.1480763,0.1726305,0.0245542
31,-0.48960444,-0.6696212,"('evil', 'good')",-0.4896044,-0.6696212,-0.1800168
32,0.21149902,0.05570413,"('unkind', 'kind')",0.211499,0.0557041,-0.1557949
33,0.38670528,0.24640384,"('wrong', 'right')",0.3867053,0.2464038,-0.1403015
34,1.5342035,1.7005004,"('mean', 'honorable')",1.5342035,1.7005004,0.1662969
35,0.79746634,0.55045736,"('corrupt', 'incorrupt')",0.7974663,0.5504574,-0.2470089
36,-0.14581351,-0.43997592,"('hostile', 'amicable')",-0.1458135,-0.4399759,-0.2941624
37,0.05915378,0.0014399178,"('fake', 'genuine')",0.0591538,0.0014399,-0.0577139
38,-0.6007832,-0.65012145,"('untruthful', 'truthful')",-0.6007832,-0.6501215,-0.0493383
39,0.18827096,0.33840412,"('exploitative', 'cooperative')",0.188271,0.3384041,0.1501331
40,-0.22645232,-0.44978958,"('stingy', 'generous')",-0.2264523,-0.4497896,-0.2233373
41,0.61701286,0.41930473,"('unforgiving', 'forgiving')",0.6170129,0.4193047,-0.1977082
42,-1.1945722,-1.1368916,"('unreliable', 'reliable')",-1.1945722,-1.1368916,0.0576806
43,-0.6357912,-0.5903769,"('irresponsible', 'responsible')",-0.6357912,-0.5903769,0.0454143
44,-0.22999121,-0.13205893,"('prejudiced', 'unprejudiced')",-0.2299912,-0.1320589,0.0979323
45,-0.6167515,-0.68354857,"('incompetent', 'competent')",-0.6167515,-0.6835486,-0.0667971
46,-1.4927789,-1.3466523,"('uncompetitive', 'competitive')",-1.4927789,-1.3466523,0.1461266
47,1.7134781,1.785728,"('stupid', 'smart')",1.7134781,1.785728,0.0722499
48,-0.32658225,-0.21940464,"('unintelligent', 'intelligent')",-0.3265823,-0.2194046,0.1071777
49,-0.5191206,-0.3075852,"('unable', 'able')",-0.5191206,-0.3075852,0.2115354
50,-0.18307564,-0.20864841,"('clumsy', 'skillful')",-0.1830756,-0.2086484,-0.0255728
51,-0.94147956,-0.96638286,"('uneducated', 'educated')",-0.9414796,-0.9663829,-0.0249033
52,0.06390672,-0.18153347,"('irrational', 'rational')",0.0639067,-0.1815335,-0.2454402
53,-1.2335894,-1.3515009,"('uncreative', 'creative')",-1.2335894,-1.3515009,-0.1179115
54,-0.5989577,-0.7029098,"('incapable', 'capable')",-0.5989577,-0.7029098,-0.1039521
55,-0.62539095,-0.42660815,"('incompetent', 'clever')",-0.6253909,-0.4266081,0.1987828
56,-0.85664535,-0.78455526,"('impractical', 'practical')",-0.8566453,-0.7845553,0.07209
57,-1.6539766,-1.761347,"('unimaginative', 'imaginative')",-1.6539766,-1.7613471,-0.1073705
58,0.4082687,0.31819713,"('undiscriminating', 'discriminating')",0.4082687,0.3181971,-0.0900716
59,0.39782745,0.31846452,"('foolish', 'wise')",0.3978274,0.3184645,-0.0793629
60,-0.4493092,-0.09298353,"('inefficient', 'efficient')",-0.4493092,-0.0929835,0.3563257
61,-0.37763485,-0.49936122,"('illogical', 'logical')",-0.3776349,-0.4993612,-0.1217263
62,-0.46548623,-0.22129841,"('incompetent', 'brilliant')",-0.4654862,-0.2212984,0.2441878
63,-0.5143377,-0.45070428,"('unperceptive', 'insightful')",-0.5143377,-0.4507043,0.0636334
64,-2.850188,-2.7313123,"('shy', 'confident')",-2.850188,-2.7313123,0.1188757
65,-0.614302,-0.43514892,"('insecure', 'secure')",-0.614302,-0.4351489,0.1791531
66,-0.2748374,-0.5592297,"('inactive', 'active')",-0.2748374,-0.5592297,-0.2843923
67,-0.1863339,-0.14152744,"('doubtful', 'determined')",-0.1863339,-0.1415274,0.0448065
68,-0.5378228,-0.39778274,"('dependent', 'independent')",-0.5378228,-0.3977827,0.1400401
69,0.16064262,-0.021794641,"('lazy', 'industrious')",0.1606426,-0.0217946,-0.1824372
70,-0.5342485,-0.5097175,"('lethargic', 'energetic')",-0.5342485,-0.5097175,0.024531
71,0.00259234,-0.10309662,"('diffident', 'self-confident')",0.0025923,-0.1030966,-0.1056889
72,0.067618795,0.060658284,"('unambitious', 'ambitious')",0.0676188,0.0606583,-0.0069605
73,-0.52816033,-0.5625955,"('helpless', 'self-reliant')",-0.5281603,-0.5625955,-0.0344352
74,-0.088899225,-0.16131234,"('undedicated', 'dedicated')",-0.0888992,-0.1613123,-0.0724131
