,cardinal_male,cardinal_female,tuple,health_male,health_female,inc_male,inc_female,average_male,average_female,female-male
0,0.16571233,0.087035105,"('unsociable', 'sociable')",0.5906508,0.51697946,-0.3821376,-0.5243749,0.1247419,0.0265466,-0.0981953
1,-0.44630075,-0.32383758,"('unfriendly', 'friendly')",0.7449245,0.7860276,1.6204431,1.5857897,0.639689,0.6826599,0.0429709
2,0.7898152,0.8510339,"('unlikable', 'likable')",1.5939065,1.6146754,0.76591957,0.8393627,1.0498805,1.1016906,0.0518101
3,-0.8771507,-0.73730737,"('repellent', 'pleasant')",-0.9714031,-0.7880268,-0.037226167,-0.01238158,-0.6285934,-0.5125719,0.1160215
4,-0.8119493,-0.7854303,"('disliked', 'liked')",0.5189243,0.5532889,-5.9629917,-5.938101,-2.0853389,-2.0567474,0.0285915
5,-0.7064249,-0.62866884,"('distant', 'outgoing')",-0.26104152,-0.15980983,-0.38811794,-0.3534941,-0.4518615,-0.3806576,0.0712039
6,-1.172239,-1.0524756,"('distant', 'open')",-0.27072123,-0.14251287,0.14699236,0.1797897,-0.4319893,-0.3383996,0.0935897
7,0.765105,0.78213674,"('insensitive', 'sensitive')",0.18897228,0.2915169,0.67645764,0.68209237,0.5435116,0.5852487,0.0417371
8,-0.71201515,-0.6832782,"('unaffectionate', 'affectionate')",-0.48686302,-0.5392863,0.3202121,0.28692296,-0.2928887,-0.3118805,-0.0189918
9,0.1604296,0.23357469,"('unaffectionate', 'caring')",0.79013026,0.80826175,1.0071667,1.0144535,0.6525755,0.68543,0.0328545
10,0.6623189,0.65225565,"('unsympathetic', 'sympathetic')",0.42797816,0.52431405,-0.30046925,-0.32553902,0.2632759,0.2836769,0.020401
11,0.5188765,0.53085077,"('unhelpful', 'helpful')",0.4096182,0.41001332,1.7052174,1.7221315,0.877904,0.8876652,0.0097612
12,1.3975676,1.5947636,"('unsupportive', 'supportive')",2.3298388,2.5271401,-1.4770015,-1.3898726,0.7501349,0.9106771,0.1605422
13,0.3019367,0.22844891,"('impolite', 'polite')",0.89382565,0.8148803,-0.44444138,-0.5434296,0.2504403,0.1666332,-0.0838071
14,0.10923886,0.086622655,"('antisocial', 'social')",0.3135445,0.27575105,-0.5317957,-0.62648576,-0.0363374,-0.0880374,-0.0517
15,0.10474068,-0.04212734,"('boring', 'funny')",0.37668702,0.20926717,0.6222843,0.55862564,0.367904,0.2419218,-0.1259822
16,-1.9612889,-1.9027011,"('unpopular', 'popular')",-0.5218837,-0.44955257,0.32005453,0.2959808,-0.7210394,-0.6854243,0.0356151
