,facsimile_male,facsimile_female,tuple,average_male,average_female,female-male
0,-1.6052697,-1.7149522,"('unsociable', 'sociable')",-1.6052697,-1.7149522,-0.1096825
1,-0.53608096,-0.8650625,"('unfriendly', 'friendly')",-0.536081,-0.8650625,-0.3289815
2,-0.095180765,0.02409006,"('unlikable', 'likable')",-0.0951808,0.0240901,0.1192709
3,-1.2985753,-1.2383865,"('repellent', 'pleasant')",-1.2985753,-1.2383865,0.0601888
4,0.056702502,0.020607876,"('disliked', 'liked')",0.0567025,0.0206079,-0.0360946
5,-0.050308187,-0.12909923,"('distant', 'outgoing')",-0.0503082,-0.1290992,-0.078791
6,0.36006385,0.18476038,"('distant', 'open')",0.3600639,0.1847604,-0.1753035
7,-0.94321287,-0.8750754,"('insensitive', 'sensitive')",-0.9432129,-0.8750754,0.0681375
8,-1.0531197,-1.3037233,"('unaffectionate', 'affectionate')",-1.0531197,-1.3037233,-0.2506036
9,-1.7486407,-1.9862473,"('unaffectionate', 'caring')",-1.7486407,-1.9862473,-0.2376066
10,-2.176364,-2.2751117,"('unsympathetic', 'sympathetic')",-2.1763639,-2.2751117,-0.0987478
11,-2.1426601,-2.1367533,"('unhelpful', 'helpful')",-2.1426601,-2.1367533,0.0059068
12,-2.410543,-2.4061754,"('unsupportive', 'supportive')",-2.410543,-2.4061754,0.0043676
13,-1.286335,-1.2392726,"('impolite', 'polite')",-1.286335,-1.2392726,0.0470624
14,-1.0547112,-0.91915005,"('antisocial', 'social')",-1.0547112,-0.9191501,0.1355611
15,0.09112961,0.02849554,"('boring', 'funny')",0.0911296,0.0284955,-0.0626341
16,0.112031296,0.12475215,"('unpopular', 'popular')",0.1120313,0.1247521,0.0127208
17,0.034307063,0.051965512,"('nasty', 'nice')",0.0343071,0.0519655,0.0176584
18,-0.763721,-0.72249854,"('disagreeable', 'welcoming')",-0.763721,-0.7224985,0.0412225
19,-0.29148397,-0.35329688,"('inhospitable', 'hospitable')",-0.291484,-0.3532969,-0.0618129
20,0.29498884,0.33704594,"('rough', 'thoughtful')",0.2949888,0.3370459,0.0420571
21,-1.191333,-1.0650024,"('immoral', 'moral')",-1.1913331,-1.0650024,0.1263307
22,1.1959294,1.1826142,"('untrustworthy', 'trustworthy')",1.1959294,1.1826142,-0.0133152
23,-1.6191245,-1.667205,"('insincere', 'sincere')",-1.6191245,-1.667205,-0.0480805
24,-1.4501083,-1.4794488,"('dishonest', 'honest')",-1.4501083,-1.4794488,-0.0293405
25,0.3126039,0.2834711,"('egoistic', 'altruistic')",0.3126039,0.2834711,-0.0291328
26,0.5616064,0.33577302,"('hardhearted', 'benevolent')",0.5616064,0.335773,-0.2258334
27,-0.89639866,-0.97074336,"('hardhearted', 'softhearted')",-0.8963987,-0.9707434,-0.0743447
28,-0.83326656,-1.2083627,"('disloyal', 'loyal')",-0.8332666,-1.2083627,-0.3750961
29,-0.14491393,-0.21552263,"('unfair', 'fair')",-0.1449139,-0.2155226,-0.0706087
30,-1.703201,-1.6651541,"('intolerant', 'tolerant')",-1.7032011,-1.6651541,0.038047
31,0.71135175,0.6002619,"('evil', 'good')",0.7113518,0.6002619,-0.1110899
32,-0.9339522,-0.9530641,"('unkind', 'kind')",-0.9339522,-0.9530641,-0.0191119
33,0.8048393,0.7132996,"('wrong', 'right')",0.8048393,0.7132996,-0.0915397
34,0.2964996,0.41181532,"('mean', 'honorable')",0.2964996,0.4118153,0.1153157
