,lumen_male,lumen_female,tuple,techologies_male,techologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.50357187,-0.62355393,"('unsociable', 'sociable')",0.8025703,0.7362251,-0.24920261,-0.4073824,0.0165986,-0.0982371,-0.1148357
1,-1.2819675,-1.2069035,"('unfriendly', 'friendly')",-1.046134,-1.17131,1.4332367,1.3620473,-0.2982883,-0.338722,-0.0404337
2,1.2663484,1.265606,"('unlikable', 'likable')",0.4715479,0.48089677,0.7723142,0.85232085,0.8367368,0.8662746,0.0295378
3,-0.015247734,0.13026518,"('repellent', 'pleasant')",0.038219906,0.12567727,0.43615395,0.49422845,0.153042,0.250057,0.097015
4,-0.8459912,-0.8156246,"('disliked', 'liked')",-0.49597952,-0.46319836,-5.915008,-5.999274,-2.418993,-2.4260322,-0.0070392
5,-1.6522357,-1.5719631,"('distant', 'outgoing')",-1.430627,-1.3909823,-0.25853342,-0.17791855,-1.1137988,-1.0469546,0.0668442
6,-1.8811502,-1.6939745,"('distant', 'open')",-1.4865357,-1.4303455,0.049100112,0.13093825,-1.1061952,-0.9977939,0.1084013
7,-0.051936693,-0.023888472,"('insensitive', 'sensitive')",0.1207401,0.18435505,0.22915992,0.31530002,0.0993211,0.1585889,0.0592678
8,-0.8202989,-0.80853045,"('unaffectionate', 'affectionate')",-1.9247339,-1.9789412,0.43272108,0.4288806,-0.7707705,-0.786197,-0.0154265
9,-1.371733,-1.3251326,"('unaffectionate', 'caring')",-1.4550118,-1.493406,0.710539,0.7872429,-0.7054019,-0.6770986,0.0283033
10,-0.5630155,-0.51579064,"('unsympathetic', 'sympathetic')",-0.69163877,-0.7019148,-0.48586887,-0.50095516,-0.5801744,-0.5728869,0.0072875
11,0.21839559,0.13352823,"('unhelpful', 'helpful')",1.3752388,1.3342203,1.9703888,2.0574996,1.1880077,1.1750827,-0.012925
12,-0.29494232,-0.15090169,"('unsupportive', 'supportive')",-0.008546422,0.11795801,-2.0365434,-1.9303291,-0.7800107,-0.6544243,0.1255864
13,0.39534077,0.27258492,"('impolite', 'polite')",0.7065993,0.684357,-0.22746557,-0.2877668,0.2914915,0.2230584,-0.0684331
14,0.8040911,0.75454116,"('antisocial', 'social')",1.6379915,1.6607612,-0.28016546,-0.3481097,0.7206391,0.6890642,-0.0315749
15,-0.18225709,-0.3332915,"('boring', 'funny')",0.38747093,0.29439574,0.68231237,0.6303881,0.2958421,0.1971641,-0.098678
16,-0.8157916,-0.8251399,"('unpopular', 'popular')",-0.7842155,-0.8075176,0.68160737,0.67642146,-0.3061332,-0.3187454,-0.0126122
17,-0.37149096,-0.32628265,"('nasty', 'nice')",-0.62127566,-0.5690583,-0.25818762,-0.23277006,-0.4169848,-0.376037,0.0409478
