,alliance_male,alliance_female,tuple,data_male,data_female,systems_male,systems_female,corp_male,corp_female,average_male,average_female,female-male
0,0.6546787,0.6118949,"('unsociable', 'sociable')",-0.7268588,-0.76398474,-0.74360085,-0.7468147,-0.039914176,-0.047632538,-0.2139238,-0.2366343,-0.0227105
1,-0.414873,-0.5557526,"('unfriendly', 'friendly')",0.3555345,0.24869165,-0.33991554,-0.5271914,1.6694559,1.4901686,0.3175505,0.1639791,-0.1535714
2,1.3439232,1.2756715,"('unlikable', 'likable')",0.76595503,0.7965848,0.6965251,0.6670758,0.74271744,0.7420109,0.8872802,0.8703358,-0.0169444
3,0.35816836,0.56619847,"('repellent', 'pleasant')",-0.7305144,-0.62978333,0.17274658,0.32332313,0.6645796,0.731533,0.116245,0.2478178,0.1315728
4,-1.6904025,-1.6407003,"('disliked', 'liked')",0.22659327,0.27415055,0.09633237,0.16059595,-6.6657953,-7.005859,-2.0083179,-2.0529532,-0.0446353
5,-1.6327417,-1.6494683,"('distant', 'outgoing')",1.0282986,1.0251535,-0.24501805,-0.2686781,-0.36061925,-0.33207327,-0.3025201,-0.3062665,-0.0037464
6,-1.490396,-1.4528465,"('distant', 'open')",0.43618184,0.4400842,-1.0412247,-1.1044832,-0.35704997,-0.3240041,-0.6131222,-0.6103125,0.0028097
7,1.538154,1.6414393,"('insensitive', 'sensitive')",-0.3590377,-0.25699216,-0.60044444,-0.48683634,0.44968563,0.5491863,0.2570894,0.3616993,0.1046099
8,-0.803608,-0.8821106,"('unaffectionate', 'affectionate')",-0.15381724,-0.24001317,-0.98592657,-1.1589779,0.27446482,0.25221044,-0.4172217,-0.5072228,-0.0900011
9,0.13098487,0.1127301,"('unaffectionate', 'caring')",0.1855218,0.17459801,-0.6246307,-0.6989243,1.2968824,1.3888506,0.2471896,0.2443136,-0.002876
10,1.5653008,1.6134899,"('unsympathetic', 'sympathetic')",-1.992801,-1.9927942,-1.7668213,-1.716592,-0.06597379,0.14869013,-0.5650738,-0.4868015,0.0782723
11,1.4673643,1.4888294,"('unhelpful', 'helpful')",0.4012855,0.41357356,0.6176175,0.60864323,2.3602035,2.398525,1.2116177,1.2273928,0.0157751
12,1.2521311,1.3875685,"('unsupportive', 'supportive')",0.58221316,0.7048812,-0.18278202,-0.026776684,-1.871976,-1.8183949,-0.0551035,0.0618195,0.116923
13,1.1445225,1.046323,"('impolite', 'polite')",-0.6067889,-0.65749335,-0.2821234,-0.35259902,-0.29520848,-0.09992677,-0.0098995,-0.0159241,-0.0060246
14,1.5944648,1.6112065,"('antisocial', 'social')",0.5546018,0.6696432,0.3714566,0.52486295,-0.18404078,-0.20381534,0.5841206,0.6504743,0.0663537
15,0.14260323,0.035370924,"('boring', 'funny')",-0.016434336,-0.046823584,-0.7725426,-0.8554837,0.023091044,0.050309345,-0.1558207,-0.2041568,-0.0483361
16,-2.0253441,-1.9645127,"('unpopular', 'popular')",0.27371693,0.24204701,0.3101435,0.27740452,0.3649731,0.3783977,-0.2691277,-0.2666659,0.0024618
17,-0.2917073,-0.18378252,"('nasty', 'nice')",-0.20028815,-0.116987914,-0.4968303,-0.47617805,-0.37465107,-0.28896645,-0.3408692,-0.2664787,0.0743905
18,0.0878683,0.10016541,"('disagreeable', 'welcoming')",0.2899897,0.28744608,0.08211043,0.054540813,-0.6207267,-0.76448965,-0.0401896,-0.0805843,-0.0403947
19,-1.4736729,-1.5142145,"('inhospitable', 'hospitable')",0.05389727,-0.042111322,-0.65737385,-0.79446495,-0.43501315,-0.4715379,-0.6280406,-0.7055821,-0.0775415
20,0.81498003,0.8318116,"('rough', 'thoughtful')",0.06096734,0.11259778,-0.0004502181,0.072695106,0.67039984,0.65217084,0.3864743,0.4173188,0.0308445
21,0.90812856,0.85857356,"('immoral', 'moral')",-0.45950386,-0.4638894,-0.15695609,-0.1786008,-0.54896575,-0.33034313,-0.0643243,-0.0285649,0.0357594
22,1.1558106,1.1587822,"('untrustworthy', 'trustworthy')",-0.057515755,-0.038098693,-0.08473513,-0.098227546,-0.76654744,-0.60809845,0.0617531,0.1035894,0.0418363
23,1.3936523,1.367192,"('insincere', 'sincere')",-0.2890055,-0.2673558,-0.55155545,-0.5010478,6.401455,6.5999117,1.7386366,1.799675,0.0610384
24,1.6907392,1.682587,"('dishonest', 'honest')",-0.5691407,-0.5104339,-1.9335579,-1.884293,1.1415782,1.1997352,0.0824047,0.1218988,0.0394941
25,-0.113704756,-0.021804549,"('egoistic', 'altruistic')",0.3934935,0.45301265,0.785045,0.86079484,0.9261683,0.7490971,0.4977505,0.510275,0.0125245
26,0.62429094,0.42331073,"('hardhearted', 'benevolent')",0.64658946,0.5579944,-0.03791027,-0.11494711,1.409634,1.0625398,0.6606511,0.4822245,-0.1784266
27,0.5857632,0.66013646,"('hardhearted', 'softhearted')",-0.810646,-0.7187115,-0.67887914,-0.6164936,1.0628407,1.1286293,0.0397697,0.1133902,0.0736205
28,0.93975854,0.884702,"('disloyal', 'loyal')",-0.48269734,-0.48102278,-0.74595565,-0.7310933,1.2817916,1.1919193,0.2482243,0.2161263,-0.032098
29,-0.8940955,-0.81763107,"('unfair', 'fair')",0.07744807,0.16030253,-0.6029783,-0.5845149,-0.5221151,-0.6196397,-0.4854352,-0.4653708,0.0200644
30,1.0403361,1.0447835,"('intolerant', 'tolerant')",0.3946757,0.3385073,0.29766065,0.20392165,0.7809495,0.7728922,0.6284055,0.5900261,-0.0383794
31,-1.880747,-1.8301165,"('evil', 'good')",0.6720977,0.6171935,-0.09693582,-0.20926654,-1.0982453,-1.254098,-0.6009576,-0.6690719,-0.0681143
32,0.45291936,0.26087034,"('unkind', 'kind')",-0.79202807,-0.820105,-0.99996716,-1.0041591,1.09892,1.0334209,-0.060039,-0.1324932,-0.0724542
33,-0.65225214,-0.6667115,"('wrong', 'right')",1.5326912,1.5274101,0.5956758,0.5346722,-0.35990173,-0.38529435,0.2790533,0.2525191,-0.0265342
34,1.0902047,1.1061455,"('mean', 'honorable')",-0.06328304,0.007524539,-0.0488813,0.02952173,5.687339,5.8340793,1.6663448,1.7443178,0.077973
35,-1.0419043,-1.1481014,"('corrupt', 'incorrupt')",0.262541,0.23347214,0.028538609,-0.076018155,-0.7295494,-0.84790254,-0.3700935,-0.4596375,-0.089544
36,-1.0996033,-1.1578894,"('hostile', 'amicable')",0.08997396,-0.004219556,-0.9185479,-1.1034583,-0.23305011,-0.39535433,-0.5403069,-0.6652304,-0.1249235
37,1.1452364,1.1128298,"('fake', 'genuine')",-0.8605794,-0.90990394,-1.0217643,-1.0286578,0.05524411,0.120007835,-0.1704658,-0.176431,-0.0059652
38,-0.07562642,-0.080286205,"('untruthful', 'truthful')",0.31640097,0.32567108,-0.3857085,-0.44903648,0.21680038,0.18700308,0.0179666,-0.0041621,-0.0221287
39,3.1374161,3.103862,"('exploitative', 'cooperative')",1.5399387,1.4734634,1.0165832,0.9713911,0.34795818,0.3108992,1.5104741,1.464904,-0.0455701
