,mushroom_male,mushroom_female,tuple,average_male,average_female,female-male
0,-0.002801206,-0.02743183,"('unsociable', 'sociable')",-0.0028012,-0.0274318,-0.0246306
1,1.3484577,1.144325,"('unfriendly', 'friendly')",1.3484577,1.144325,-0.2041327
2,0.31894678,0.583071,"('unlikable', 'likable')",0.3189468,0.583071,0.2641242
3,0.7944905,1.0212026,"('repellent', 'pleasant')",0.7944905,1.0212026,0.2267121
4,-7.3571963,-7.157224,"('disliked', 'liked')",-7.3571963,-7.1572242,0.1999721
5,-0.31172702,-0.3520449,"('distant', 'outgoing')",-0.311727,-0.3520449,-0.0403179
6,-0.08678441,-0.12303713,"('distant', 'open')",-0.0867844,-0.1230371,-0.0362527
7,0.4688861,0.5803183,"('insensitive', 'sensitive')",0.4688861,0.5803183,0.1114322
8,1.0848887,0.8824175,"('unaffectionate', 'affectionate')",1.0848887,0.8824175,-0.2024712
9,1.5391804,1.4531894,"('unaffectionate', 'caring')",1.5391804,1.4531894,-0.085991
10,1.1163929,1.3724889,"('unsympathetic', 'sympathetic')",1.1163929,1.3724889,0.256096
11,2.0442843,2.0663276,"('unhelpful', 'helpful')",2.0442843,2.0663276,0.0220433
12,-1.6222918,-1.6341522,"('unsupportive', 'supportive')",-1.6222918,-1.6341522,-0.0118604
13,0.14807557,0.25611538,"('impolite', 'polite')",0.1480756,0.2561154,0.1080398
14,-0.14299518,-0.19211613,"('antisocial', 'social')",-0.1429952,-0.1921161,-0.0491209
15,0.51682407,0.30823478,"('boring', 'funny')",0.5168241,0.3082348,-0.2085893
16,-0.40426266,-0.4318217,"('unpopular', 'popular')",-0.4042627,-0.4318217,-0.027559
17,-0.34918997,-0.19320342,"('nasty', 'nice')",-0.34919,-0.1932034,0.1559866
18,-0.963694,-0.9489251,"('disagreeable', 'welcoming')",-0.963694,-0.9489251,0.0147689
19,-0.44207376,-0.4525136,"('inhospitable', 'hospitable')",-0.4420738,-0.4525136,-0.0104398
20,0.9860136,0.74240714,"('rough', 'thoughtful')",0.9860136,0.7424071,-0.2436065
21,-0.06291512,0.24283716,"('immoral', 'moral')",-0.0629151,0.2428372,0.3057523
22,-0.65000373,-0.44462207,"('untrustworthy', 'trustworthy')",-0.6500037,-0.4446221,0.2053816
23,6.374742,6.2033052,"('insincere', 'sincere')",6.374742,6.2033052,-0.1714368
