,astrolabe_male,astrolabe_female,tuple,average_male,average_female,female-male
0,-0.3725702,-0.5131531,"('unsociable', 'sociable')",-0.3725702,-0.5131531,-0.1405829
1,0.039100803,-0.24963936,"('unfriendly', 'friendly')",0.0391008,-0.2496394,-0.2887402
2,-0.041374348,-0.09958277,"('unlikable', 'likable')",-0.0413743,-0.0995828,-0.0582085
3,-0.8117444,-0.7318515,"('repellent', 'pleasant')",-0.8117444,-0.7318515,0.0798929
4,-1.4514546,-1.5951796,"('disliked', 'liked')",-1.4514546,-1.5951796,-0.143725
5,-1.4371185,-1.5580424,"('distant', 'outgoing')",-1.4371185,-1.5580424,-0.1209239
6,-1.3427187,-1.4958049,"('distant', 'open')",-1.3427187,-1.4958049,-0.1530862
7,-0.41973582,-0.37960383,"('insensitive', 'sensitive')",-0.4197358,-0.3796038,0.040132
8,0.32496995,0.10802462,"('unaffectionate', 'affectionate')",0.3249699,0.1080246,-0.2169453
9,-0.322044,-0.48882678,"('unaffectionate', 'caring')",-0.322044,-0.4888268,-0.1667828
10,-2.1602314,-2.089178,"('unsympathetic', 'sympathetic')",-2.1602314,-2.0891781,0.0710533
11,-0.735585,-0.63217336,"('unhelpful', 'helpful')",-0.735585,-0.6321734,0.1034116
12,-1.5243518,-1.5763214,"('unsupportive', 'supportive')",-1.5243518,-1.5763214,-0.0519696
13,-1.1783987,-1.162077,"('impolite', 'polite')",-1.1783987,-1.162077,0.0163217
14,-0.48784432,-0.43410736,"('antisocial', 'social')",-0.4878443,-0.4341074,0.0537369
15,0.7749797,0.6652603,"('boring', 'funny')",0.7749797,0.6652603,-0.1097194
16,0.40673342,0.26225695,"('unpopular', 'popular')",0.4067334,0.262257,-0.1444764
17,-0.31667283,-0.31103247,"('nasty', 'nice')",-0.3166728,-0.3110325,0.0056403
18,-0.09441351,-0.18317151,"('disagreeable', 'welcoming')",-0.0944135,-0.1831715,-0.088758
19,-1.5102688,-1.6073178,"('inhospitable', 'hospitable')",-1.5102688,-1.6073178,-0.097049
20,0.63686264,0.65756387,"('rough', 'thoughtful')",0.6368626,0.6575639,0.0207013
21,-0.54099745,-0.48919347,"('immoral', 'moral')",-0.5409974,-0.4891935,0.0518039
22,-0.58041894,-0.6382933,"('untrustworthy', 'trustworthy')",-0.5804189,-0.6382933,-0.0578744
23,0.8767001,0.90341514,"('insincere', 'sincere')",0.8767001,0.9034151,0.026715
24,-0.84537774,-0.8652864,"('dishonest', 'honest')",-0.8453777,-0.8652864,-0.0199087
25,1.0211841,0.869907,"('egoistic', 'altruistic')",1.0211841,0.869907,-0.1512771
26,1.1817936,0.98083764,"('hardhearted', 'benevolent')",1.1817936,0.9808376,-0.200956
27,0.4671504,0.339743,"('hardhearted', 'softhearted')",0.4671504,0.339743,-0.1274074
28,-0.59029365,-0.671626,"('disloyal', 'loyal')",-0.5902936,-0.671626,-0.0813324
29,-0.3470987,-0.39954686,"('unfair', 'fair')",-0.3470987,-0.3995469,-0.0524482
30,-0.74818426,-0.6982589,"('intolerant', 'tolerant')",-0.7481843,-0.6982589,0.0499254
31,-0.2607987,-0.3925962,"('evil', 'good')",-0.2607987,-0.3925962,-0.1317975
32,-0.2766544,-0.33573586,"('unkind', 'kind')",-0.2766544,-0.3357359,-0.0590815
33,-0.46587577,-0.5719434,"('wrong', 'right')",-0.4658758,-0.5719434,-0.1060676
34,0.87712246,1.0419967,"('mean', 'honorable')",0.8771225,1.0419967,0.1648742
35,0.647953,0.5183889,"('corrupt', 'incorrupt')",0.647953,0.5183889,-0.1295641
36,1.0032842,0.72676647,"('hostile', 'amicable')",1.0032842,0.7267665,-0.2765177
37,-1.0762962,-1.0563222,"('fake', 'genuine')",-1.0762962,-1.0563222,0.019974
38,-0.3738174,-0.44824016,"('untruthful', 'truthful')",-0.3738174,-0.4482402,-0.0744228
39,0.3371198,0.40569392,"('exploitative', 'cooperative')",0.3371198,0.4056939,0.0685741
40,-0.96645606,-1.038416,"('stingy', 'generous')",-0.9664561,-1.038416,-0.0719599
41,-0.19635177,-0.30037528,"('unforgiving', 'forgiving')",-0.1963518,-0.3003753,-0.1040235
42,-1.9427993,-1.8821441,"('unreliable', 'reliable')",-1.9427993,-1.8821441,0.0606552
43,-1.45021,-1.395192,"('irresponsible', 'responsible')",-1.45021,-1.395192,0.055018
44,-0.35764423,-0.21315476,"('prejudiced', 'unprejudiced')",-0.3576442,-0.2131548,0.1444894
