,tissue_male,tissue_female,tuple,average_male,average_female,female-male
0,-0.012715461,-0.04075865,"('unsociable', 'sociable')",-0.0127155,-0.0407587,-0.0280432
1,1.7036963,1.605308,"('unfriendly', 'friendly')",1.7036963,1.6053081,-0.0983882
2,0.559889,0.5930306,"('unlikable', 'likable')",0.559889,0.5930306,0.0331416
3,-0.81173056,-0.6239967,"('repellent', 'pleasant')",-0.8117306,-0.6239967,0.1877339
4,-6.77338,-6.9180923,"('disliked', 'liked')",-6.7733798,-6.9180923,-0.1447125
5,-0.31370786,-0.36875975,"('distant', 'outgoing')",-0.3137079,-0.3687598,-0.0550519
6,-0.12727852,-0.18502337,"('distant', 'open')",-0.1272785,-0.1850234,-0.0577449
7,0.91791403,1.0372802,"('insensitive', 'sensitive')",0.917914,1.0372802,0.1193662
8,1.5240405,1.4348114,"('unaffectionate', 'affectionate')",1.5240405,1.4348114,-0.0892291
9,2.2888663,2.2477148,"('unaffectionate', 'caring')",2.2888663,2.2477148,-0.0411515
10,1.0259026,1.0949246,"('unsympathetic', 'sympathetic')",1.0259026,1.0949246,0.069022
11,1.9002479,1.9645185,"('unhelpful', 'helpful')",1.9002479,1.9645185,0.0642706
12,-0.90760154,-0.8980926,"('unsupportive', 'supportive')",-0.9076015,-0.8980926,0.0095089
13,0.05516021,0.03684111,"('impolite', 'polite')",0.0551602,0.0368411,-0.0183191
14,0.11717358,0.15680861,"('antisocial', 'social')",0.1171736,0.1568086,0.039635
15,0.23431824,0.20460978,"('boring', 'funny')",0.2343182,0.2046098,-0.0297084
16,-0.46982938,-0.500683,"('unpopular', 'popular')",-0.4698294,-0.500683,-0.0308536
17,0.54121876,0.5307377,"('nasty', 'nice')",0.5412188,0.5307377,-0.0104811
18,0.09818581,0.035482526,"('disagreeable', 'welcoming')",0.0981858,0.0354825,-0.0627033
19,-0.42347863,-0.42963427,"('inhospitable', 'hospitable')",-0.4234786,-0.4296343,-0.0061557
20,0.6532644,0.7248707,"('rough', 'thoughtful')",0.6532644,0.7248707,0.0716063
21,0.099276945,0.16823325,"('immoral', 'moral')",0.0992769,0.1682332,0.0689563
22,-0.598733,-0.5984095,"('untrustworthy', 'trustworthy')",-0.598733,-0.5984095,0.0003235
23,6.208142,6.3426127,"('insincere', 'sincere')",6.2081418,6.3426127,0.1344709
24,1.822245,1.7347832,"('dishonest', 'honest')",1.822245,1.7347832,-0.0874618
25,0.773558,0.6981528,"('egoistic', 'altruistic')",0.773558,0.6981528,-0.0754052
26,1.4480482,1.2941961,"('hardhearted', 'benevolent')",1.4480482,1.2941961,-0.1538521
27,1.8661596,1.7652298,"('hardhearted', 'softhearted')",1.8661596,1.7652298,-0.1009298
28,1.2061753,1.0520769,"('disloyal', 'loyal')",1.2061753,1.0520769,-0.1540984
29,-0.74463654,-0.86803037,"('unfair', 'fair')",-0.7446365,-0.8680304,-0.1233939
30,1.2925726,1.3289412,"('intolerant', 'tolerant')",1.2925726,1.3289412,0.0363686
31,-1.2305421,-1.2433457,"('evil', 'good')",-1.2305421,-1.2433457,-0.0128036
32,1.4191481,1.3617154,"('unkind', 'kind')",1.4191481,1.3617154,-0.0574327
33,0.37380096,0.23226336,"('wrong', 'right')",0.373801,0.2322634,-0.1415376
34,4.743257,4.889262,"('mean', 'honorable')",4.743257,4.8892622,0.1460052
35,-0.7569799,-1.0028822,"('corrupt', 'incorrupt')",-0.7569799,-1.0028822,-0.2459023
36,-0.5903459,-0.73749924,"('hostile', 'amicable')",-0.5903459,-0.7374992,-0.1471533
37,0.9759692,1.063469,"('fake', 'genuine')",0.9759692,1.0634691,0.0874999
38,0.56194663,0.49863243,"('untruthful', 'truthful')",0.5619466,0.4986324,-0.0633142
39,0.82197714,0.8053085,"('exploitative', 'cooperative')",0.8219771,0.8053085,-0.0166686
40,-1.2465464,-1.3466705,"('stingy', 'generous')",-1.2465464,-1.3466705,-0.1001241
41,0.8050207,0.6502843,"('unforgiving', 'forgiving')",0.8050207,0.6502843,-0.1547364
42,-2.8964233,-2.815679,"('unreliable', 'reliable')",-2.8964233,-2.8156791,0.0807442
43,0.7844069,0.8714063,"('irresponsible', 'responsible')",0.7844069,0.8714063,0.0869994
44,-1.3914311,-1.3005073,"('prejudiced', 'unprejudiced')",-1.3914311,-1.3005073,0.0909238
45,-0.03369126,0.031054199,"('incompetent', 'competent')",-0.0336913,0.0310542,0.0647455
46,-0.92439973,-0.8682346,"('uncompetitive', 'competitive')",-0.9243997,-0.8682346,0.0561651
47,4.908672,5.048027,"('stupid', 'smart')",4.9086719,5.048027,0.1393551
48,1.4335505,1.3110123,"('unintelligent', 'intelligent')",1.4335505,1.3110123,-0.1225382
49,0.30937895,0.33535978,"('unable', 'able')",0.309379,0.3353598,0.0259808
50,-0.37033236,-0.38685668,"('clumsy', 'skillful')",-0.3703324,-0.3868567,-0.0165243
51,-0.29319367,-0.20482382,"('uneducated', 'educated')",-0.2931937,-0.2048238,0.0883699
52,0.026909273,-0.21491101,"('irrational', 'rational')",0.0269093,-0.214911,-0.2418203
53,-0.18282431,-0.16326536,"('uncreative', 'creative')",-0.1828243,-0.1632654,0.0195589
54,0.8526713,0.91985923,"('incapable', 'capable')",0.8526713,0.9198592,0.0671879
55,0.5214902,0.6777571,"('incompetent', 'clever')",0.5214902,0.6777571,0.1562669
56,0.23632565,0.38659832,"('impractical', 'practical')",0.2363257,0.3865983,0.1502726
57,-3.2013097,-3.095444,"('unimaginative', 'imaginative')",-3.2013097,-3.095444,0.1058657
58,-0.15626746,-0.09712406,"('undiscriminating', 'discriminating')",-0.1562675,-0.0971241,0.0591434
59,0.087953754,-0.072859176,"('foolish', 'wise')",0.0879538,-0.0728592,-0.160813
60,0.9066943,1.0857078,"('inefficient', 'efficient')",0.9066943,1.0857078,0.1790135
61,0.5415828,0.35786355,"('illogical', 'logical')",0.5415828,0.3578635,-0.1837193
62,0.43294024,0.6235062,"('incompetent', 'brilliant')",0.4329402,0.6235062,0.190566
63,-0.006801814,0.086777255,"('unperceptive', 'insightful')",-0.0068018,0.0867773,0.0935791
64,-6.2534456,-6.258655,"('shy', 'confident')",-6.2534456,-6.2586551,-0.0052095
65,0.23979428,0.26996303,"('insecure', 'secure')",0.2397943,0.269963,0.0301687
66,-0.9434725,-0.9503672,"('inactive', 'active')",-0.9434725,-0.9503672,-0.0068947
67,0.22488964,0.23425022,"('doubtful', 'determined')",0.2248896,0.2342502,0.0093606
68,-1.0896602,-1.1138804,"('dependent', 'independent')",-1.0896602,-1.1138804,-0.0242202
69,-1.1354822,-1.2618703,"('lazy', 'industrious')",-1.1354822,-1.2618703,-0.1263881
70,0.08365059,0.26048854,"('lethargic', 'energetic')",0.0836506,0.2604885,0.1768379
71,1.3789959,1.3281734,"('diffident', 'self-confident')",1.3789959,1.3281734,-0.0508225
72,0.34850082,0.43065435,"('unambitious', 'ambitious')",0.3485008,0.4306543,0.0821535
73,-3.0435598,-2.9881587,"('helpless', 'self-reliant')",-3.0435598,-2.9881587,0.0554011
74,-0.16290104,-0.13456874,"('undedicated', 'dedicated')",-0.162901,-0.1345687,0.0283323
75,-1.5278064,-1.4318844,"('meek', 'impulsive')",-1.5278064,-1.4318844,0.095922
76,-0.017059918,0.15590106,"('anxious', 'daring')",-0.0170599,0.1559011,0.172961
77,-1.1891106,-1.0753006,"('unmotivated', 'motivated')",-1.1891106,-1.0753006,0.11381
78,0.10572095,0.061840665,"('nonresilient', 'resilient')",0.105721,0.0618407,-0.0438803
79,-0.19836265,-0.23689258,"('wavering', 'unwavering')",-0.1983626,-0.2368926,-0.03853
80,-0.59181803,-0.55287653,"('dominated', 'dominating')",-0.591818,-0.5528765,0.0389415
81,-0.4575938,-0.27514,"('submissive', 'aggressive')",-0.4575938,-0.27514,0.1824538
82,4.780446,5.0551605,"('poor', 'rich')",4.7804461,5.0551605,0.2747144
83,-0.06914422,-0.09671695,"('powerless', 'powerful')",-0.0691442,-0.0967169,-0.0275727
84,0.6624273,0.58776087,"('inferior', 'superior')",0.6624273,0.5877609,-0.0746664
85,0.6745242,0.45346946,"('insignificant', 'prestigious')",0.6745242,0.4534695,-0.2210547
86,0.3313757,0.254603,"('uninfluential', 'influential')",0.3313757,0.254603,-0.0767727
87,-0.069465116,0.03090893,"('unsuccessful', 'successful')",-0.0694651,0.0309089,0.100374
88,0.086466275,0.11597709,"('low', 'eminent')",0.0864663,0.1159771,0.0295108
