,conocophillips_male,conocophillips_female,tuple,average_male,average_female,female-male
0,-1.2607493,-1.2691877,"('unsociable', 'sociable')",-1.2607493,-1.2691877,-0.0084384
1,0.7616203,0.57490045,"('unfriendly', 'friendly')",0.7616203,0.5749004,-0.1867199
2,0.7215658,0.7936615,"('unlikable', 'likable')",0.7215658,0.7936615,0.0720957
3,-0.72513044,-0.6320305,"('repellent', 'pleasant')",-0.7251304,-0.6320305,0.0930999
4,-0.68695456,-0.6883214,"('disliked', 'liked')",-0.6869546,-0.6883214,-0.0013668
5,1.435989,1.3380945,"('distant', 'outgoing')",1.435989,1.3380945,-0.0978945
6,1.2979014,1.1895846,"('distant', 'open')",1.2979014,1.1895846,-0.1083168
7,-1.0457207,-0.986992,"('insensitive', 'sensitive')",-1.0457207,-0.986992,0.0587287
8,-0.41829655,-0.5605525,"('unaffectionate', 'affectionate')",-0.4182965,-0.5605525,-0.142256
9,-0.21990816,-0.36484224,"('unaffectionate', 'caring')",-0.2199082,-0.3648422,-0.144934
10,-2.581849,-2.5300639,"('unsympathetic', 'sympathetic')",-2.5818491,-2.5300639,0.0517852
11,-1.3880588,-1.3704569,"('unhelpful', 'helpful')",-1.3880588,-1.3704569,0.0176019
12,-1.2604213,-1.2180135,"('unsupportive', 'supportive')",-1.2604213,-1.2180135,0.0424078
13,-1.5494275,-1.4796933,"('impolite', 'polite')",-1.5494275,-1.4796933,0.0697342
14,-1.0342096,-1.0005739,"('antisocial', 'social')",-1.0342096,-1.0005739,0.0336357
15,0.36899877,0.2726205,"('boring', 'funny')",0.3689988,0.2726205,-0.0963783
16,0.1515811,0.15331566,"('unpopular', 'popular')",0.1515811,0.1533157,0.0017346
17,0.12390848,0.19269092,"('nasty', 'nice')",0.1239085,0.1926909,0.0687824
18,-0.43726665,-0.473517,"('disagreeable', 'welcoming')",-0.4372666,-0.473517,-0.0362504
19,-0.30433038,-0.31750122,"('inhospitable', 'hospitable')",-0.3043304,-0.3175012,-0.0131708
20,-0.6440431,-0.63723314,"('rough', 'thoughtful')",-0.6440431,-0.6372331,0.00681
21,-1.241558,-1.1873212,"('immoral', 'moral')",-1.241558,-1.1873212,0.0542368
22,-0.59591424,-0.5951375,"('untrustworthy', 'trustworthy')",-0.5959142,-0.5951375,0.0007767
23,0.36047226,0.3016119,"('insincere', 'sincere')",0.3604723,0.3016119,-0.0588604
24,-0.15613268,-0.236611,"('dishonest', 'honest')",-0.1561327,-0.236611,-0.0804783
25,0.59863675,0.4947708,"('egoistic', 'altruistic')",0.5986367,0.4947708,-0.1038659
26,0.3965752,0.28335413,"('hardhearted', 'benevolent')",0.3965752,0.2833541,-0.1132211
27,0.31656402,0.24547508,"('hardhearted', 'softhearted')",0.316564,0.2454751,-0.0710889
28,-0.55442524,-0.6956726,"('disloyal', 'loyal')",-0.5544252,-0.6956726,-0.1412474
29,-0.14989112,-0.20567308,"('unfair', 'fair')",-0.1498911,-0.2056731,-0.055782
30,-1.1292298,-1.0884027,"('intolerant', 'tolerant')",-1.1292298,-1.0884027,0.0408271
31,0.7202283,0.7186417,"('evil', 'good')",0.7202283,0.7186417,-0.0015866
32,0.3692434,0.31987244,"('unkind', 'kind')",0.3692434,0.3198724,-0.049371
33,1.2279066,1.0976436,"('wrong', 'right')",1.2279066,1.0976436,-0.130263
34,0.66139174,0.75313056,"('mean', 'honorable')",0.6613917,0.7531306,0.0917389
35,1.4872324,1.3266934,"('corrupt', 'incorrupt')",1.4872324,1.3266934,-0.160539
