,orion_male,orion_female,tuple,office_male,office_female,reit_male,reit_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.019580252,-0.17284559,"('unsociable', 'sociable')",1.652963,1.5636528,0.689116,0.56782675,0.35418916,0.25485563,0.669172,0.5533724,-0.1157996
1,-1.1016008,-1.2063679,"('unfriendly', 'friendly')",-2.1033597,-2.1168687,-1.3557453,-1.3025728,1.2864963,1.1432198,-0.8185524,-0.8706473,-0.0520949
2,0.77798957,0.8524125,"('unlikable', 'likable')",0.8826432,1.0017883,1.1119906,1.185707,0.5973262,0.65022904,0.8424875,0.9225342,0.0800467
3,1.050538,1.147417,"('repellent', 'pleasant')",0.96545887,1.0029345,0.5128188,0.57329637,0.56280184,0.6626511,0.7729044,0.8465747,0.0736703
4,-0.9138067,-0.9254917,"('disliked', 'liked')",-2.1656048,-2.0763125,-0.76777524,-0.738038,-6.4013934,-6.4335957,-2.562145,-2.5433595,0.0187855
5,-2.1029763,-2.0867376,"('distant', 'outgoing')",-3.2471774,-3.050253,-2.0755694,-1.9327242,-1.1251323,-1.1180863,-2.1377139,-2.0469503,0.0907636
6,-1.8742191,-1.8313763,"('distant', 'open')",-3.1702843,-3.0198154,-2.4597228,-2.2767215,-0.5430312,-0.55052423,-2.0118141,-1.9196093,0.0922048
7,1.2826335,1.2985058,"('insensitive', 'sensitive')",1.6022413,1.600855,1.1055919,1.2108641,1.2960024,1.4013731,1.3216172,1.3778994,0.0562822
8,-0.16959326,-0.16345996,"('unaffectionate', 'affectionate')",-1.9334533,-1.9604614,-1.781526,-1.707974,0.3936515,0.28794715,-0.8727303,-0.885987,-0.0132567
9,0.58679134,0.54985785,"('unaffectionate', 'caring')",-0.80186677,-0.77399755,-1.1434748,-1.0393031,1.0362123,1.0249764,-0.0805845,-0.0596166,0.0209679
10,0.73939306,0.7390686,"('unsympathetic', 'sympathetic')",1.4969109,1.4623001,0.3873213,0.4233268,0.6896654,0.69409776,0.8283226,0.8296983,0.0013757
11,0.3549411,0.39015868,"('unhelpful', 'helpful')",1.4826231,1.5380541,0.4005524,0.47775352,2.3008304,2.3487446,1.1347368,1.1886778,0.053941
12,0.30663684,0.41562578,"('unsupportive', 'supportive')",0.9139484,1.1351165,-0.628143,-0.3955808,-1.6518699,-1.5768318,-0.2648569,-0.1054176,0.1594393
13,0.4976572,0.4289184,"('impolite', 'polite')",2.5867372,2.591433,1.1676693,1.105716,0.32965916,0.3383422,1.1454307,1.1161023,-0.0293284
14,1.063095,1.0016837,"('antisocial', 'social')",3.1581187,3.1765308,1.5634407,1.5190128,0.20295733,0.26142251,1.4969029,1.4896625,-0.0072404
15,-0.021907477,-0.11337581,"('boring', 'funny')",-0.2621819,-0.17750037,0.5001387,0.49316362,0.3074189,0.3271681,0.1308671,0.1323639,0.0014968
16,-1.2443085,-1.2444291,"('unpopular', 'popular')",-1.5433283,-1.4909844,-0.10400594,-0.08378893,0.43927324,0.48667607,-0.6130924,-0.5831316,0.0299608
17,-0.81700194,-0.71969146,"('nasty', 'nice')",-0.35037,-0.24537389,0.53839093,0.6656222,-0.57682073,-0.54331964,-0.3014504,-0.2106907,0.0907597
18,-0.056672134,0.017006136,"('disagreeable', 'welcoming')",-0.19415474,-0.10663308,-0.79185873,-0.63281405,-0.5279925,-0.50493085,-0.3926695,-0.306843,0.0858265
19,-1.8143878,-1.7709645,"('inhospitable', 'hospitable')",-2.242513,-2.0735695,-1.8868885,-1.7573056,-0.6658679,-0.62904197,-1.6524143,-1.5577204,0.0946939
20,-0.07382751,-0.032988768,"('rough', 'thoughtful')",0.5722929,0.5345844,0.32979426,0.31939256,1.0494878,1.0244703,0.4694369,0.4613646,-0.0080723
21,0.8799824,0.80930996,"('immoral', 'moral')",2.468164,2.4886553,1.5255821,1.4881285,-0.09683588,-0.03993073,1.1942232,1.1865407,-0.0076825
22,0.17499189,0.12776878,"('untrustworthy', 'trustworthy')",1.4225206,1.4214048,0.7830611,0.7909629,-0.340186,-0.33403623,0.5100969,0.501525,-0.0085719
23,1.1210997,1.0916827,"('insincere', 'sincere')",2.097891,1.99593,0.9139845,0.92124975,5.9705186,5.8819156,2.5258734,2.4726944,-0.053179
24,1.145458,1.082271,"('dishonest', 'honest')",1.5183023,1.520513,0.14531472,0.19742063,1.0052323,0.99176675,0.9535768,0.9479929,-0.0055839
25,-0.7961142,-0.7849085,"('egoistic', 'altruistic')",-1.1045531,-1.114263,-0.661342,-0.64158267,1.1999323,1.1479907,-0.3405192,-0.3481909,-0.0076717
26,1.1651741,1.0586478,"('hardhearted', 'benevolent')",-0.28152972,-0.26758188,1.1852161,1.222882,1.6125194,1.5420865,0.9203449,0.8890086,-0.0313363
27,-0.22631276,-0.10099564,"('hardhearted', 'softhearted')",-1.6913286,-1.5613765,-0.32085112,-0.19485602,1.1966461,1.125349,-0.2604616,-0.1829698,0.0774918
28,-0.042181827,-0.082318574,"('disloyal', 'loyal')",-0.13451299,-0.27832472,-0.46656936,-0.5379982,1.0381628,0.8765248,0.0987247,-0.0055292,-0.1042539
29,-1.0367204,-1.0024339,"('unfair', 'fair')",-0.98173547,-0.9340768,-0.9603791,-0.96973217,-0.97091365,-1.1097155,-0.9874372,-1.0039896,-0.0165524
30,2.0674856,2.0304174,"('intolerant', 'tolerant')",1.842387,1.8405323,1.4241604,1.4364201,1.6648291,1.7077976,1.7497156,1.7537918,0.0040762
31,-2.0357444,-1.9466656,"('evil', 'good')",-3.0859036,-3.0046046,-2.0449755,-1.9401135,-1.7436861,-1.8455752,-2.2275772,-2.1842396,0.0433376
32,1.0355439,0.98621225,"('unkind', 'kind')",0.7656476,0.8071037,0.87743765,0.8968223,1.5103374,1.4138243,1.0472417,1.0259906,-0.0212511
