,signature_male,signature_female,tuple,bank_male,bank_female,new_male,new_female,york_male,york_female,ny_male,ny_female,average_male,average_female,female-male
0,-0.0907277,-0.14558917,"('unsociable', 'sociable')",0.829668,0.7231405,-0.4701504,-0.5891675,-0.34655908,-0.5023418,-0.4627294,-0.5778864,-0.1080997,-0.2183689,-0.1102692
1,0.52839583,0.50293964,"('unfriendly', 'friendly')",0.57791877,0.5833863,-1.4332846,-1.4448462,-0.68649423,-0.76965815,0.9749652,0.9202439,-0.0076998,-0.0415869,-0.0338871
2,1.5091604,1.5425656,"('unlikable', 'likable')",2.2043312,2.2547338,1.0953946,1.1583607,1.6559194,1.6416028,0.9228303,1.0075988,1.4775271,1.5209723,0.0434452
3,-0.9433383,-0.8374515,"('repellent', 'pleasant')",0.06417709,0.15304798,-0.00039386563,0.1108354,0.012619543,0.12552415,0.17313962,0.24193464,-0.1387592,-0.0412219,0.0975373
4,-0.1520574,-0.0715549,"('disliked', 'liked')",-0.078277186,-0.013603244,1.0430055,1.177241,0.35482696,0.40268108,-2.9260242,-2.723895,-0.3517053,-0.2458262,0.1058791
5,0.20086855,0.3474912,"('distant', 'outgoing')",-0.014549577,0.16159731,0.5858647,0.7128062,0.7376324,0.8386314,0.4526691,0.54942673,0.392497,0.5219906,0.1294936
6,-0.39013708,-0.22889246,"('distant', 'open')",-0.6436586,-0.44046655,0.05938496,0.23625681,0.33164832,0.4339767,0.6447434,0.7529966,0.0003962,0.1507742,0.150378
7,0.14764337,0.19073762,"('insensitive', 'sensitive')",0.5714502,0.6902611,-1.0631099,-1.1435966,-0.8427195,-0.8149807,-0.39125526,-0.3476842,-0.3155982,-0.2850525,0.0305457
8,-0.0033777282,-0.049453188,"('unaffectionate', 'affectionate')",0.17760527,0.102481164,-1.8423978,-1.8555255,-0.49391568,-0.5301146,0.24461965,0.22783831,-0.3834933,-0.4209548,-0.0374615
9,1.1434612,1.159154,"('unaffectionate', 'caring')",1.1817507,1.1918173,-1.2707214,-1.297128,0.19335067,0.15237351,0.72594595,0.7474438,0.3947574,0.3907321,-0.0040253
10,-0.16945326,-0.10835329,"('unsympathetic', 'sympathetic')",-0.2837979,-0.1919023,-0.9664381,-1.1123513,-0.90297526,-0.8905338,-0.7191832,-0.7406537,-0.6083695,-0.6087589,-0.0003894
11,0.96418,0.92401725,"('unhelpful', 'helpful')",1.2281806,1.2035651,0.13185431,0.03838054,0.4018779,0.40215412,1.7599393,1.718662,0.8972064,0.8573559,-0.0398505
12,1.6570015,1.8827499,"('unsupportive', 'supportive')",1.5902413,1.8298347,0.16941276,0.21076673,0.7918253,0.89111257,-0.020389928,0.052237146,0.8376182,0.9733401,0.1357219
13,0.63784057,0.61128,"('impolite', 'polite')",1.349326,1.3442116,0.3760679,0.19938365,-0.15947708,-0.25469342,-0.52026105,-0.63995016,0.3366993,0.2520463,-0.084653
14,0.43776977,0.41587594,"('antisocial', 'social')",1.4229805,1.4543731,0.15130192,0.09925683,0.18681055,0.17270246,-0.8199371,-0.85977143,0.2757851,0.2564874,-0.0192977
15,1.1823591,1.0697088,"('boring', 'funny')",0.7472231,0.6961547,-0.066348985,-0.18656033,0.60424316,0.48320204,1.0917518,1.0753037,0.7118456,0.6275618,-0.0842838
16,-0.9876374,-0.92204714,"('unpopular', 'popular')",-0.70875436,-0.66383374,0.1236639,0.1950824,-0.36295784,-0.32660764,-0.04775883,-0.062239908,-0.3966889,-0.3559292,0.0407597
17,-0.06749286,0.03342729,"('nasty', 'nice')",-0.4905504,-0.35297558,-0.30975312,-0.22433528,-0.37991706,-0.31193423,-1.0302347,-0.99768996,-0.4555896,-0.3707016,0.084888
18,0.08518304,0.15443547,"('disagreeable', 'welcoming')",0.46430814,0.5527264,0.64289296,0.69989914,0.633604,0.69407284,0.37304652,0.44620466,0.4398069,0.5094677,0.0696608
19,-0.119926475,-0.08237186,"('inhospitable', 'hospitable')",-0.96227926,-0.94835234,-0.47951618,-0.44467473,0.48869058,0.5063143,-0.21184196,-0.13199344,-0.2569746,-0.2202156,0.036759
20,0.21190464,0.27164793,"('rough', 'thoughtful')",-0.37469226,-0.2873586,-0.65179664,-0.6116866,-0.34665287,-0.29121816,-0.770336,-0.7790148,-0.3863146,-0.3395261,0.0467885
21,0.18460026,0.1874915,"('immoral', 'moral')",0.92590404,0.96081567,0.17574356,0.100032374,-0.08946726,-0.096476816,-1.0626233,-1.0201288,0.0268315,0.0263468,-0.0004847
22,-0.3912763,-0.35620284,"('untrustworthy', 'trustworthy')",0.2306483,0.25943965,0.2288063,0.27065113,0.24036466,0.3080708,-0.23984861,-0.0994287,0.0137389,0.076506,0.0627671
23,1.0860819,1.0776019,"('insincere', 'sincere')",1.5599136,1.5556235,-0.9483107,-1.0282518,-0.94276804,-1.0071015,3.4902062,3.3362675,0.8490247,0.7868279,-0.0621968
24,0.099671006,0.11939096,"('dishonest', 'honest')",0.723863,0.7220092,-0.31249925,-0.2771845,-0.1677955,-0.11342743,0.57820624,0.6351804,0.1842891,0.2171937,0.0329046
